NW_004581272.1	NP_001108405.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921657.1
NW_004581679.1	XP_004921657.1
NW_004581679.1	XP_004921657.1
NW_004581679.1	XP_004921657.1
NW_004581679.1	XP_004921657.1
NW_004581679.1	XP_004921657.1
NW_004581679.1	XP_004921657.1
NW_004581679.1	XP_004921657.1
NW_004581679.1	XP_004921657.1
NW_004581679.1	XP_004921658.1
NW_004581679.1	XP_004921658.1
NW_004581679.1	XP_004921658.1
NW_004581679.1	XP_004921658.1
NW_004581679.1	XP_004921559.1
NW_004581679.1	XP_004921559.1
NW_004581679.1	XP_004921559.1
NW_004581679.1	XP_004921559.1
NW_004581679.1	XP_004921559.1
NW_004581679.1	NP_001182396.1
NW_004581679.1	NP_001182396.1
NW_004581679.1	NP_001182396.1
NW_004581679.1	NP_001182396.1
NW_004581679.1	NP_001182396.1
NW_004581679.1	NP_001182396.1
NW_004581679.1	NP_001182396.1
NW_004581679.1	NP_001182396.1
NW_004581679.1	XP_004921560.1
NW_004581679.1	XP_004921560.1
NW_004581679.1	XP_004921659.1
NW_004581679.1	XP_004921659.1
NW_004581679.1	XP_004921659.1
NW_004581679.1	XP_004921659.1
NW_004581679.1	XP_004921659.1
NW_004581679.1	XP_004921659.1
NW_004581679.1	XP_004921659.1
NW_004581679.1	XP_004921659.1
NW_004581679.1	XP_004921659.1
NW_004581679.1	XP_004921659.1
NW_004581679.1	XP_004921659.1
NW_004581679.1	XP_004921659.1
NW_004581679.1	XP_004921659.1
NW_004581679.1	XP_004921659.1
NW_004581679.1	XP_004921659.1
NW_004581679.1	XP_004921659.1
NW_004581679.1	XP_004921659.1
NW_004581679.1	XP_004921659.1
NW_004581679.1	XP_004921659.1
NW_004581679.1	XP_004921659.1
NW_004581679.1	XP_004921659.1
NW_004581679.1	XP_004921659.1
NW_004581679.1	XP_004921659.1
NW_004581679.1	XP_004921659.1
NW_004581679.1	XP_004921659.1
NW_004581679.1	XP_004921659.1
NW_004581679.1	XP_004921659.1
NW_004581679.1	XP_004921659.1
NW_004581679.1	XP_004921659.1
NW_004581679.1	XP_004921659.1
NW_004581679.1	XP_004921659.1
NW_004581679.1	XP_004921659.1
NW_004581679.1	XP_004921659.1
NW_004581679.1	XP_004921659.1
NW_004581679.1	XP_004921659.1
NW_004581679.1	XP_004921659.1
NW_004581679.1	XP_004921659.1
NW_004581679.1	XP_004921659.1
NW_004581679.1	XP_004921659.1
NW_004581679.1	XP_004921660.1
NW_004581679.1	XP_004921660.1
NW_004581679.1	XP_004921660.1
NW_004581679.1	XP_004921660.1
NW_004581679.1	XP_004921660.1
NW_004581679.1	XP_004921561.1
NW_004581679.1	XP_004921561.1
NW_004581679.1	XP_004921561.1
NW_004581679.1	XP_004921561.1
NW_004581679.1	XP_004921561.1
NW_004581679.1	XP_004921561.1
NW_004581679.1	XP_004921561.1
NW_004581679.1	XP_004921561.1
NW_004581679.1	NP_001093088.1
NW_004581679.1	NP_001093088.1
NW_004581679.1	NP_001093088.1
NW_004581679.1	NP_001093088.1
NW_004581679.1	XP_004921562.1
NW_004581679.1	XP_004921562.1
NW_004581679.1	XP_004921562.1
NW_004581679.1	XP_004921562.1
NW_004581679.1	XP_004921562.1
NW_004581679.1	XP_004921562.1
NW_004581679.1	XP_004921562.1
NW_004581679.1	XP_004921563.1
NW_004581679.1	XP_004921563.1
NW_004581679.1	XP_004921563.1
NW_004581679.1	XP_004921563.1
NW_004581679.1	XP_004921563.1
NW_004581679.1	XP_004921563.1
NW_004581679.1	XP_004921563.1
NW_004581679.1	XP_004921661.1
NW_004581679.1	XP_004921661.1
NW_004581679.1	XP_004921661.1
NW_004581679.1	XP_004921661.1
NW_004581679.1	XP_004921661.1
NW_004581679.1	XP_004921661.1
NW_004581679.1	XP_004921661.1
NW_004581679.1	XP_004921661.1
NW_004581679.1	XP_004921661.1
NW_004581679.1	XP_004921661.1
NW_004581679.1	XP_004921662.1
NW_004581679.1	XP_004921662.1
NW_004581679.1	XP_004921662.1
NW_004581679.1	XP_004921662.1
NW_004581679.1	XP_004921662.1
NW_004581679.1	XP_004921662.1
NW_004581679.1	XP_004921662.1
NW_004581679.1	XP_004921662.1
NW_004581679.1	XP_004921662.1
NW_004581679.1	XP_004921662.1
NW_004581679.1	XP_004921662.1
NW_004581679.1	XP_004921662.1
NW_004581679.1	XP_004921662.1
NW_004581679.1	XP_004921564.1
NW_004581679.1	XP_004921565.1
NW_004581679.1	XP_004921565.1
NW_004581679.1	XP_004921565.1
NW_004581679.1	XP_004921565.1
NW_004581679.1	XP_004921565.1
NW_004581679.1	XP_004921565.1
NW_004581679.1	XP_004921565.1
NW_004581679.1	XP_004921567.1
NW_004581679.1	XP_004921567.1
NW_004581679.1	XP_004921567.1
NW_004581679.1	XP_004921567.1
NW_004581679.1	XP_004921567.1
NW_004581679.1	XP_004921567.1
NW_004581679.1	XP_004921566.1
NW_004581679.1	XP_004921566.1
NW_004581679.1	XP_004921566.1
NW_004581679.1	XP_004921566.1
NW_004581679.1	XP_004921566.1
NW_004581679.1	XP_004921566.1
NW_004581679.1	XP_004921566.1
NW_004581679.1	XP_004921568.1
NW_004581679.1	XP_004921568.1
NW_004581679.1	XP_004921568.1
NW_004581679.1	XP_004921568.1
NW_004581679.1	XP_004921568.1
NW_004581679.1	XP_004921569.1
NW_004581679.1	XP_004921569.1
NW_004581679.1	XP_004921569.1
NW_004581679.1	XP_004921570.1
NW_004581679.1	XP_004921570.1
NW_004581679.1	XP_004921570.1
NW_004581679.1	XP_004921571.1
NW_004581679.1	XP_004921571.1
NW_004581679.1	XP_004921663.1
NW_004581679.1	XP_004921663.1
NW_004581679.1	XP_004921663.1
NW_004581679.1	XP_004921663.1
NW_004581679.1	XP_004921664.1
NW_004581679.1	XP_004921664.1
NW_004581679.1	XP_004921664.1
NW_004581679.1	XP_004921664.1
NW_004581679.1	XP_004921664.1
NW_004581679.1	XP_004921664.1
NW_004581679.1	XP_004921664.1
NW_004581679.1	XP_004921572.1
NW_004581679.1	XP_004921572.1
NW_004581679.1	XP_004921572.1
NW_004581679.1	XP_004921572.1
NW_004581679.1	XP_004921572.1
NW_004581679.1	XP_004921572.1
NW_004581679.1	XP_004921573.1
NW_004581679.1	XP_004921573.1
NW_004581679.1	XP_004921573.1
NW_004581679.1	XP_004921573.1
NW_004581679.1	XP_004921573.1
NW_004581679.1	XP_004921573.1
NW_004581679.1	XP_004921665.1
NW_004581679.1	XP_004921665.1
NW_004581679.1	XP_004921665.1
NW_004581679.1	XP_004921665.1
NW_004581679.1	XP_004921665.1
NW_004581679.1	XP_004921665.1
NW_004581679.1	XP_004921665.1
NW_004581679.1	XP_004921666.1
NW_004581679.1	XP_004921574.1
NW_004581679.1	XP_004921574.1
NW_004581679.1	XP_004921667.1
NW_004581679.1	XP_004921668.1
NW_004581679.1	XP_004921668.1
NW_004581679.1	XP_004921668.1
NW_004581679.1	XP_004921668.1
NW_004581679.1	XP_004921668.1
NW_004581679.1	XP_004921668.1
NW_004581679.1	XP_004921668.1
NW_004581679.1	XP_004921668.1
NW_004581679.1	XP_004921668.1
NW_004581679.1	XP_004921668.1
NW_004581679.1	XP_004921669.1
NW_004581679.1	XP_004921669.1
NW_004581679.1	XP_004921670.1
NW_004581679.1	XP_004921670.1
NW_004581679.1	XP_004921670.1
NW_004581679.1	XP_004921670.1
NW_004581679.1	XP_004921670.1
NW_004581679.1	XP_004921670.1
NW_004581679.1	XP_004921670.1
NW_004581679.1	XP_004921670.1
NW_004581679.1	XP_004921670.1
NW_004581679.1	XP_004921670.1
NW_004581679.1	XP_004921575.1
NW_004581679.1	XP_004921576.1
NW_004581679.1	XP_004921576.1
NW_004581679.1	XP_004921576.1
NW_004581679.1	XP_004921576.1
NW_004581679.1	XP_004921576.1
NW_004581679.1	XP_004921576.1
NW_004581679.1	XP_004921576.1
NW_004581679.1	XP_004921576.1
NW_004581679.1	XP_004921576.1
NW_004581679.1	XP_004921576.1
NW_004581679.1	XP_004921576.1
NW_004581679.1	XP_004921671.1
NW_004581679.1	XP_004921671.1
NW_004581679.1	XP_004921671.1
NW_004581679.1	XP_004921671.1
NW_004581679.1	XP_004921577.1
NW_004581679.1	XP_004921577.1
NW_004581679.1	XP_004921578.1
NW_004581679.1	XP_004921578.1
NW_004581679.1	XP_004921578.1
NW_004581679.1	XP_004921579.1
NW_004581679.1	XP_004921579.1
NW_004581679.1	XP_004921580.1
NW_004581679.1	XP_004921580.1
NW_004581679.1	XP_004921672.1
NW_004581679.1	XP_004921672.1
NW_004581679.1	XP_004921672.1
NW_004581679.1	XP_004921672.1
NW_004581679.1	XP_004921672.1
NW_004581679.1	XP_004921672.1
NW_004581679.1	XP_004921672.1
NW_004581679.1	XP_004921672.1
NW_004581679.1	XP_004921672.1
NW_004581679.1	XP_004921672.1
NW_004581679.1	XP_004921672.1
NW_004581679.1	XP_004921672.1
NW_004581679.1	XP_004921581.1
NW_004581679.1	XP_004921581.1
NW_004581679.1	XP_004921581.1
NW_004581679.1	XP_004921581.1
NW_004581679.1	XP_004921582.1
NW_004581679.1	XP_004921582.1
NW_004581679.1	XP_004921582.1
NW_004581679.1	XP_004921582.1
NW_004581679.1	XP_004921583.1
NW_004581679.1	XP_004921583.1
NW_004581679.1	XP_004921583.1
NW_004581679.1	XP_004921583.1
NW_004581679.1	XP_004921583.1
NW_004581679.1	XP_004921583.1
NW_004581679.1	XP_004921583.1
NW_004581679.1	XP_004921673.1
NW_004581679.1	XP_004921673.1
NW_004581679.1	XP_004921673.1
NW_004581679.1	XP_004921673.1
NW_004581679.1	XP_004921673.1
NW_004581679.1	XP_004921673.1
NW_004581679.1	XP_004921673.1
NW_004581679.1	XP_004921673.1
NW_004581679.1	XP_004921673.1
NW_004581679.1	XP_004921673.1
NW_004581679.1	XP_004921673.1
NW_004581679.1	XP_004921673.1
NW_004581679.1	XP_004921673.1
NW_004581679.1	XP_004921584.1
NW_004581679.1	XP_004921584.1
NW_004581679.1	XP_004921584.1
NW_004581679.1	XP_004921674.1
NW_004581679.1	XP_004921674.1
NW_004581679.1	XP_004921674.1
NW_004581679.1	XP_004921674.1
NW_004581679.1	XP_004921674.1
NW_004581679.1	XP_004921674.1
NW_004581679.1	XP_004921674.1
NW_004581679.1	XP_004921674.1
NW_004581679.1	XP_004921674.1
NW_004581679.1	XP_004921674.1
NW_004581679.1	XP_004921674.1
NW_004581679.1	XP_004921674.1
NW_004581679.1	XP_004921674.1
NW_004581679.1	XP_004921674.1
NW_004581679.1	XP_004921674.1
NW_004581679.1	XP_004921674.1
NW_004581679.1	XP_004921674.1
NW_004581679.1	XP_004921585.1
NW_004581679.1	XP_004921585.1
NW_004581679.1	XP_004921585.1
NW_004581679.1	XP_004921585.1
NW_004581679.1	XP_004921585.1
NW_004581679.1	XP_004921585.1
NW_004581679.1	XP_004921585.1
NW_004581679.1	XP_004921585.1
NW_004581679.1	XP_004921585.1
NW_004581679.1	XP_004921587.1
NW_004581679.1	XP_004921587.1
NW_004581679.1	XP_004921587.1
NW_004581679.1	XP_004921587.1
NW_004581679.1	XP_004921587.1
NW_004581679.1	XP_004921587.1
NW_004581679.1	XP_004921587.1
NW_004581679.1	XP_004921587.1
NW_004581679.1	XP_004921590.1
NW_004581679.1	XP_004921590.1
NW_004581679.1	XP_004921590.1
NW_004581679.1	XP_004921590.1
NW_004581679.1	XP_004921590.1
NW_004581679.1	XP_004921590.1
NW_004581679.1	XP_004921590.1
NW_004581679.1	XP_004921589.1
NW_004581679.1	XP_004921589.1
NW_004581679.1	XP_004921589.1
NW_004581679.1	XP_004921589.1
NW_004581679.1	XP_004921589.1
NW_004581679.1	XP_004921589.1
NW_004581679.1	XP_004921589.1
NW_004581679.1	XP_004921588.1
NW_004581679.1	XP_004921588.1
NW_004581679.1	XP_004921588.1
NW_004581679.1	XP_004921588.1
NW_004581679.1	XP_004921588.1
NW_004581679.1	XP_004921588.1
NW_004581679.1	XP_004921588.1
NW_004581679.1	XP_004921586.1
NW_004581679.1	XP_004921586.1
NW_004581679.1	XP_004921586.1
NW_004581679.1	XP_004921586.1
NW_004581679.1	XP_004921586.1
NW_004581679.1	XP_004921591.1
NW_004581679.1	XP_004921592.1
NW_004581679.1	XP_004921592.1
NW_004581679.1	XP_004921592.1
NW_004581679.1	XP_004921593.1
NW_004581679.1	XP_004921593.1
NW_004581679.1	XP_004921593.1
NW_004581679.1	XP_004921675.1
NW_004581679.1	XP_004921675.1
NW_004581679.1	XP_004921675.1
NW_004581679.1	XP_004921675.1
NW_004581679.1	XP_004921675.1
NW_004581679.1	XP_004921675.1
NW_004581679.1	XP_004921675.1
NW_004581679.1	XP_004921675.1
NW_004581679.1	NP_001091799.1
NW_004581679.1	NP_001091799.1
NW_004581679.1	NP_001091799.1
NW_004581679.1	NP_001091799.1
NW_004581679.1	NP_001091799.1
NW_004581679.1	NP_001091799.1
NW_004581679.1	NP_001091799.1
NW_004581679.1	XP_004921676.1
NW_004581679.1	XP_004921676.1
NW_004581679.1	XP_004921676.1
NW_004581679.1	XP_004921676.1
NW_004581679.1	XP_004921676.1
NW_004581679.1	XP_004921676.1
NW_004581679.1	XP_004921676.1
NW_004581679.1	XP_004921676.1
NW_004581679.1	XP_004921676.1
NW_004581679.1	XP_004921676.1
NW_004581679.1	XP_004921676.1
NW_004581679.1	XP_004921676.1
NW_004581679.1	XP_004921594.1
NW_004581679.1	XP_004921594.1
NW_004581679.1	XP_004921595.1
NW_004581679.1	XP_004921595.1
NW_004581679.1	XP_004921595.1
NW_004581679.1	XP_004921595.1
NW_004581679.1	XP_004921595.1
NW_004581679.1	XP_004921595.1
NW_004581679.1	XP_004921595.1
NW_004581679.1	XP_004921595.1
NW_004581679.1	XP_004921596.1
NW_004581679.1	XP_004921596.1
NW_004581679.1	XP_004921596.1
NW_004581679.1	XP_004921596.1
NW_004581679.1	XP_004921597.1
NW_004581679.1	XP_004921597.1
NW_004581679.1	XP_004921597.1
NW_004581679.1	XP_004921597.1
NW_004581679.1	XP_004921598.1
NW_004581679.1	XP_004921598.1
NW_004581679.1	XP_004921598.1
NW_004581679.1	XP_004921598.1
NW_004581679.1	XP_004921598.1
NW_004581679.1	XP_004921598.1
NW_004581679.1	XP_004921598.1
NW_004581679.1	XP_004921598.1
NW_004581679.1	XP_004921598.1
NW_004581679.1	XP_004921598.1
NW_004581679.1	XP_004921677.1
NW_004581679.1	XP_004921677.1
NW_004581679.1	XP_004921677.1
NW_004581679.1	XP_004921677.1
NW_004581679.1	XP_004921677.1
NW_004581679.1	XP_004921677.1
NW_004581679.1	XP_004921677.1
NW_004581679.1	XP_004921677.1
NW_004581679.1	NP_001037048.1
NW_004581679.1	NP_001037048.1
NW_004581679.1	NP_001037048.1
NW_004581679.1	NP_001037048.1
NW_004581679.1	XP_004921599.1
NW_004581679.1	XP_004921599.1
NW_004581679.1	XP_004921599.1
NW_004581679.1	XP_004921599.1
NW_004581679.1	XP_004921599.1
NW_004581679.1	XP_004921599.1
NW_004581679.1	XP_004921599.1
NW_004581679.1	XP_004921599.1
NW_004581679.1	XP_004921599.1
NW_004581679.1	XP_004921599.1
NW_004581679.1	XP_004921599.1
NW_004581679.1	NP_001036969.1
NW_004581679.1	XP_004921603.1
NW_004581679.1	XP_004921603.1
NW_004581679.1	XP_004921603.1
NW_004581679.1	XP_004921603.1
NW_004581679.1	XP_004921603.1
NW_004581679.1	XP_004921603.1
NW_004581679.1	XP_004921603.1
NW_004581679.1	XP_004921603.1
NW_004581679.1	XP_004921603.1
NW_004581679.1	XP_004921603.1
NW_004581679.1	XP_004921603.1
NW_004581679.1	XP_004921603.1
NW_004581679.1	XP_004921602.1
NW_004581679.1	XP_004921602.1
NW_004581679.1	XP_004921602.1
NW_004581679.1	XP_004921601.1
NW_004581679.1	XP_004921601.1
NW_004581679.1	XP_004921601.1
NW_004581679.1	XP_004921601.1
NW_004581679.1	XP_004921601.1
NW_004581679.1	XP_004921601.1
NW_004581679.1	XP_004921601.1
NW_004581679.1	XP_004921601.1
NW_004581679.1	XP_004921601.1
NW_004581679.1	XP_004921601.1
NW_004581679.1	XP_004921601.1
NW_004581679.1	XP_004921601.1
NW_004581679.1	XP_004921601.1
NW_004581679.1	XP_004921600.1
NW_004581679.1	XP_004921600.1
NW_004581679.1	XP_004921600.1
NW_004581679.1	XP_004921600.1
NW_004581679.1	XP_004921600.1
NW_004581679.1	XP_004921600.1
NW_004581679.1	XP_004921604.1
NW_004581679.1	XP_004921604.1
NW_004581679.1	XP_004921604.1
NW_004581679.1	XP_004921604.1
NW_004581679.1	XP_004921678.1
NW_004581679.1	XP_004921678.1
NW_004581679.1	XP_004921678.1
NW_004581679.1	XP_004921678.1
NW_004581679.1	XP_004921678.1
NW_004581679.1	XP_004921678.1
NW_004581679.1	XP_004921678.1
NW_004581679.1	XP_004921678.1
NW_004581679.1	XP_004921678.1
NW_004581679.1	XP_004921678.1
NW_004581679.1	XP_004921678.1
NW_004581679.1	XP_004921678.1
NW_004581679.1	XP_004921606.1
NW_004581679.1	XP_004921605.1
NW_004581679.1	XP_004921605.1
NW_004581679.1	XP_004921605.1
NW_004581679.1	XP_004921605.1
NW_004581679.1	XP_004921605.1
NW_004581679.1	XP_004921605.1
NW_004581679.1	XP_004921607.1
NW_004581679.1	XP_004921607.1
NW_004581679.1	XP_004921607.1
NW_004581679.1	XP_004921607.1
NW_004581679.1	XP_004921607.1
NW_004581679.1	XP_004921679.1
NW_004581679.1	XP_004921679.1
NW_004581679.1	XP_004921679.1
NW_004581679.1	XP_004921680.1
NW_004581679.1	XP_004921680.1
NW_004581679.1	XP_004921681.1
NW_004581679.1	XP_004921681.1
NW_004581679.1	XP_004921681.1
NW_004581679.1	XP_004921682.1
NW_004581679.1	XP_004921609.1
NW_004581679.1	XP_004921609.1
NW_004581679.1	XP_004921609.1
NW_004581679.1	XP_004921608.1
NW_004581679.1	XP_004921608.1
NW_004581679.1	XP_004921608.1
NW_004581679.1	XP_004921683.1
NW_004581679.1	XP_004921683.1
NW_004581679.1	XP_004921684.1
NW_004581679.1	XP_004921684.1
NW_004581679.1	XP_004921684.1
NW_004581679.1	XP_004921684.1
NW_004581679.1	XP_004921684.1
NW_004581679.1	XP_004921684.1
NW_004581679.1	XP_004921684.1
NW_004581679.1	NP_001037023.1
NW_004581679.1	NP_001037023.1
NW_004581679.1	NP_001037023.1
NW_004581679.1	XP_004921610.1
NW_004581679.1	XP_004921610.1
NW_004581679.1	XP_004921610.1
NW_004581679.1	XP_004921610.1
NW_004581679.1	NP_001037022.1
NW_004581679.1	NP_001037022.1
NW_004581679.1	NP_001037022.1
NW_004581679.1	XP_004921611.1
NW_004581679.1	XP_004921611.1
NW_004581679.1	XP_004921611.1
NW_004581679.1	XP_004921611.1
NW_004581679.1	XP_004921611.1
NW_004581679.1	NP_001037358.2
NW_004581679.1	NP_001037358.2
NW_004581679.1	NP_001037358.2
NW_004581679.1	XP_004921685.1
NW_004581679.1	XP_004921685.1
NW_004581679.1	XP_004921685.1
NW_004581679.1	XP_004921685.1
NW_004581679.1	XP_004921685.1
NW_004581679.1	XP_004921685.1
NW_004581679.1	XP_004921685.1
NW_004581679.1	XP_004921685.1
NW_004581679.1	XP_004921685.1
NW_004581679.1	XP_004921685.1
NW_004581679.1	XP_004921686.1
NW_004581679.1	XP_004921686.1
NW_004581679.1	XP_004921686.1
NW_004581679.1	XP_004921686.1
NW_004581679.1	XP_004921612.1
NW_004581679.1	XP_004921612.1
NW_004581679.1	XP_004921612.1
NW_004581679.1	XP_004921687.1
NW_004581679.1	XP_004921687.1
NW_004581679.1	XP_004921687.1
NW_004581679.1	XP_004921688.1
NW_004581679.1	XP_004921688.1
NW_004581679.1	XP_004921688.1
NW_004581679.1	XP_004921688.1
NW_004581679.1	XP_004921688.1
NW_004581679.1	XP_004921688.1
NW_004581679.1	XP_004921689.1
NW_004581679.1	XP_004921689.1
NW_004581679.1	XP_004921689.1
NW_004581679.1	XP_004921689.1
NW_004581679.1	XP_004921690.1
NW_004581679.1	XP_004921690.1
NW_004581679.1	NP_001138795.1
NW_004581679.1	NP_001138795.1
NW_004581679.1	NP_001040157.1
NW_004581679.1	NP_001040157.1
NW_004581679.1	NP_001040157.1
NW_004581679.1	NP_001040157.1
NW_004581679.1	NP_001040157.1
NW_004581679.1	XP_004921613.1
NW_004581679.1	XP_004921614.1
NW_004581679.1	XP_004921614.1
NW_004581679.1	XP_004921614.1
NW_004581679.1	XP_004921614.1
NW_004581679.1	XP_004921614.1
NW_004581679.1	XP_004921615.1
NW_004581679.1	XP_004921615.1
NW_004581679.1	XP_004921615.1
NW_004581679.1	XP_004921615.1
