scaff.tar	chr.tar
DPSCF300138	8
DPSCF300139	17
DPSCF300140	3
DPSCF300141	20
DPSCF300142	15
DPSCF300143	9
DPSCF300144	19
DPSCF300145	2
DPSCF300146	Z
DPSCF300147	5
DPSCF300148	18
DPSCF300149	10
DPSCF300150	20
DPSCF300151	7
DPSCF300152	17
DPSCF300153	10
DPSCF300154	4
DPSCF300155	12
DPSCF300156	19
DPSCF300157	10
DPSCF300158	19
DPSCF300159	10
DPSCF300160	12
DPSCF300161	6
DPSCF300162	11
DPSCF300163	7
DPSCF300164	13
DPSCF300165	18
DPSCF300166	16
DPSCF300167	4
DPSCF300168	10
DPSCF300169	19
DPSCF300170	5
DPSCF300171	19
DPSCF300172	19
DPSCF300173	16
DPSCF300174	13
DPSCF300175	15
DPSCF300176	1
DPSCF300177	14
DPSCF300179	19
DPSCF300180	13
DPSCF300181	10
DPSCF300182	13
DPSCF300183	18
DPSCF300184	3
DPSCF300185	4
DPSCF300186	14
DPSCF300187	4
DPSCF300188	9
DPSCF300189	15
DPSCF300190	1
DPSCF300191	1
DPSCF300192	10
DPSCF300195	10
DPSCF300196	6
DPSCF300197	17
DPSCF300198	12
DPSCF300199	1
DPSCF300200	19
DPSCF300201	1
DPSCF300202	1
DPSCF300203	4
DPSCF300204	18
DPSCF300205	6
DPSCF300207	9
DPSCF300208	15
DPSCF300209	6
DPSCF300210	15
DPSCF300211	1
DPSCF300212	13
DPSCF300213	19
DPSCF300214	9
DPSCF300215	9
DPSCF300216	19
DPSCF300217	13
DPSCF300218	18
DPSCF300219	19
DPSCF300220	14
DPSCF300221	4
DPSCF300222	7
DPSCF300223	11
DPSCF300224	7
DPSCF300225	11
DPSCF300226	11
DPSCF300227	17
DPSCF300228	19
DPSCF300229	13
DPSCF300230	19
DPSCF300231	17
DPSCF300232	16
DPSCF300233	11
DPSCF300234	10
DPSCF300235	16
DPSCF300236	5
DPSCF300237	7
DPSCF300238	16
DPSCF300239	10
DPSCF300241	14
DPSCF300242	20
DPSCF300243	3
DPSCF300245	19
DPSCF300246	1
DPSCF300248	3
DPSCF300249	12
DPSCF300250	12
DPSCF300251	1
DPSCF300253	14
DPSCF300254	1
DPSCF300255	13
DPSCF300256	17
DPSCF300257	16
DPSCF300258	12
DPSCF300259	20
DPSCF300260	20
DPSCF300261	1
DPSCF300262	12
DPSCF300263	12
DPSCF300264	17
DPSCF300265	17
DPSCF300266	7
DPSCF300267	5
DPSCF300268	19
DPSCF300269	7
DPSCF300270	16
DPSCF300271	12
DPSCF300272	12
DPSCF300273	11
DPSCF300274	12
DPSCF300275	19
DPSCF300277	13
DPSCF300278	18
DPSCF300279	10
DPSCF300280	8
DPSCF300281	11
DPSCF300282	11
DPSCF300283	7
DPSCF300284	12
DPSCF300285	10
DPSCF300287	18
DPSCF300288	19
DPSCF300289	6
DPSCF300290	19
DPSCF300291	16
DPSCF300293	3
DPSCF300294	11
DPSCF300295	15
DPSCF300297	12
DPSCF300298	18
DPSCF300299	6
DPSCF300300	4
DPSCF300301	13
DPSCF300302	12
DPSCF300303	19
DPSCF300304	3
DPSCF300305	10
DPSCF300306	10
DPSCF300307	7
DPSCF300308	14
DPSCF300310	7
DPSCF300312	20
DPSCF300313	14
DPSCF300314	12
DPSCF300315	1
DPSCF300316	7
DPSCF300317	7
DPSCF300319	10
DPSCF300320	19
DPSCF300321	14
DPSCF300322	5
DPSCF300323	17
DPSCF300324	8
DPSCF300325	7
DPSCF300327	16
DPSCF300328	9
DPSCF300329	16
DPSCF300331	5
DPSCF300332	13
DPSCF300334	7
DPSCF300335	19
DPSCF300336	17
DPSCF300337	4
DPSCF300339	1
DPSCF300340	6
DPSCF300341	13
DPSCF300342	15
DPSCF300343	16
DPSCF300344	19
DPSCF300345	19
DPSCF300346	14
DPSCF300347	6
DPSCF300348	10
DPSCF300349	1
DPSCF300350	20
DPSCF300351	17
DPSCF300353	5
DPSCF300354	17
DPSCF300355	12
DPSCF300356	15
DPSCF300357	9
DPSCF300358	10
DPSCF300359	17
DPSCF300360	8
DPSCF300361	7
DPSCF300363	18
DPSCF300364	12
DPSCF300365	10
DPSCF300366	3
DPSCF300367	13
DPSCF300368	1
DPSCF300369	1
DPSCF300370	6
DPSCF300371	16
DPSCF300372	19
DPSCF300373	17
DPSCF300374	20
DPSCF300375	10
DPSCF300376	14
DPSCF300377	1
DPSCF300378	18
DPSCF300379	14
DPSCF300381	6
DPSCF300382	4
DPSCF300383	14
DPSCF300385	8
DPSCF300386	12
DPSCF300388	6
DPSCF300389	10
DPSCF300390	13
DPSCF300391	20
DPSCF300393	12
DPSCF300394	19
DPSCF300395	6
DPSCF300396	7
DPSCF300397	9
DPSCF300398	1
DPSCF300399	1
DPSCF300401	6
DPSCF300402	17
DPSCF300404	16
DPSCF300405	6
DPSCF300407	4
DPSCF300408	7
DPSCF300409	17
DPSCF300410	7
DPSCF300412	9
DPSCF300413	13
DPSCF300414	16
DPSCF300415	11
DPSCF300416	9
DPSCF300417	16
DPSCF300418	6
DPSCF300420	7
DPSCF300421	10
DPSCF300423	9
DPSCF300425	12
DPSCF300427	6
DPSCF300429	6
DPSCF300431	18
DPSCF300432	17
DPSCF300437	16
DPSCF300438	18
DPSCF300440	17
DPSCF300441	17
DPSCF300442	6
DPSCF300443	16
DPSCF300444	14
DPSCF300446	17
DPSCF300448	20
DPSCF300450	6
DPSCF300451	19
DPSCF300454	19
DPSCF300456	10
DPSCF300457	20
DPSCF300459	14
DPSCF300460	19
DPSCF300461	12
DPSCF300462	14
DPSCF300463	10
DPSCF300464	6
DPSCF300465	9
DPSCF300466	6
DPSCF300467	12
DPSCF300469	18
DPSCF300470	7
DPSCF300473	1
DPSCF300475	18
DPSCF300476	19
DPSCF300478	17
DPSCF300479	7
DPSCF300483	6
DPSCF300485	7
DPSCF300486	18
DPSCF300487	13
DPSCF300488	7
DPSCF300489	7
DPSCF300490	8
DPSCF300491	12
DPSCF300493	10
DPSCF300494	17
DPSCF300496	11
DPSCF300497	19
DPSCF300502	1
DPSCF300504	6
DPSCF300506	6
DPSCF300507	12
DPSCF300509	6
DPSCF300510	6
DPSCF300511	1
DPSCF300512	18
DPSCF300513	20
DPSCF300514	7
DPSCF300515	6
DPSCF300516	13
DPSCF300519	15
DPSCF300520	19
DPSCF300523	13
DPSCF300525	1
DPSCF300528	9
DPSCF300529	12
DPSCF300531	7
DPSCF300533	6
DPSCF300535	6
DPSCF300538	20
DPSCF300540	19
DPSCF300544	1
DPSCF300548	12
DPSCF300549	6
DPSCF300551	12
DPSCF300553	10
DPSCF300556	12
DPSCF300558	6
DPSCF300560	4
DPSCF300567	6
DPSCF300571	12
DPSCF300572	7
DPSCF300583	8
DPSCF300600	19
DPSCF300609	6
DPSCF300615	10
DPSCF300616	13
DPSCF300647	18
DPSCF300653	6
DPSCF300661	6
DPSCF300664	15
DPSCF300683	17
DPSCF300684	18
DPSCF300692	17
DPSCF300699	4
DPSCF300704	6
DPSCF300715	6
DPSCF300750	18
DPSCF300766	19
DPSCF300786	18
DPSCF300789	7
DPSCF300799	6
DPSCF300804	7
DPSCF300876	6
DPSCF300879	6
DPSCF300892	17
DPSCF300893	12
DPSCF300943	11
DPSCF300968	6
DPSCF300971	11
DPSCF300975	1
DPSCF301064	13
DPSCF301125	4
DPSCF301127	6
DPSCF301139	Z
DPSCF301151	13
DPSCF301176	6
DPSCF301198	12
DPSCF301213	6
DPSCF301256	17
DPSCF301439	6
DPSCF301525	6
DPSCF301591	14
DPSCF301802	Z
DPSCF301923	3
DPSCF302112	17
