scaff.tar	chr.tar
DPSCF300322	17
DPSCF300323	15
DPSCF300324	18
DPSCF300325	12
DPSCF300327	7
DPSCF300328	20
DPSCF300329	7
DPSCF300332	26
DPSCF300334	28
DPSCF300335	4
DPSCF300336	23
DPSCF300337	19
DPSCF300338	5
DPSCF300339	27
DPSCF300340	31
DPSCF300341	22
DPSCF300342	8
DPSCF300344	23
DPSCF300345	23
DPSCF300346	16
DPSCF300347	10
DPSCF300348	22
DPSCF300349	27
DPSCF300350	30
DPSCF300351	29
DPSCF300353	17
DPSCF300354	29
DPSCF300355	25
DPSCF300356	8
DPSCF300357	20
DPSCF300358	22
DPSCF300360	18
DPSCF300361	28
DPSCF300363	14
DPSCF300364	25
DPSCF300365	22
DPSCF300366	5
DPSCF300369	27
DPSCF300370	31
DPSCF300371	7
DPSCF300373	29
DPSCF300376	16
DPSCF300377	2
DPSCF300381	10
DPSCF300382	19
DPSCF300383	16
DPSCF300384	30
DPSCF300385	18
DPSCF300387	9
DPSCF300388	31
DPSCF300391	30
DPSCF300393	25
DPSCF300394	23
DPSCF300395	31
DPSCF300396	12
DPSCF300397	20
DPSCF300399	27
DPSCF300400	19
DPSCF300401	31
DPSCF300402	29
DPSCF300403	21
DPSCF300404	7
DPSCF300405	31
DPSCF300407	19
DPSCF300408	28
DPSCF300410	28
DPSCF300412	20
DPSCF300413	11
DPSCF300414	7
DPSCF300415	3
DPSCF300416	20
DPSCF300417	7
DPSCF300418	31
DPSCF300419	27
DPSCF300420	28
DPSCF300421	22
DPSCF300423	20
DPSCF300425	13
DPSCF300426	4
DPSCF300427	31
DPSCF300429	31
DPSCF300431	14
DPSCF300432	29
DPSCF300433	25
DPSCF300435	11
DPSCF300441	29
DPSCF300446	29
DPSCF300449	31
DPSCF300450	31
DPSCF300454	23
DPSCF300456	22
DPSCF300460	23
DPSCF300462	16
DPSCF300463	22
DPSCF300465	20
DPSCF300467	25
DPSCF300469	14
DPSCF300470	28
DPSCF300471	30
DPSCF300475	14
DPSCF300476	4
DPSCF300479	12
DPSCF300485	28
DPSCF300486	24
DPSCF300487	11
DPSCF300488	28
DPSCF300489	28
DPSCF300490	18
DPSCF300491	13
DPSCF300492	25
DPSCF300493	22
DPSCF300496	3
DPSCF300497	4
DPSCF300499	7
DPSCF300502	27
DPSCF300506	9
DPSCF300507	25
DPSCF300511	27
DPSCF300518	30
DPSCF300519	8
DPSCF300522	31
DPSCF300525	27
DPSCF300529	13
DPSCF300539	8
DPSCF300542	12
DPSCF300545	30
DPSCF300546	15
DPSCF300548	13
DPSCF300550	6
DPSCF300556	25
DPSCF300564	27
DPSCF300571	25
DPSCF300572	28
DPSCF300598	8
DPSCF300600	4
DPSCF300653	31
DPSCF300684	14
DPSCF300711	17
DPSCF300742	6
DPSCF300745	20
DPSCF300831	9
DPSCF300887	29
DPSCF300893	13
DPSCF300905	13
DPSCF300917	12
DPSCF300971	3
DPSCF300975	27
DPSCF301123	2
DPSCF301156	18
DPSCF301256	29
DPSCF301335	29
DPSCF301427	8
DPSCF301437	6
DPSCF301467	9
DPSCF301562	8
DPSCF301995	20
