scaff.tar	chr.tar
DPSCF300469	23
DPSCF300470	2
DPSCF300471	23
DPSCF300475	23
DPSCF300478	24
DPSCF300479	11
DPSCF300485	2
DPSCF300486	27
DPSCF300487	22
DPSCF300488	2
DPSCF300489	2
DPSCF300490	25
DPSCF300491	8
DPSCF300493	28
DPSCF300496	15
DPSCF300501	2
DPSCF300502	24
DPSCF300504	11
DPSCF300506	11
DPSCF300507	20
DPSCF300508	21
DPSCF300510	11
DPSCF300511	24
DPSCF300512	23
DPSCF300514	2
DPSCF300516	14
DPSCF300518	7
DPSCF300519	17
DPSCF300522	11
DPSCF300523	14
DPSCF300525	24
DPSCF300528	23
DPSCF300529	8
DPSCF300530	8
DPSCF300531	2
DPSCF300533	11
DPSCF300535	11
DPSCF300538	23
DPSCF300540	10
DPSCF300542	11
DPSCF300545	23
DPSCF300546	20
DPSCF300548	8
DPSCF300549	11
DPSCF300551	20
DPSCF300553	28
DPSCF300556	20
DPSCF300558	11
DPSCF300560	21
DPSCF300572	2
DPSCF300573	3
DPSCF300609	11
DPSCF300647	23
DPSCF300652	22
DPSCF300654	18
DPSCF300661	11
DPSCF300676	8
DPSCF300684	23
DPSCF300699	21
DPSCF300715	11
DPSCF300789	2
DPSCF300799	11
DPSCF300831	10
DPSCF300842	11
DPSCF300893	8
DPSCF300903	12
DPSCF300931	11
DPSCF300943	15
DPSCF300960	12
DPSCF300971	15
DPSCF301064	14
DPSCF301232	11
DPSCF301256	24
DPSCF301439	9
DPSCF301461	20
DPSCF301503	10
DPSCF301867	12
DPSCF302112	26
DPSCF303968	21
