/panfs/pfs.acf.ku.edu/scratch/jwalters/monarch_Zlinkage_orthology/neoZ_mummer/Hmel_mummer/../DPSCF300001.fas /panfs/pfs.acf.ku.edu/scratch/jwalters/monarch_Zlinkage_orthology/neoZ_mummer/Hmel_mummer/../Hmel2_Chr21.fas
PROMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[TAGS]
4159648	4159776	206316	206444	129	129	6243218	250685	0.00	0.05	DPSCF300001	Hmel221046
4159696	4159953	184712	184972	258	261	6243218	309213	0.00	0.08	DPSCF300001	Hmel221045
4160153	4160425	185623	185889	273	267	6243218	309213	0.00	0.09	DPSCF300001	Hmel221045
4160740	4161051	186576	186884	312	309	6243218	309213	0.00	0.10	DPSCF300001	Hmel221045
4161023	4161178	187553	187711	156	159	6243218	309213	0.00	0.05	DPSCF300001	Hmel221045
4161458	4161613	187978	188136	156	159	6243218	309213	0.00	0.05	DPSCF300001	Hmel221045
4163137	4163391	188524	188778	255	255	6243218	309213	0.00	0.08	DPSCF300001	Hmel221045
4163729	4163887	189674	189832	159	159	6243218	309213	0.00	0.05	DPSCF300001	Hmel221045
4173570	4173761	205168	205359	192	192	6243218	309213	0.00	0.06	DPSCF300001	Hmel221045
4178219	4178371	219202	219369	153	168	6243218	309213	0.00	0.05	DPSCF300001	Hmel221045
4182836	4182964	231035	231178	129	144	6243218	309213	0.00	0.05	DPSCF300001	Hmel221045
4186298	4186831	235198	235740	534	543	6243218	309213	0.01	0.18	DPSCF300001	Hmel221045
4186870	4187025	236110	236265	156	156	6243218	309213	0.00	0.05	DPSCF300001	Hmel221045
4189469	4189615	239666	239803	147	138	6243218	309213	0.00	0.04	DPSCF300001	Hmel221045
4214155	4214388	287064	287285	234	222	6243218	309213	0.00	0.07	DPSCF300001	Hmel221045
4220644	4220901	303335	303595	258	261	6243218	309213	0.00	0.08	DPSCF300001	Hmel221045
4221217	4221366	304386	304535	150	150	6243218	309213	0.00	0.05	DPSCF300001	Hmel221045
4222468	4222767	307716	308015	300	300	6243218	309213	0.00	0.10	DPSCF300001	Hmel221045
4223263	4223508	308777	309025	246	249	6243218	309213	0.00	0.08	DPSCF300001	Hmel221045
4223581	4224135	632929	633450	555	522	6243218	635484	0.01	0.08	DPSCF300001	Hmel221044
4224115	4224444	632568	632855	330	288	6243218	635484	0.01	0.05	DPSCF300001	Hmel221044
4224640	4224792	632072	632224	153	153	6243218	635484	0.00	0.02	DPSCF300001	Hmel221044
4224980	4225123	631833	631976	144	144	6243218	635484	0.00	0.02	DPSCF300001	Hmel221044
4225985	4226125	629836	629982	141	147	6243218	635484	0.00	0.02	DPSCF300001	Hmel221044
4229112	4229348	623844	624089	237	246	6243218	635484	0.00	0.04	DPSCF300001	Hmel221044
4229711	4230220	622652	623152	510	501	6243218	635484	0.01	0.08	DPSCF300001	Hmel221044
4230720	4231061	621502	621810	342	309	6243218	635484	0.01	0.05	DPSCF300001	Hmel221044
4233949	4234026	136507	136584	78	78	6243218	309213	0.00	0.03	DPSCF300001	Hmel221045
4234506	4234775	134621	134947	270	327	6243218	309213	0.00	0.11	DPSCF300001	Hmel221045
4235050	4235274	134429	134665	225	237	6243218	309213	0.00	0.08	DPSCF300001	Hmel221045
4236359	4236535	134266	134430	177	165	6243218	309213	0.00	0.05	DPSCF300001	Hmel221045
4237151	4237393	134021	134266	243	246	6243218	309213	0.00	0.08	DPSCF300001	Hmel221045
4240208	4240411	131293	131550	204	258	6243218	309213	0.00	0.08	DPSCF300001	Hmel221045
4241268	4241378	129405	129527	111	123	6243218	309213	0.00	0.04	DPSCF300001	Hmel221045
4243455	4243580	126762	126890	126	129	6243218	309213	0.00	0.04	DPSCF300001	Hmel221045
4244390	4244485	126666	126761	96	96	6243218	309213	0.00	0.03	DPSCF300001	Hmel221045
4244764	4244925	126480	126641	162	162	6243218	309213	0.00	0.05	DPSCF300001	Hmel221045
4245278	4245529	126255	126482	252	228	6243218	309213	0.00	0.07	DPSCF300001	Hmel221045
4246014	4246178	125543	125731	165	189	6243218	309213	0.00	0.06	DPSCF300001	Hmel221045
4247487	4247669	124107	124286	183	180	6243218	309213	0.00	0.06	DPSCF300001	Hmel221045
4248126	4248398	123478	123738	273	261	6243218	309213	0.00	0.08	DPSCF300001	Hmel221045
4249297	4249632	122586	122921	336	336	6243218	309213	0.01	0.11	DPSCF300001	Hmel221045
4250727	4251041	120769	121086	315	318	6243218	309213	0.01	0.10	DPSCF300001	Hmel221045
4252291	4252545	117580	117837	255	258	6243218	309213	0.00	0.08	DPSCF300001	Hmel221045
4252776	4252928	117436	117588	153	153	6243218	309213	0.00	0.05	DPSCF300001	Hmel221045
4257008	4257886	86485	87350	879	866	6243218	309213	0.01	0.28	DPSCF300001	Hmel221045
4258024	4259862	84361	86193	1839	1833	6243218	309213	0.03	0.59	DPSCF300001	Hmel221045
4260740	4262161	82208	83628	1422	1421	6243218	309213	0.02	0.46	DPSCF300001	Hmel221045
4266335	4266580	77052	77288	246	237	6243218	309213	0.00	0.08	DPSCF300001	Hmel221045
4334709	4334879	31463	31633	171	171	6243218	250685	0.00	0.07	DPSCF300001	Hmel221046
4334881	4335375	31663	32151	495	489	6243218	250685	0.01	0.20	DPSCF300001	Hmel221046
4336410	4336514	32962	33066	105	105	6243218	250685	0.00	0.04	DPSCF300001	Hmel221046
4337070	4337323	33572	33825	254	254	6243218	250685	0.00	0.10	DPSCF300001	Hmel221046
4337439	4337717	33956	34234	279	279	6243218	250685	0.00	0.11	DPSCF300001	Hmel221046
4337767	4337922	34292	34447	156	156	6243218	250685	0.00	0.06	DPSCF300001	Hmel221046
4338012	4338290	34539	34817	279	279	6243218	250685	0.00	0.11	DPSCF300001	Hmel221046
4338426	4338677	34908	35159	252	252	6243218	250685	0.00	0.10	DPSCF300001	Hmel221046
4338860	4339005	35222	35367	146	146	6243218	250685	0.00	0.06	DPSCF300001	Hmel221046
4340877	4341779	38158	39045	903	888	6243218	250685	0.01	0.35	DPSCF300001	Hmel221046
4341839	4342039	39170	39370	201	201	6243218	250685	0.00	0.08	DPSCF300001	Hmel221046
4342118	4342279	39499	39681	162	183	6243218	250685	0.00	0.07	DPSCF300001	Hmel221046
4342319	4342534	39780	39995	216	216	6243218	250685	0.00	0.09	DPSCF300001	Hmel221046
4342611	4342715	40116	40220	105	105	6243218	250685	0.00	0.04	DPSCF300001	Hmel221046
4342790	4343871	40309	41349	1082	1041	6243218	250685	0.02	0.42	DPSCF300001	Hmel221046
4349286	4349705	339142	339561	420	420	6243218	690739	0.01	0.06	DPSCF300001	Hmel221009
4349442	4350170	442908	443636	729	729	6243218	901467	0.01	0.08	DPSCF300001	Hmel221015
4359551	4362667	60956	63976	3117	3021	6243218	250685	0.05	1.21	DPSCF300001	Hmel221046
4375857	4376162	85362	85658	306	297	6243218	250685	0.00	0.12	DPSCF300001	Hmel221046
4385057	4385245	93788	93976	189	189	6243218	250685	0.00	0.08	DPSCF300001	Hmel221046
4385405	4385914	95492	95998	510	507	6243218	250685	0.01	0.20	DPSCF300001	Hmel221046
4386130	4386633	96256	96753	504	498	6243218	250685	0.01	0.20	DPSCF300001	Hmel221046
4386746	4387636	96865	97775	891	911	6243218	250685	0.01	0.36	DPSCF300001	Hmel221046
4388020	4388259	98575	98814	240	240	6243218	250685	0.00	0.10	DPSCF300001	Hmel221046
4388355	4388519	99207	99371	165	165	6243218	250685	0.00	0.07	DPSCF300001	Hmel221046
4388723	4388998	99666	99944	276	279	6243218	250685	0.00	0.11	DPSCF300001	Hmel221046
4389253	4389594	101093	101455	342	363	6243218	250685	0.01	0.14	DPSCF300001	Hmel221046
4389702	4389917	101634	101849	216	216	6243218	250685	0.00	0.09	DPSCF300001	Hmel221046
4394346	4394577	23745	23982	232	238	6243218	84782	0.00	0.28	DPSCF300001	Hmel221047
4394979	4395266	24406	24702	288	297	6243218	84782	0.00	0.35	DPSCF300001	Hmel221047
4397108	4397203	25595	25690	96	96	6243218	84782	0.00	0.11	DPSCF300001	Hmel221047
4417078	4417323	50291	50536	246	246	6243218	84782	0.00	0.29	DPSCF300001	Hmel221047
4418645	4418827	1977089	1977283	183	195	6243218	2640189	0.00	0.01	DPSCF300001	Hmel221001
4443306	4443518	244079	244300	213	222	6243218	250685	0.00	0.09	DPSCF300001	Hmel221046
4457981	4458124	235832	235975	144	144	6243218	250685	0.00	0.06	DPSCF300001	Hmel221046
4476038	4476193	228081	228236	156	156	6243218	250685	0.00	0.06	DPSCF300001	Hmel221046
4477667	4477825	226385	226543	159	159	6243218	250685	0.00	0.06	DPSCF300001	Hmel221046
4479446	4479544	224253	224351	99	99	6243218	250685	0.00	0.04	DPSCF300001	Hmel221046
4481841	4482062	218236	218466	222	231	6243218	250685	0.00	0.09	DPSCF300001	Hmel221046
4485237	4485500	198089	198352	264	264	6243218	250685	0.00	0.11	DPSCF300001	Hmel221046
4487348	4487455	194529	194636	108	108	6243218	250685	0.00	0.04	DPSCF300001	Hmel221046
4487920	4488093	193473	193646	174	174	6243218	250685	0.00	0.07	DPSCF300001	Hmel221046
4488129	4488236	193316	193423	108	108	6243218	250685	0.00	0.04	DPSCF300001	Hmel221046
4488420	4488539	193088	193207	120	120	6243218	250685	0.00	0.05	DPSCF300001	Hmel221046
4490751	4490828	191024	191113	78	90	6243218	250685	0.00	0.04	DPSCF300001	Hmel221046
4495652	4495831	174778	174960	180	183	6243218	250685	0.00	0.07	DPSCF300001	Hmel221046
4501084	4501344	169447	169698	261	252	6243218	250685	0.00	0.10	DPSCF300001	Hmel221046
4501533	4501721	168820	169002	189	183	6243218	250685	0.00	0.07	DPSCF300001	Hmel221046
4505800	4506198	151162	151548	399	387	6243218	250685	0.01	0.15	DPSCF300001	Hmel221046
4506583	4506777	149938	150132	195	195	6243218	250685	0.00	0.08	DPSCF300001	Hmel221046
4508786	4509007	147587	147808	222	222	6243218	250685	0.00	0.09	DPSCF300001	Hmel221046
4509026	4509208	147062	147244	183	183	6243218	250685	0.00	0.07	DPSCF300001	Hmel221046
4509233	4510210	145328	146341	978	1014	6243218	250685	0.02	0.40	DPSCF300001	Hmel221046
4510209	4510475	144439	144693	267	255	6243218	250685	0.00	0.10	DPSCF300001	Hmel221046
4510581	4510766	143655	143840	186	186	6243218	250685	0.00	0.07	DPSCF300001	Hmel221046
4512371	4512622	141774	142043	252	270	6243218	250685	0.00	0.11	DPSCF300001	Hmel221046
4512713	4513510	140267	141088	798	822	6243218	250685	0.01	0.33	DPSCF300001	Hmel221046
4513698	4514006	139593	139886	309	294	6243218	250685	0.00	0.12	DPSCF300001	Hmel221046
4517677	4517859	132949	133125	183	177	6243218	250685	0.00	0.07	DPSCF300001	Hmel221046
4518514	4518858	132010	132369	345	360	6243218	250685	0.01	0.14	DPSCF300001	Hmel221046
4520195	4520515	130499	130822	321	324	6243218	250685	0.01	0.13	DPSCF300001	Hmel221046
4521162	4521401	128162	128401	240	240	6243218	250685	0.00	0.10	DPSCF300001	Hmel221046
4521430	4521717	126466	126729	288	264	6243218	250685	0.00	0.11	DPSCF300001	Hmel221046
4521904	4522089	125556	125741	186	186	6243218	250685	0.00	0.07	DPSCF300001	Hmel221046
4522195	4522485	122861	123127	291	267	6243218	250685	0.00	0.11	DPSCF300001	Hmel221046
4522708	4522854	122494	122643	147	150	6243218	250685	0.00	0.06	DPSCF300001	Hmel221046
4527441	4527932	113244	113747	492	504	6243218	250685	0.01	0.20	DPSCF300001	Hmel221046
4527913	4528143	112604	112849	231	246	6243218	250685	0.00	0.10	DPSCF300001	Hmel221046
4530250	4531806	16305	17861	1557	1557	6243218	84782	0.02	1.84	DPSCF300001	Hmel221047
4537030	4537137	10891	10998	108	108	6243218	84782	0.00	0.13	DPSCF300001	Hmel221047
4537215	4537397	10445	10612	183	168	6243218	84782	0.00	0.20	DPSCF300001	Hmel221047
4537649	4537822	9454	9627	174	174	6243218	84782	0.00	0.21	DPSCF300001	Hmel221047
4538689	4538892	7826	8038	204	213	6243218	84782	0.00	0.25	DPSCF300001	Hmel221047
4539966	4540172	7482	7715	207	234	6243218	84782	0.00	0.28	DPSCF300001	Hmel221047
4541320	4541655	5833	6183	336	351	6243218	84782	0.01	0.41	DPSCF300001	Hmel221047
4547490	4547699	552003	552209	210	207	6243218	635484	0.00	0.03	DPSCF300001	Hmel221044
4550876	4554364	379985	383522	3489	3538	6243218	635484	0.06	0.56	DPSCF300001	Hmel221044
4555861	4557411	386411	387943	1551	1533	6243218	635484	0.02	0.24	DPSCF300001	Hmel221044
4577965	4579635	436004	437677	1671	1674	6243218	635484	0.03	0.26	DPSCF300001	Hmel221044
4580096	4581547	438043	439482	1452	1440	6243218	635484	0.02	0.23	DPSCF300001	Hmel221044
4581696	4583656	439515	441481	1961	1967	6243218	635484	0.03	0.31	DPSCF300001	Hmel221044
4583642	4583815	441495	441668	174	174	6243218	635484	0.00	0.03	DPSCF300001	Hmel221044
4583929	4584925	441748	442752	997	1005	6243218	635484	0.02	0.16	DPSCF300001	Hmel221044
4584910	4585353	443954	444397	444	444	6243218	635484	0.01	0.07	DPSCF300001	Hmel221044
4585402	4586229	444674	445501	828	828	6243218	635484	0.01	0.13	DPSCF300001	Hmel221044
4586229	4586557	445535	445848	329	314	6243218	635484	0.01	0.05	DPSCF300001	Hmel221044
4586648	4589248	445923	448511	2601	2589	6243218	635484	0.04	0.41	DPSCF300001	Hmel221044
4589298	4589498	448583	448783	201	201	6243218	635484	0.00	0.03	DPSCF300001	Hmel221044
4589574	4590998	448878	450302	1425	1425	6243218	635484	0.02	0.22	DPSCF300001	Hmel221044
4591027	4591368	450356	450697	342	342	6243218	635484	0.01	0.05	DPSCF300001	Hmel221044
4591475	4591717	450816	451058	243	243	6243218	635484	0.00	0.04	DPSCF300001	Hmel221044
4591772	4592237	451194	451675	466	482	6243218	635484	0.01	0.08	DPSCF300001	Hmel221044
4592455	4592885	451912	452339	431	428	6243218	635484	0.01	0.07	DPSCF300001	Hmel221044
4593085	4594488	452410	453801	1404	1392	6243218	635484	0.02	0.22	DPSCF300001	Hmel221044
4594466	4594845	454575	454950	380	376	6243218	635484	0.01	0.06	DPSCF300001	Hmel221044
4596113	4596250	456215	456352	138	138	6243218	635484	0.00	0.02	DPSCF300001	Hmel221044
4605929	4607047	472428	473540	1119	1113	6243218	635484	0.02	0.18	DPSCF300001	Hmel221044
4607714	4607944	474197	474427	231	231	6243218	635484	0.00	0.04	DPSCF300001	Hmel221044
4608690	4609739	478006	479055	1050	1050	6243218	635484	0.02	0.17	DPSCF300001	Hmel221044
4610799	4615901	480194	485272	5103	5079	6243218	635484	0.08	0.80	DPSCF300001	Hmel221044
4627482	4629137	495021	496694	1656	1674	6243218	635484	0.03	0.26	DPSCF300001	Hmel221044
4629250	4629363	497766	497879	114	114	6243218	635484	0.00	0.02	DPSCF300001	Hmel221044
4629687	4629871	498443	498627	185	185	6243218	635484	0.00	0.03	DPSCF300001	Hmel221044
4630182	4631237	499387	500445	1056	1059	6243218	635484	0.02	0.17	DPSCF300001	Hmel221044
4631272	4632681	500427	501836	1410	1410	6243218	635484	0.02	0.22	DPSCF300001	Hmel221044
4633661	4634407	503498	504262	747	765	6243218	635484	0.01	0.12	DPSCF300001	Hmel221044
4634492	4634886	504657	505066	395	410	6243218	635484	0.01	0.06	DPSCF300001	Hmel221044
4636246	4636895	510727	511432	650	706	6243218	635484	0.01	0.11	DPSCF300001	Hmel221044
4641846	4642013	513710	513877	168	168	6243218	635484	0.00	0.03	DPSCF300001	Hmel221044
4642407	4642568	514631	514792	162	162	6243218	635484	0.00	0.03	DPSCF300001	Hmel221044
4668902	4669435	596496	597079	534	584	6243218	635484	0.01	0.09	DPSCF300001	Hmel221044
4669640	4669762	597327	597449	123	123	6243218	635484	0.00	0.02	DPSCF300001	Hmel221044
4670160	4670384	597717	597938	225	222	6243218	635484	0.00	0.03	DPSCF300001	Hmel221044
4678820	4679002	608217	608399	183	183	6243218	635484	0.00	0.03	DPSCF300001	Hmel221044
4679521	4679721	609297	609515	201	219	6243218	635484	0.00	0.03	DPSCF300001	Hmel221044
4680236	4680517	609838	610056	282	219	6243218	635484	0.00	0.03	DPSCF300001	Hmel221044
4680515	4680694	616069	616242	180	174	6243218	635484	0.00	0.03	DPSCF300001	Hmel221044
4680698	4680853	616673	616828	156	156	6243218	635484	0.00	0.02	DPSCF300001	Hmel221044
4684307	4684606	620682	620978	300	297	6243218	635484	0.00	0.05	DPSCF300001	Hmel221044
4688912	4689133	184244	184468	222	225	6243218	436181	0.00	0.05	DPSCF300001	Hmel221017
4689245	4689568	183573	183881	324	309	6243218	436181	0.01	0.07	DPSCF300001	Hmel221017
4689683	4690054	182524	182904	372	381	6243218	436181	0.01	0.09	DPSCF300001	Hmel221017
4690684	4690848	181112	181285	165	174	6243218	436181	0.00	0.04	DPSCF300001	Hmel221017
4693500	4693652	172140	172292	153	153	6243218	436181	0.00	0.04	DPSCF300001	Hmel221017
4732830	4733279	99337	99765	450	429	6243218	436181	0.01	0.10	DPSCF300001	Hmel221017
4733395	4733622	98612	98845	228	234	6243218	436181	0.00	0.05	DPSCF300001	Hmel221017
4737086	4737241	90910	91086	156	177	6243218	436181	0.00	0.04	DPSCF300001	Hmel221017
4749045	4750121	62952	64031	1077	1080	6243218	436181	0.02	0.25	DPSCF300001	Hmel221017
4750136	4750369	62708	62938	234	231	6243218	436181	0.00	0.05	DPSCF300001	Hmel221017
4753067	4753312	61119	61331	246	213	6243218	436181	0.00	0.05	DPSCF300001	Hmel221017
4791622	4791732	562004	562114	111	111	6243218	901467	0.00	0.01	DPSCF300001	Hmel221015
4792767	4792970	563167	563379	204	213	6243218	901467	0.00	0.02	DPSCF300001	Hmel221015
4794240	4794341	564683	564784	102	102	6243218	901467	0.00	0.01	DPSCF300001	Hmel221015
4796087	4796179	568722	568814	93	93	6243218	901467	0.00	0.01	DPSCF300001	Hmel221015
4802820	4803023	580524	580727	204	204	6243218	901467	0.00	0.02	DPSCF300001	Hmel221015
4808762	4809091	592695	593015	330	321	6243218	901467	0.01	0.04	DPSCF300001	Hmel221015
4815419	4815721	602222	602521	303	300	6243218	901467	0.00	0.03	DPSCF300001	Hmel221015
4816737	4816868	604569	604700	132	132	6243218	901467	0.00	0.01	DPSCF300001	Hmel221015
4817654	4817938	606367	606651	285	285	6243218	901467	0.00	0.03	DPSCF300001	Hmel221015
4817991	4818140	606705	606854	150	150	6243218	901467	0.00	0.02	DPSCF300001	Hmel221015
4821638	4821784	613833	613976	147	144	6243218	901467	0.00	0.02	DPSCF300001	Hmel221015
4826959	4827636	619760	620419	678	660	6243218	901467	0.01	0.07	DPSCF300001	Hmel221015
4827633	4827854	620475	620699	222	225	6243218	901467	0.00	0.02	DPSCF300001	Hmel221015
4833881	4834015	636081	636215	135	135	6243218	901467	0.00	0.01	DPSCF300001	Hmel221015
4873630	4874001	707490	707864	372	375	6243218	901467	0.01	0.04	DPSCF300001	Hmel221015
4874557	4874671	708536	708650	115	115	6243218	901467	0.00	0.01	DPSCF300001	Hmel221015
4881473	4881727	716242	716472	255	231	6243218	901467	0.00	0.03	DPSCF300001	Hmel221015
4886512	4886721	724143	724346	210	204	6243218	901467	0.00	0.02	DPSCF300001	Hmel221015
4890642	4890817	731361	731533	176	173	6243218	901467	0.00	0.02	DPSCF300001	Hmel221015
