# Species	Genes	Alg.-Conn.	Hmel_prots_unique.fas	Dp_OGS2_prots.fas
2	2	1	HMEL002248	DPOGS214154
2	2	1	HMEL002249	DPOGS214217
2	2	1	HMEL002250	DPOGS214218
2	2	1	HMEL002251	DPOGS214152
2	2	1	HMEL002253	DPOGS208758
2	2	1	HMEL002264	DPOGS213780
2	2	1	HMEL002265	DPOGS213753
2	2	1	HMEL002273	DPOGS214522
2	2	1	HMEL002274	DPOGS209239
2	2	1	HMEL002280	DPOGS206546
2	2	1	HMEL002282	DPOGS206547
2	2	1	HMEL002283	DPOGS206537
2	2	1	HMEL002284	DPOGS206548
2	2	1	HMEL002285	DPOGS206535
2	2	1	HMEL002288	DPOGS206549
2	2	1	HMEL002289	DPOGS206534
2	2	1	HMEL002290	DPOGS206550
2	2	1	HMEL002291	DPOGS206533
2	2	1	HMEL002293	DPOGS206551
2	2	1	HMEL002294	DPOGS206532
2	2	1	HMEL002295	DPOGS206529
2	2	1	HMEL002296	DPOGS206553
2	2	1	HMEL002297	DPOGS206528
2	2	1	HMEL002298	DPOGS206554
2	2	1	HMEL002299	DPOGS206527
2	2	1	HMEL002300	DPOGS206526
2	2	1	HMEL002302	DPOGS214189
2	2	1	HMEL002303	DPOGS214190
2	2	1	HMEL002304	DPOGS214188
2	2	1	HMEL002305	DPOGS214191
2	2	1	HMEL002310	DPOGS204919
2	2	1	HMEL002311	DPOGS213663
2	2	1	HMEL002312	DPOGS201942
2	2	1	HMEL002316	DPOGS215901
2	2	1	HMEL002317	DPOGS204330
2	2	1	HMEL002319	DPOGS204328
2	2	1	HMEL002320	DPOGS204343
2	2	1	HMEL002322	DPOGS204327
2	2	1	HMEL002324	DPOGS214680
2	2	1	HMEL002325	DPOGS210748
2	2	1	HMEL002328	DPOGS206731
2	2	1	HMEL002329	DPOGS206730
2	2	1	HMEL002334	DPOGS210078
2	3	0.333	HMEL002338	DPOGS210687,DPOGS210686
2	2	1	HMEL002349	DPOGS203088
2	2	1	HMEL002358	DPOGS208208
2	2	1	HMEL002360	DPOGS202076
2	2	1	HMEL002361	DPOGS208556
2	2	1	HMEL002362	DPOGS208557
2	2	1	HMEL002363	DPOGS208484
2	2	1	HMEL002364	DPOGS208483
2	2	1	HMEL002371	DPOGS211295
2	2	1	HMEL002375	DPOGS200978
2	2	1	HMEL002376	DPOGS201033
2	2	1	HMEL002377	DPOGS200979
2	2	1	HMEL002378	DPOGS200980
2	2	1	HMEL002379	DPOGS201030
2	2	1	HMEL002380	DPOGS200981
2	2	1	HMEL002381	DPOGS201029
2	2	1	HMEL002382	DPOGS201028
2	2	1	HMEL002385	DPOGS202118
2	2	1	HMEL002386	DPOGS202119
2	2	1	HMEL002387	DPOGS202108
2	2	1	HMEL002388	DPOGS202121
2	2	1	HMEL002389	DPOGS203711
2	2	1	HMEL002390	DPOGS203712
2	2	1	HMEL002391	DPOGS203713
2	2	1	HMEL002392	DPOGS203714
2	2	1	HMEL002394	DPOGS203788
2	2	1	HMEL002400	DPOGS200776
2	2	1	HMEL002402	DPOGS201966
2	2	1	HMEL002406	DPOGS207276
2	2	1	HMEL002407	DPOGS207278
2	2	1	HMEL002408	DPOGS207279
2	2	1	HMEL002412	DPOGS215050
2	2	1	HMEL002413	DPOGS215053
2	2	1	HMEL002414	DPOGS209078
2	2	1	HMEL002416	DPOGS210724
2	2	1	HMEL002417	DPOGS210723
2	2	1	HMEL002418	DPOGS210728
2	2	1	HMEL002419	DPOGS210722
2	2	1	HMEL002431	DPOGS211578
2	2	1	HMEL002432	DPOGS211579
2	2	1	HMEL002436	DPOGS210789
2	2	1	HMEL002437	DPOGS210874
2	2	1	HMEL002438	DPOGS210790
2	2	1	HMEL002439	DPOGS210873
2	2	1	HMEL002440	DPOGS210791
2	2	1	HMEL002442	DPOGS201165
2	2	1	HMEL002443	DPOGS201129
2	2	1	HMEL002445	DPOGS211326
2	2	1	HMEL002446	DPOGS211309
2	2	1	HMEL002451	DPOGS202622
2	2	1	HMEL002452	DPOGS202620
2	2	1	HMEL002453	DPOGS202618
2	2	1	HMEL002454	DPOGS202601
2	2	1	HMEL002456	DPOGS202602
2	2	1	HMEL002457	DPOGS202617
2	2	1	HMEL002459	DPOGS202616
2	3	0.333	HMEL002467,HMEL003148	DPOGS212624
2	2	1	HMEL002468	DPOGS212627
2	2	1	HMEL002469	DPOGS212603
2	2	1	HMEL002470	DPOGS212602
2	2	1	HMEL002472	DPOGS212601
2	2	1	HMEL002473	DPOGS212614
2	2	1	HMEL002474	DPOGS212616
2	2	1	HMEL002475	DPOGS212617
2	2	1	HMEL002476	DPOGS212618
2	2	1	HMEL002477	DPOGS212600
2	2	1	HMEL002479	DPOGS212599
2	2	1	HMEL002480	DPOGS212620
2	2	1	HMEL002481	DPOGS212621
2	2	1	HMEL002482	DPOGS212598
2	2	1	HMEL002483	DPOGS209916
2	2	1	HMEL002495	DPOGS200422
2	2	1	HMEL002496	DPOGS200423
2	2	1	HMEL002497	DPOGS200434
2	2	1	HMEL002498	DPOGS200424
2	2	1	HMEL002499	DPOGS200433
2	2	1	HMEL002500	DPOGS200426
2	2	1	HMEL002502	DPOGS200432
2	2	1	HMEL002503	DPOGS200427
2	2	1	HMEL002504	DPOGS200428
2	2	1	HMEL002505	DPOGS214134
2	2	1	HMEL002506	DPOGS214250
2	2	1	HMEL002509	DPOGS214568
2	2	1	HMEL002514	DPOGS200932
2	2	1	HMEL002515	DPOGS200920
2	2	1	HMEL002517	DPOGS200931
2	2	1	HMEL002518	DPOGS200921
2	2	1	HMEL002519	DPOGS200923
2	2	1	HMEL002520	DPOGS200929
2	2	1	HMEL002524	DPOGS211594
2	2	1	HMEL002525	DPOGS211569
2	2	1	HMEL002526	DPOGS211595
2	2	1	HMEL002527	DPOGS211567
2	2	1	HMEL002528	DPOGS210843
2	2	1	HMEL002537	DPOGS209012
2	2	1	HMEL002539	DPOGS209010
2	2	1	HMEL002540	DPOGS209014
2	2	1	HMEL002542	DPOGS209015
2	3	0.333	HMEL002543	DPOGS209016,DPOGS209009
2	2	1	HMEL002544	DPOGS212639
2	2	1	HMEL002545	DPOGS209017
2	2	1	HMEL002546	DPOGS209018
2	2	1	HMEL002547	DPOGS209003
2	2	1	HMEL002548	DPOGS209002
2	2	1	HMEL002550	DPOGS204934
2	2	1	HMEL002552	DPOGS204935
2	2	1	HMEL002553	DPOGS202686
2	3	0.333	HMEL002556	DPOGS214527,DPOGS214526
2	2	1	HMEL002557	DPOGS203757
2	2	1	HMEL002558	DPOGS203747
2	2	1	HMEL002559	DPOGS215514
2	2	1	HMEL002560	DPOGS203758
2	2	1	HMEL002561	DPOGS203745
2	2	1	HMEL002563	DPOGS203761
2	2	1	HMEL002565	DPOGS203760
2	2	1	HMEL002567	DPOGS213728
2	2	1	HMEL002569	DPOGS213734
2	2	1	HMEL002570	DPOGS211829
2	2	1	HMEL002583	DPOGS211809
2	2	1	HMEL002584	DPOGS211831
2	2	1	HMEL002589	DPOGS214079
2	2	1	HMEL002591	DPOGS209142
2	2	1	HMEL002592	DPOGS202241
2	2	1	HMEL002597	DPOGS209458
2	2	1	HMEL002598	DPOGS209449
2	2	1	HMEL002599	DPOGS209457
2	2	1	HMEL002603	DPOGS205145
2	2	1	HMEL002604	DPOGS205146
2	2	1	HMEL002605	DPOGS205137
2	2	1	HMEL002609	DPOGS205147
2	2	1	HMEL002611	DPOGS201706
2	2	1	HMEL002614	DPOGS205132
2	2	1	HMEL002615	DPOGS209660
2	2	1	HMEL002616	DPOGS209656
2	3	0.333	HMEL002618,HMEL014731	DPOGS200444
2	2	1	HMEL002619	DPOGS215782
2	2	1	HMEL002620	DPOGS202041
2	2	1	HMEL002627	DPOGS201981
2	2	1	HMEL002629	DPOGS201980
2	2	1	HMEL002630	DPOGS201996
2	2	1	HMEL002631	DPOGS201997
2	2	1	HMEL002632	DPOGS201979
2	2	1	HMEL002639	DPOGS208947
2	2	1	HMEL002640	DPOGS208919
2	2	1	HMEL002641	DPOGS208946
2	2	1	HMEL002643	DPOGS208976
2	2	1	HMEL002647	DPOGS208973
2	2	1	HMEL002648	DPOGS208885
2	2	1	HMEL002649	DPOGS211277
2	2	1	HMEL002650	DPOGS211290
2	2	1	HMEL002651	DPOGS211278
2	2	1	HMEL002652	DPOGS211289
2	2	1	HMEL002655	DPOGS211279
2	2	1	HMEL002656	DPOGS211288
2	2	1	HMEL002657	DPOGS211287
2	2	1	HMEL002658	DPOGS211285
2	2	1	HMEL002661	DPOGS202823
2	2	1	HMEL002662	DPOGS202824
2	2	1	HMEL002663	DPOGS202825
2	2	1	HMEL002665	DPOGS202798
2	2	1	HMEL002666	DPOGS202797
2	2	1	HMEL002668	DPOGS207662
2	2	1	HMEL002669	DPOGS207658
2	2	1	HMEL002670	DPOGS207656
2	2	1	HMEL002673	DPOGS207655
2	2	1	HMEL002674	DPOGS207663
2	2	1	HMEL002675	DPOGS207654
2	2	1	HMEL002676	DPOGS207664
2	2	1	HMEL002677	DPOGS207665
2	2	1	HMEL002678	DPOGS202776
2	2	1	HMEL002679	DPOGS202775
2	2	1	HMEL002683	DPOGS202774
2	2	1	HMEL002684	DPOGS202847
2	2	1	HMEL002685	DPOGS202772
2	2	1	HMEL002687	DPOGS202771
2	2	1	HMEL002690	DPOGS202769
2	2	1	HMEL002691	DPOGS202851
2	2	1	HMEL002694	DPOGS202854
2	2	1	HMEL002695	DPOGS202766
2	2	1	HMEL002696	DPOGS202858
2	2	1	HMEL002699	DPOGS202762
2	2	1	HMEL002701	DPOGS202761
2	2	1	HMEL002705	DPOGS210831
2	2	1	HMEL002709	DPOGS200556
2	2	1	HMEL002712	DPOGS206326
2	2	1	HMEL002713	DPOGS206337
2	2	1	HMEL002714	DPOGS206327
2	2	1	HMEL002721	DPOGS206332
2	2	1	HMEL002725	DPOGS214085
2	2	1	HMEL002726	DPOGS214084
2	2	1	HMEL002731	DPOGS205238
2	2	1	HMEL002732	DPOGS205202
2	2	1	HMEL002733	DPOGS205239
2	2	1	HMEL002742	DPOGS213591
2	2	1	HMEL002743	DPOGS205366
2	2	1	HMEL002745	DPOGS216168
2	2	1	HMEL002746	DPOGS200196
2	2	1	HMEL002747	DPOGS216170
2	2	1	HMEL002748	DPOGS216165
2	2	1	HMEL002749	DPOGS216171
2	2	1	HMEL002750	DPOGS203512
2	3	0.333	HMEL002751,HMEL017786	DPOGS216140
2	2	1	HMEL002763	DPOGS214619
2	2	1	HMEL002765	DPOGS214599
2	2	1	HMEL002771	DPOGS201238
2	2	1	HMEL002772	DPOGS201250
2	2	1	HMEL002774	DPOGS201235
2	2	1	HMEL002777	DPOGS201252
2	2	1	HMEL002778	DPOGS201232
2	2	1	HMEL002782	DPOGS211346
2	2	1	HMEL002783	DPOGS211345
2	2	1	HMEL002784	DPOGS211344
2	2	1	HMEL002785	DPOGS211343
2	2	1	HMEL002786	DPOGS211341
2	2	1	HMEL002787	DPOGS211340
2	2	1	HMEL002788	DPOGS211365
2	2	1	HMEL002789	DPOGS211339
2	2	1	HMEL002790	DPOGS211366
2	2	1	HMEL002791	DPOGS211338
2	2	1	HMEL002792	DPOGS211367
2	2	1	HMEL002797	DPOGS211337
2	2	1	HMEL002799	DPOGS211336
2	2	1	HMEL002802	DPOGS211371
2	2	1	HMEL002803	DPOGS211335
2	2	1	HMEL002804	DPOGS211372
2	2	1	HMEL002807	DPOGS211373
2	2	1	HMEL002810	DPOGS208519
2	2	1	HMEL002811	DPOGS208517
2	2	1	HMEL002812	DPOGS208520
2	2	1	HMEL002818	DPOGS206048
2	2	1	HMEL002819	DPOGS206133
2	2	1	HMEL002820	DPOGS206049
2	2	1	HMEL002821	DPOGS206132
2	2	1	HMEL002822	DPOGS206050
2	2	1	HMEL002824	DPOGS206129
2	2	1	HMEL002826	DPOGS206051
2	2	1	HMEL002828	DPOGS206127
2	2	1	HMEL002832	DPOGS203502
2	2	1	HMEL002834	DPOGS203565
2	2	1	HMEL002835	DPOGS208286
2	2	1	HMEL002838	DPOGS204492
2	2	1	HMEL002839	DPOGS204493
2	2	1	HMEL002841	DPOGS202957
2	2	1	HMEL002842	DPOGS202958
2	2	1	HMEL002844	DPOGS213934
2	2	1	HMEL002845	DPOGS213960
2	2	1	HMEL002856	DPOGS210898
2	2	1	HMEL002857	DPOGS210897
2	2	1	HMEL002870	DPOGS209074
2	2	1	HMEL002871	DPOGS209080
2	2	1	HMEL002874	DPOGS210308
2	2	1	HMEL002876	DPOGS214911
2	2	1	HMEL002878	DPOGS210307
2	2	1	HMEL002880	DPOGS210298
2	2	1	HMEL002884	DPOGS210300
2	2	1	HMEL002886	DPOGS210306
2	2	1	HMEL002889	DPOGS202363
2	2	1	HMEL002890	DPOGS202373
2	2	1	HMEL002891	DPOGS202362
2	2	1	HMEL002892	DPOGS202374
2	2	1	HMEL002893	DPOGS202361
2	2	1	HMEL002895	DPOGS202375
2	2	1	HMEL002896	DPOGS202360
2	2	1	HMEL002899	DPOGS202357
2	2	1	HMEL002900	DPOGS202376
2	4	0.146	HMEL002901,HMEL009702	DPOGS216098,DPOGS214473
2	2	1	HMEL002902	DPOGS202377
2	2	1	HMEL002904	DPOGS202378
2	2	1	HMEL002905	DPOGS202354
2	6	0.5	HMEL002914,HMEL013620,HMEL002915	DPOGS207542,DPOGS200328,DPOGS200327
2	2	1	HMEL002917	DPOGS200302
2	2	1	HMEL002921	DPOGS200588
2	2	1	HMEL002923	DPOGS208859
2	2	1	HMEL002924	DPOGS208860
2	2	1	HMEL002926	DPOGS208861
2	2	1	HMEL002928	DPOGS208862
2	2	1	HMEL002929	DPOGS208863
2	2	1	HMEL002930	DPOGS208988
2	2	1	HMEL002932	DPOGS208864
2	2	1	HMEL002934	DPOGS208986
2	2	1	HMEL002936	DPOGS204773
2	2	1	HMEL002947	DPOGS211954
2	2	1	HMEL002951	DPOGS214323
2	2	1	HMEL002952	DPOGS214360
2	2	1	HMEL002953	DPOGS205108
2	2	1	HMEL002955	DPOGS203741
2	2	1	HMEL002960	DPOGS203740
2	2	1	HMEL002961	DPOGS203762
2	2	1	HMEL002964	DPOGS203765
2	2	1	HMEL002965	DPOGS203766
2	2	1	HMEL002967	DPOGS203738
2	2	1	HMEL002968	DPOGS203737
2	2	1	HMEL002970	DPOGS202540
2	2	1	HMEL002973	DPOGS202494
2	2	1	HMEL002976	DPOGS214973
2	2	1	HMEL002979	DPOGS210063
2	2	1	HMEL002982	DPOGS210061
2	2	1	HMEL002987	DPOGS213169
2	2	1	HMEL002988	DPOGS213170
2	2	1	HMEL002989	DPOGS213213
2	2	1	HMEL002990	DPOGS213172
2	2	1	HMEL002991	DPOGS213212
2	2	1	HMEL002992	DPOGS213173
2	2	1	HMEL002993	DPOGS213211
2	2	1	HMEL002994	DPOGS213174
2	2	1	HMEL002995	DPOGS213210
2	2	1	HMEL002999	DPOGS200441
2	2	1	HMEL003001	DPOGS209391
2	2	1	HMEL003004	DPOGS213031
2	2	1	HMEL003005	DPOGS212995
2	2	1	HMEL003016	DPOGS200319
2	2	1	HMEL003018	DPOGS208006
2	2	1	HMEL003021	DPOGS204715
2	2	1	HMEL003029	DPOGS208671
2	2	1	HMEL003035	DPOGS203849
2	2	1	HMEL003037	DPOGS203650
2	2	1	HMEL003046	DPOGS210612
2	2	1	HMEL003047	DPOGS214340
2	4	0.146	HMEL003048,HMEL016489	DPOGS209255,DPOGS209256
2	4	0.25	HMEL016707,HMEL013560,HMEL011568	DPOGS209254
2	2	1	HMEL003053	DPOGS213255
2	2	1	HMEL003054	DPOGS213241
2	2	1	HMEL003055	DPOGS213254
2	2	1	HMEL003057	DPOGS213251
2	2	1	HMEL003058	DPOGS213243
2	2	1	HMEL003061	DPOGS208198
2	2	1	HMEL003063	DPOGS208214
2	2	1	HMEL003068	DPOGS209186
2	2	1	HMEL003069	DPOGS209155
2	2	1	HMEL003070	DPOGS209156
2	2	1	HMEL003071	DPOGS209185
2	2	1	HMEL003074	DPOGS206676
2	2	1	HMEL003080	DPOGS203129
2	2	1	HMEL003081	DPOGS209219
2	2	1	HMEL003083	DPOGS210590
2	2	1	HMEL003084	DPOGS210592
2	2	1	HMEL003085	DPOGS210616
2	2	1	HMEL003087	DPOGS210593
2	2	1	HMEL003088	DPOGS207696
2	2	1	HMEL003089	DPOGS210594
2	2	1	HMEL003090	DPOGS210595
2	2	1	HMEL003091	DPOGS210596
2	2	1	HMEL003094	DPOGS205604
2	2	1	HMEL003095	DPOGS213544
2	2	1	HMEL003096	DPOGS213582
2	2	1	HMEL003097	DPOGS213545
2	3	0.333	HMEL003098	DPOGS209337,DPOGS209335
2	2	1	HMEL003103	DPOGS209291
2	2	1	HMEL003104	DPOGS209290
2	2	1	HMEL003105	DPOGS209289
2	2	1	HMEL003107	DPOGS209288
2	3	0.333	HMEL003110,HMEL018104	DPOGS202134
2	2	1	HMEL003113	DPOGS208418
2	2	1	HMEL003114	DPOGS208394
2	2	1	HMEL003115	DPOGS208393
2	2	1	HMEL003116	DPOGS208392
2	2	1	HMEL003117	DPOGS212032
2	2	1	HMEL003119	DPOGS213550
2	3	0.333	HMEL003124	DPOGS211559,DPOGS211558
2	2	1	HMEL003125	DPOGS211536
2	2	1	HMEL003126	DPOGS211535
2	2	1	HMEL003128	DPOGS208154
2	2	1	HMEL003131	DPOGS213750
2	2	1	HMEL003132	DPOGS213784
2	2	1	HMEL003134	DPOGS201621
2	2	1	HMEL003135	DPOGS201620
2	2	1	HMEL003137	DPOGS200388
2	2	1	HMEL003138	DPOGS200390
2	8	0.104	HMEL003139,HMEL009586,HMEL008050,HMEL004359	DPOGS201626,DPOGS201627,DPOGS201625,DPOGS201624
2	2	1	HMEL003140	DPOGS200627
2	2	1	HMEL003141	DPOGS200609
2	2	1	HMEL003142	DPOGS200626
2	2	1	HMEL003143	DPOGS200625
2	3	0.333	HMEL003145	DPOGS200624,DPOGS200623
2	2	1	HMEL003149	DPOGS202082
2	2	1	HMEL003151	DPOGS215251
2	2	1	HMEL003153	DPOGS206939
2	2	1	HMEL003160	DPOGS214558
2	2	1	HMEL003161	DPOGS214559
2	2	1	HMEL003162	DPOGS214555
2	2	1	HMEL003163	DPOGS214560
2	2	1	HMEL003164	DPOGS201523
2	2	1	HMEL003174	DPOGS209969
2	2	1	HMEL003175	DPOGS209959
2	2	1	HMEL003176	DPOGS209968
2	2	1	HMEL003177	DPOGS206026
2	2	1	HMEL003184	DPOGS201154
2	2	1	HMEL003185	DPOGS201152
2	2	1	HMEL003189	DPOGS209286
2	2	1	HMEL003192	DPOGS211892
2	2	1	HMEL003193	DPOGS204352
2	2	1	HMEL003195	DPOGS214029
2	2	1	HMEL003197	DPOGS204704
2	2	1	HMEL003198	DPOGS204703
2	2	1	HMEL003199	DPOGS204653
2	2	1	HMEL003200	DPOGS204654
2	2	1	HMEL003207	DPOGS201239
2	2	1	HMEL003208	DPOGS201247
2	2	1	HMEL003209	DPOGS201240
2	2	1	HMEL003211	DPOGS201245
2	2	1	HMEL003212	DPOGS201241
2	2	1	HMEL003213	DPOGS211282
2	2	1	HMEL003215	DPOGS211281
2	2	1	HMEL003216	DPOGS211283
2	2	1	HMEL003217	DPOGS211280
2	2	1	HMEL003218	DPOGS211284
2	2	1	HMEL003230	DPOGS201101
2	2	1	HMEL003232	DPOGS208212
2	2	1	HMEL003237	DPOGS213635
2	2	1	HMEL003241	DPOGS203140
2	2	1	HMEL003242	DPOGS203225
2	3	0.333	HMEL003243	DPOGS203227,DPOGS203226
2	2	1	HMEL003244	DPOGS203138
2	2	1	HMEL003245	DPOGS203228
2	2	1	HMEL003246	DPOGS203137
2	2	1	HMEL003247	DPOGS203229
2	2	1	HMEL003249	DPOGS203230
2	2	1	HMEL003250	DPOGS203231
2	2	1	HMEL003251	DPOGS203136
2	2	1	HMEL003253	DPOGS203233
2	2	1	HMEL003254	DPOGS209152
