scaffold	geneID	ZorA	chromosome
DPSCF300002	DPOGS204506	A	3
DPSCF300002	DPOGS204432	A	3
DPSCF300002	DPOGS204435	A	3
DPSCF300002	DPOGS204434	A	3
DPSCF300002	DPOGS204472	A	3
DPSCF300002	DPOGS204486	A	3
DPSCF300002	DPOGS204437	A	3
DPSCF300002	DPOGS204464	A	3
DPSCF300002	DPOGS204442	A	3
DPSCF300002	DPOGS204501	A	3
DPSCF300002	DPOGS204479	A	3
DPSCF300002	DPOGS204439	A	3
DPSCF300002	DPOGS204384	A	3
DPSCF300002	DPOGS204416	A	3
DPSCF300002	DPOGS204494	A	3
DPSCF300002	DPOGS204443	A	3
DPSCF300002	DPOGS204411	A	3
DPSCF300002	DPOGS204391	A	3
DPSCF300002	DPOGS204389	A	3
DPSCF300002	DPOGS204400	A	3
DPSCF300002	DPOGS204488	A	3
DPSCF300002	DPOGS204429	A	3
DPSCF300002	DPOGS204481	A	3
DPSCF300002	DPOGS204410	A	3
DPSCF300002	DPOGS204457	A	3
DPSCF300002	DPOGS204478	A	3
DPSCF300002	DPOGS204467	A	3
DPSCF300002	DPOGS204468	A	3
DPSCF300002	DPOGS204466	A	3
DPSCF300002	DPOGS204430	A	3
DPSCF300002	DPOGS204390	A	3
DPSCF300002	DPOGS204485	A	3
DPSCF300002	DPOGS204438	A	3
DPSCF300002	DPOGS204399	A	3
DPSCF300002	DPOGS204441	A	3
DPSCF300002	DPOGS204453	A	3
DPSCF300002	DPOGS204451	A	3
DPSCF300002	DPOGS204507	A	3
DPSCF300002	DPOGS204452	A	3
DPSCF300002	DPOGS204504	A	3
DPSCF300002	DPOGS204395	A	3
DPSCF300002	DPOGS204502	A	3
DPSCF300002	DPOGS204398	A	3
DPSCF300002	DPOGS204375	A	3
DPSCF300002	DPOGS204477	A	3
DPSCF300002	DPOGS204446	A	3
DPSCF300002	DPOGS204476	A	3
DPSCF300002	DPOGS204500	A	3
DPSCF300002	DPOGS204471	A	3
DPSCF300002	DPOGS204505	A	3
DPSCF300002	DPOGS204404	A	3
DPSCF300002	DPOGS204383	A	3
DPSCF300002	DPOGS204444	A	3
DPSCF300002	DPOGS204409	A	3
DPSCF300002	DPOGS204450	A	3
DPSCF300002	DPOGS204447	A	3
DPSCF300002	DPOGS204402	A	3
DPSCF300002	DPOGS204401	A	3
DPSCF300002	DPOGS204406	A	3
DPSCF300002	DPOGS204449	A	3
DPSCF300002	DPOGS204396	A	3
DPSCF300002	DPOGS204475	A	3
DPSCF300002	DPOGS204490	A	3
DPSCF300002	DPOGS204403	A	3
DPSCF300002	DPOGS204489	A	3
DPSCF300002	DPOGS204491	A	3
DPSCF300002	DPOGS204448	A	3
DPSCF300002	DPOGS204405	A	3
DPSCF300002	DPOGS204407	A	3
DPSCF300002	DPOGS204445	A	3
DPSCF300002	DPOGS204408	A	3
DPSCF300003	DPOGS203366	Z_anc	1
DPSCF300003	DPOGS203407	Z_anc	1
DPSCF300003	DPOGS203283	Z_anc	1
DPSCF300003	DPOGS203358	Z_anc	1
DPSCF300003	DPOGS203364	Z_anc	1
DPSCF300003	DPOGS203403	Z_anc	1
DPSCF300003	DPOGS203380	Z_anc	1
DPSCF300003	DPOGS203319	Z_anc	1
DPSCF300003	DPOGS203317	Z_anc	1
DPSCF300003	DPOGS203282	Z_anc	1
DPSCF300003	DPOGS203363	Z_anc	1
DPSCF300003	DPOGS203280	Z_anc	1
DPSCF300003	DPOGS203372	Z_anc	1
DPSCF300003	DPOGS203368	Z_anc	1
DPSCF300003	DPOGS203281	Z_anc	1
DPSCF300003	DPOGS203318	Z_anc	1
DPSCF300003	DPOGS203362	Z_anc	1
DPSCF300003	DPOGS203291	Z_anc	1
DPSCF300003	DPOGS203361	Z_anc	1
DPSCF300003	DPOGS203392	Z_anc	1
DPSCF300003	DPOGS203329	Z_anc	1
DPSCF300003	DPOGS203385	Z_anc	1
DPSCF300003	DPOGS203415	Z_anc	1
DPSCF300003	DPOGS203355	Z_anc	1
DPSCF300003	DPOGS203305	Z_anc	1
DPSCF300003	DPOGS203306	Z_anc	1
DPSCF300003	DPOGS203307	Z_anc	1
DPSCF300003	DPOGS203303	Z_anc	1
DPSCF300003	DPOGS203320	Z_anc	1
DPSCF300003	DPOGS203386	Z_anc	1
DPSCF300003	DPOGS203369	Z_anc	1
DPSCF300003	DPOGS203400	Z_anc	1
DPSCF300003	DPOGS203383	Z_anc	1
DPSCF300003	DPOGS203312	Z_anc	1
DPSCF300003	DPOGS203404	Z_anc	1
DPSCF300003	DPOGS203359	Z_anc	1
DPSCF300003	DPOGS203330	Z_anc	1
DPSCF300003	DPOGS203377	Z_anc	1
DPSCF300003	DPOGS203316	Z_anc	1
DPSCF300003	DPOGS203371	Z_anc	1
DPSCF300003	DPOGS203279	Z_anc	1
DPSCF300003	DPOGS203406	Z_anc	1
DPSCF300003	DPOGS203405	Z_anc	1
DPSCF300003	DPOGS203288	Z_anc	1
DPSCF300003	DPOGS203290	Z_anc	1
DPSCF300003	DPOGS203391	Z_anc	1
DPSCF300003	DPOGS203286	Z_anc	1
DPSCF300003	DPOGS203374	Z_anc	1
DPSCF300003	DPOGS203339	Z_anc	1
DPSCF300003	DPOGS203367	Z_anc	1
DPSCF300003	DPOGS203373	Z_anc	1
DPSCF300003	DPOGS203390	Z_anc	1
DPSCF300003	DPOGS203388	Z_anc	1
DPSCF300003	DPOGS203325	Z_anc	1
DPSCF300003	DPOGS203328	Z_anc	1
DPSCF300003	DPOGS203414	Z_anc	1
DPSCF300003	DPOGS203299	Z_anc	1
DPSCF300003	DPOGS203401	Z_anc	1
DPSCF300003	DPOGS203313	Z_anc	1
DPSCF300003	DPOGS203382	Z_anc	1
DPSCF300003	DPOGS203393	Z_anc	1
DPSCF300003	DPOGS203315	Z_anc	1
DPSCF300003	DPOGS203375	Z_anc	1
DPSCF300003	DPOGS203378	Z_anc	1
DPSCF300003	DPOGS203334	Z_anc	1
DPSCF300003	DPOGS203289	Z_anc	1
DPSCF300003	DPOGS203370	Z_anc	1
DPSCF300003	DPOGS203387	Z_anc	1
DPSCF300003	DPOGS203298	Z_anc	1
DPSCF300003	DPOGS203276	Z_anc	1
DPSCF300003	DPOGS203326	Z_anc	1
DPSCF300003	DPOGS203413	Z_anc	1
DPSCF300003	DPOGS203412	Z_anc	1
DPSCF300003	DPOGS203399	Z_anc	1
DPSCF300003	DPOGS203354	Z_anc	1
DPSCF300003	DPOGS203342	Z_anc	1
DPSCF300003	DPOGS203308	Z_anc	1
DPSCF300003	DPOGS203418	Z_anc	1
DPSCF300003	DPOGS203327	Z_anc	1
DPSCF300003	DPOGS203304	Z_anc	1
DPSCF300003	DPOGS203278	Z_anc	1
DPSCF300003	DPOGS203277	Z_anc	1
DPSCF300003	DPOGS203410	Z_anc	1
DPSCF300003	DPOGS203381	Z_anc	1
DPSCF300003	DPOGS203402	Z_anc	1
DPSCF300003	DPOGS203357	Z_anc	1
DPSCF300003	DPOGS203338	Z_anc	1
DPSCF300003	DPOGS203347	Z_anc	1
DPSCF300003	DPOGS203284	Z_anc	1
DPSCF300003	DPOGS203409	Z_anc	1
DPSCF300003	DPOGS203293	Z_anc	1
DPSCF300003	DPOGS203331	Z_anc	1
DPSCF300003	DPOGS203314	Z_anc	1
DPSCF300003	DPOGS203287	Z_anc	1
DPSCF300003	DPOGS203324	Z_anc	1
DPSCF300003	DPOGS203337	Z_anc	1
DPSCF300003	DPOGS203417	Z_anc	1
DPSCF300003	DPOGS203379	Z_anc	1
DPSCF300003	DPOGS203344	Z_anc	1
DPSCF300003	DPOGS203311	Z_anc	1
DPSCF300003	DPOGS203353	Z_anc	1
DPSCF300003	DPOGS203408	Z_anc	1
DPSCF300003	DPOGS203285	Z_anc	1
DPSCF300003	DPOGS203389	Z_anc	1
DPSCF300003	DPOGS203323	Z_anc	1
DPSCF300003	DPOGS203309	Z_anc	1
DPSCF300003	DPOGS203335	Z_anc	1
DPSCF300003	DPOGS203345	Z_anc	1
DPSCF300003	DPOGS203341	Z_anc	1
DPSCF300003	DPOGS203321	Z_anc	1
DPSCF300003	DPOGS203310	Z_anc	1
DPSCF300003	DPOGS203302	Z_anc	1
DPSCF300003	DPOGS203396	Z_anc	1
DPSCF300003	DPOGS203300	Z_anc	1
DPSCF300003	DPOGS203336	Z_anc	1
DPSCF300003	DPOGS203356	Z_anc	1
DPSCF300003	DPOGS203322	Z_anc	1
DPSCF300003	DPOGS203398	Z_anc	1
DPSCF300003	DPOGS203416	Z_anc	1
DPSCF300003	DPOGS203333	Z_anc	1
DPSCF300003	DPOGS203297	Z_anc	1
DPSCF300003	DPOGS203292	Z_anc	1
DPSCF300003	DPOGS203301	Z_anc	1
DPSCF300003	DPOGS203349	Z_anc	1
DPSCF300003	DPOGS203376	Z_anc	1
DPSCF300003	DPOGS203348	Z_anc	1
DPSCF300003	DPOGS203294	Z_anc	1
DPSCF300003	DPOGS203352	Z_anc	1
DPSCF300003	DPOGS203332	Z_anc	1
DPSCF300003	DPOGS203350	Z_anc	1
DPSCF300003	DPOGS203296	Z_anc	1
DPSCF300003	DPOGS203397	Z_anc	1
DPSCF300003	DPOGS203394	Z_anc	1
DPSCF300003	DPOGS203295	Z_anc	1
DPSCF300003	DPOGS203346	Z_anc	1
DPSCF300003	DPOGS203340	Z_anc	1
DPSCF300004	DPOGS210949	A	5
DPSCF300004	DPOGS210947	A	5
DPSCF300004	DPOGS210946	A	5
DPSCF300004	DPOGS210992	A	5
DPSCF300004	DPOGS210948	A	5
DPSCF300004	DPOGS210974	A	5
DPSCF300004	DPOGS210959	A	5
DPSCF300004	DPOGS210990	A	5
DPSCF300004	DPOGS211006	A	5
DPSCF300004	DPOGS210957	A	5
DPSCF300004	DPOGS210960	A	5
DPSCF300004	DPOGS211027	A	5
DPSCF300004	DPOGS211022	A	5
DPSCF300004	DPOGS210989	A	5
DPSCF300004	DPOGS210991	A	5
DPSCF300004	DPOGS210972	A	5
DPSCF300004	DPOGS210956	A	5
DPSCF300004	DPOGS211026	A	5
DPSCF300004	DPOGS210971	A	5
DPSCF300004	DPOGS210988	A	5
DPSCF300004	DPOGS211007	A	5
DPSCF300004	DPOGS211008	A	5
DPSCF300004	DPOGS210945	A	5
DPSCF300004	DPOGS210987	A	5
DPSCF300004	DPOGS210942	A	5
DPSCF300004	DPOGS211028	A	5
DPSCF300004	DPOGS211001	A	5
DPSCF300004	DPOGS210951	A	5
DPSCF300004	DPOGS210970	A	5
DPSCF300004	DPOGS211019	A	5
DPSCF300004	DPOGS211020	A	5
DPSCF300004	DPOGS210998	A	5
DPSCF300004	DPOGS210962	A	5
DPSCF300004	DPOGS210986	A	5
DPSCF300004	DPOGS211000	A	5
DPSCF300004	DPOGS210993	A	5
DPSCF300004	DPOGS210955	A	5
DPSCF300004	DPOGS210999	A	5
DPSCF300004	DPOGS210967	A	5
DPSCF300004	DPOGS211018	A	5
DPSCF300004	DPOGS210973	A	5
DPSCF300004	DPOGS211021	A	5
DPSCF300004	DPOGS210994	A	5
DPSCF300004	DPOGS210968	A	5
DPSCF300004	DPOGS210943	A	5
DPSCF300004	DPOGS210944	A	5
DPSCF300004	DPOGS210996	A	5
DPSCF300004	DPOGS211029	A	5
DPSCF300004	DPOGS210954	A	5
DPSCF300004	DPOGS210969	A	5
DPSCF300004	DPOGS210965	A	5
DPSCF300004	DPOGS211010	A	5
DPSCF300004	DPOGS210964	A	5
DPSCF300004	DPOGS210981	A	5
DPSCF300004	DPOGS210941	A	5
DPSCF300004	DPOGS211015	A	5
DPSCF300004	DPOGS210952	A	5
DPSCF300004	DPOGS211016	A	5
DPSCF300004	DPOGS211017	A	5
DPSCF300004	DPOGS210963	A	5
DPSCF300004	DPOGS210953	A	5
DPSCF300004	DPOGS211023	A	5
DPSCF300004	DPOGS210995	A	5
DPSCF300004	DPOGS210997	A	5
DPSCF300004	DPOGS210982	A	5
DPSCF300004	DPOGS210940	A	5
DPSCF300004	DPOGS210980	A	5
DPSCF300004	DPOGS211012	A	5
DPSCF300004	DPOGS211011	A	5
DPSCF300004	DPOGS210950	A	5
DPSCF300004	DPOGS211014	A	5
DPSCF300004	DPOGS210961	A	5
DPSCF300004	DPOGS210983	A	5
DPSCF300004	DPOGS210985	A	5
DPSCF300004	DPOGS211013	A	5
DPSCF300004	DPOGS210975	A	5
DPSCF300004	DPOGS210977	A	5
DPSCF300004	DPOGS211009	A	5
DPSCF300004	DPOGS210979	A	5
DPSCF300004	DPOGS210978	A	5
DPSCF300004	DPOGS211024	A	5
DPSCF300005	DPOGS203985	Z_anc	1
DPSCF300005	DPOGS203943	Z_anc	1
DPSCF300005	DPOGS203940	Z_anc	1
DPSCF300005	DPOGS203906	Z_anc	1
DPSCF300005	DPOGS203904	Z_anc	1
DPSCF300005	DPOGS203901	Z_anc	1
DPSCF300005	DPOGS203905	Z_anc	1
DPSCF300005	DPOGS203944	Z_anc	1
DPSCF300005	DPOGS203915	Z_anc	1
DPSCF300005	DPOGS203908	Z_anc	1
DPSCF300005	DPOGS203983	Z_anc	1
DPSCF300005	DPOGS203984	Z_anc	1
DPSCF300005	DPOGS203899	Z_anc	1
DPSCF300005	DPOGS203903	Z_anc	1
DPSCF300005	DPOGS203902	Z_anc	1
DPSCF300005	DPOGS203994	Z_anc	1
DPSCF300005	DPOGS203987	Z_anc	1
DPSCF300005	DPOGS203917	Z_anc	1
DPSCF300005	DPOGS203942	Z_anc	1
DPSCF300005	DPOGS203907	Z_anc	1
DPSCF300005	DPOGS203968	Z_anc	1
DPSCF300005	DPOGS203982	Z_anc	1
DPSCF300005	DPOGS203993	Z_anc	1
DPSCF300005	DPOGS203911	Z_anc	1
DPSCF300005	DPOGS203941	Z_anc	1
DPSCF300005	DPOGS203916	Z_anc	1
DPSCF300005	DPOGS203900	Z_anc	1
DPSCF300005	DPOGS203956	Z_anc	1
DPSCF300005	DPOGS203937	Z_anc	1
DPSCF300005	DPOGS203978	Z_anc	1
DPSCF300005	DPOGS203925	Z_anc	1
DPSCF300005	DPOGS203922	Z_anc	1
DPSCF300005	DPOGS203913	Z_anc	1
DPSCF300005	DPOGS203951	Z_anc	1
DPSCF300005	DPOGS203919	Z_anc	1
DPSCF300005	DPOGS203980	Z_anc	1
DPSCF300005	DPOGS203909	Z_anc	1
DPSCF300005	DPOGS203947	Z_anc	1
DPSCF300005	DPOGS203989	Z_anc	1
DPSCF300005	DPOGS203948	Z_anc	1
DPSCF300005	DPOGS203924	Z_anc	1
DPSCF300005	DPOGS203981	Z_anc	1
DPSCF300005	DPOGS203957	Z_anc	1
DPSCF300005	DPOGS203995	Z_anc	1
DPSCF300005	DPOGS203918	Z_anc	1
DPSCF300005	DPOGS203986	Z_anc	1
DPSCF300005	DPOGS203962	Z_anc	1
DPSCF300005	DPOGS203992	Z_anc	1
DPSCF300005	DPOGS203912	Z_anc	1
DPSCF300005	DPOGS203965	Z_anc	1
DPSCF300005	DPOGS203971	Z_anc	1
DPSCF300005	DPOGS203973	Z_anc	1
DPSCF300005	DPOGS203974	Z_anc	1
DPSCF300005	DPOGS203946	Z_anc	1
DPSCF300005	DPOGS203914	Z_anc	1
DPSCF300005	DPOGS203966	Z_anc	1
DPSCF300005	DPOGS203955	Z_anc	1
DPSCF300005	DPOGS203952	Z_anc	1
DPSCF300005	DPOGS203938	Z_anc	1
DPSCF300005	DPOGS203988	Z_anc	1
DPSCF300005	DPOGS203960	Z_anc	1
DPSCF300005	DPOGS203969	Z_anc	1
DPSCF300005	DPOGS203996	Z_anc	1
DPSCF300005	DPOGS203998	Z_anc	1
DPSCF300005	DPOGS203979	Z_anc	1
DPSCF300005	DPOGS203927	Z_anc	1
DPSCF300005	DPOGS203939	Z_anc	1
DPSCF300005	DPOGS203910	Z_anc	1
DPSCF300005	DPOGS203958	Z_anc	1
DPSCF300005	DPOGS203977	Z_anc	1
DPSCF300005	DPOGS203923	Z_anc	1
DPSCF300005	DPOGS203921	Z_anc	1
DPSCF300005	DPOGS203959	Z_anc	1
DPSCF300005	DPOGS203970	Z_anc	1
DPSCF300005	DPOGS203975	Z_anc	1
DPSCF300005	DPOGS203926	Z_anc	1
DPSCF300005	DPOGS203949	Z_anc	1
DPSCF300005	DPOGS203997	Z_anc	1
DPSCF300005	DPOGS203929	Z_anc	1
DPSCF300005	DPOGS203934	Z_anc	1
DPSCF300005	DPOGS203920	Z_anc	1
DPSCF300005	DPOGS203976	Z_anc	1
DPSCF300005	DPOGS203990	Z_anc	1
DPSCF300005	DPOGS203928	Z_anc	1
DPSCF300005	DPOGS203967	Z_anc	1
DPSCF300005	DPOGS203972	Z_anc	1
DPSCF300005	DPOGS203950	Z_anc	1
DPSCF300005	DPOGS203964	Z_anc	1
DPSCF300005	DPOGS203991	Z_anc	1
DPSCF300005	DPOGS203961	Z_anc	1
DPSCF300005	DPOGS203936	Z_anc	1
DPSCF300005	DPOGS203931	Z_anc	1
DPSCF300005	DPOGS203933	Z_anc	1
DPSCF300005	DPOGS203963	Z_anc	1
DPSCF300005	DPOGS203945	Z_anc	1
DPSCF300005	DPOGS203932	Z_anc	1
DPSCF300005	DPOGS203930	Z_anc	1
DPSCF300006	DPOGS201424	A	6
DPSCF300006	DPOGS201547	A	6
DPSCF300006	DPOGS201421	A	6
DPSCF300006	DPOGS201425	A	6
DPSCF300006	DPOGS201427	A	6
DPSCF300006	DPOGS201548	A	6
DPSCF300006	DPOGS201416	A	6
DPSCF300006	DPOGS201420	A	6
DPSCF300006	DPOGS201545	A	6
DPSCF300006	DPOGS201543	A	6
DPSCF300006	DPOGS201546	A	6
DPSCF300006	DPOGS201537	A	6
DPSCF300006	DPOGS201498	A	6
DPSCF300006	DPOGS201497	A	6
DPSCF300006	DPOGS201423	A	6
DPSCF300006	DPOGS201426	A	6
DPSCF300006	DPOGS201542	A	6
DPSCF300006	DPOGS201510	A	6
DPSCF300006	DPOGS201422	A	6
DPSCF300006	DPOGS201419	A	6
DPSCF300006	DPOGS201490	A	6
DPSCF300006	DPOGS201501	A	6
DPSCF300006	DPOGS201418	A	6
DPSCF300006	DPOGS201540	A	6
DPSCF300006	DPOGS201544	A	6
DPSCF300006	DPOGS201462	A	6
DPSCF300006	DPOGS201437	A	6
DPSCF300006	DPOGS201435	A	6
DPSCF300006	DPOGS201415	A	6
DPSCF300006	DPOGS201452	A	6
DPSCF300006	DPOGS201486	A	6
DPSCF300006	DPOGS201417	A	6
DPSCF300006	DPOGS201414	A	6
DPSCF300006	DPOGS201476	A	6
DPSCF300006	DPOGS201500	A	6
DPSCF300006	DPOGS201496	A	6
DPSCF300006	DPOGS201436	A	6
DPSCF300006	DPOGS201460	A	6
DPSCF300006	DPOGS201457	A	6
DPSCF300006	DPOGS201474	A	6
DPSCF300006	DPOGS201456	A	6
DPSCF300006	DPOGS201453	A	6
DPSCF300006	DPOGS201431	A	6
DPSCF300006	DPOGS201539	A	6
DPSCF300006	DPOGS201432	A	6
DPSCF300006	DPOGS201508	A	6
DPSCF300006	DPOGS201446	A	6
DPSCF300006	DPOGS201473	A	6
DPSCF300006	DPOGS201523	A	6
DPSCF300006	DPOGS201491	A	6
DPSCF300006	DPOGS201468	A	6
DPSCF300006	DPOGS201429	A	6
DPSCF300006	DPOGS201455	A	6
DPSCF300006	DPOGS201487	A	6
DPSCF300006	DPOGS201440	A	6
DPSCF300006	DPOGS201443	A	6
DPSCF300006	DPOGS201430	A	6
DPSCF300006	DPOGS201470	A	6
DPSCF300006	DPOGS201488	A	6
DPSCF300006	DPOGS201541	A	6
DPSCF300006	DPOGS201527	A	6
DPSCF300006	DPOGS201526	A	6
DPSCF300006	DPOGS201522	A	6
DPSCF300006	DPOGS201434	A	6
DPSCF300006	DPOGS201459	A	6
DPSCF300006	DPOGS201458	A	6
DPSCF300006	DPOGS201454	A	6
DPSCF300006	DPOGS201538	A	6
DPSCF300006	DPOGS201495	A	6
DPSCF300006	DPOGS201519	A	6
DPSCF300006	DPOGS201441	A	6
DPSCF300006	DPOGS201507	A	6
DPSCF300006	DPOGS201525	A	6
DPSCF300006	DPOGS201524	A	6
DPSCF300006	DPOGS201520	A	6
DPSCF300006	DPOGS201521	A	6
DPSCF300006	DPOGS201477	A	6
DPSCF300006	DPOGS201480	A	6
DPSCF300006	DPOGS201472	A	6
DPSCF300006	DPOGS201412	A	6
DPSCF300006	DPOGS201471	A	6
DPSCF300006	DPOGS201467	A	6
DPSCF300006	DPOGS201405	A	6
DPSCF300006	DPOGS201411	A	6
DPSCF300006	DPOGS201439	A	6
DPSCF300006	DPOGS201506	A	6
DPSCF300006	DPOGS201475	A	6
DPSCF300006	DPOGS201413	A	6
DPSCF300006	DPOGS201428	A	6
DPSCF300006	DPOGS201447	A	6
DPSCF300006	DPOGS201483	A	6
DPSCF300006	DPOGS201505	A	6
DPSCF300006	DPOGS201509	A	6
DPSCF300006	DPOGS201403	A	6
DPSCF300006	DPOGS201513	A	6
DPSCF300006	DPOGS201511	A	6
DPSCF300006	DPOGS201433	A	6
DPSCF300006	DPOGS201494	A	6
DPSCF300006	DPOGS201469	A	6
DPSCF300006	DPOGS201448	A	6
DPSCF300006	DPOGS201442	A	6
DPSCF300006	DPOGS201408	A	6
DPSCF300006	DPOGS201514	A	6
DPSCF300006	DPOGS201404	A	6
DPSCF300006	DPOGS201528	A	6
DPSCF300006	DPOGS201518	A	6
DPSCF300006	DPOGS201465	A	6
DPSCF300006	DPOGS201451	A	6
DPSCF300006	DPOGS201464	A	6
DPSCF300006	DPOGS201512	A	6
DPSCF300006	DPOGS201406	A	6
DPSCF300006	DPOGS201533	A	6
DPSCF300006	DPOGS201516	A	6
DPSCF300006	DPOGS201407	A	6
DPSCF300006	DPOGS201445	A	6
DPSCF300006	DPOGS201479	A	6
DPSCF300006	DPOGS201463	A	6
DPSCF300006	DPOGS201485	A	6
DPSCF300006	DPOGS201504	A	6
DPSCF300006	DPOGS201502	A	6
DPSCF300006	DPOGS201499	A	6
DPSCF300006	DPOGS201482	A	6
DPSCF300006	DPOGS201535	A	6
DPSCF300006	DPOGS201444	A	6
DPSCF300006	DPOGS201492	A	6
DPSCF300006	DPOGS201481	A	6
DPSCF300006	DPOGS201493	A	6
DPSCF300006	DPOGS201484	A	6
DPSCF300006	DPOGS201438	A	6
DPSCF300006	DPOGS201534	A	6
DPSCF300006	DPOGS201531	A	6
DPSCF300006	DPOGS201529	A	6
DPSCF300006	DPOGS201532	A	6
DPSCF300006	DPOGS201410	A	6
DPSCF300006	DPOGS201503	A	6
DPSCF300006	DPOGS201517	A	6
DPSCF300006	DPOGS201478	A	6
DPSCF300006	DPOGS201450	A	6
DPSCF300006	DPOGS201449	A	6
DPSCF300006	DPOGS201530	A	6
DPSCF300006	DPOGS201409	A	6
DPSCF300007	DPOGS211124	A	2
DPSCF300007	DPOGS211211	A	2
DPSCF300007	DPOGS211125	A	2
DPSCF300007	DPOGS211123	A	2
DPSCF300007	DPOGS211210	A	2
DPSCF300007	DPOGS211085	A	2
DPSCF300007	DPOGS211110	A	2
DPSCF300007	DPOGS211207	A	2
DPSCF300007	DPOGS211084	A	2
DPSCF300007	DPOGS211081	A	2
DPSCF300007	DPOGS211096	A	2
DPSCF300007	DPOGS211082	A	2
DPSCF300007	DPOGS211219	A	2
DPSCF300007	DPOGS211208	A	2
DPSCF300007	DPOGS211079	A	2
DPSCF300007	DPOGS211160	A	2
DPSCF300007	DPOGS211163	A	2
DPSCF300007	DPOGS211122	A	2
DPSCF300007	DPOGS211095	A	2
DPSCF300007	DPOGS211162	A	2
DPSCF300007	DPOGS211094	A	2
DPSCF300007	DPOGS211159	A	2
DPSCF300007	DPOGS211126	A	2
DPSCF300007	DPOGS211206	A	2
DPSCF300007	DPOGS211135	A	2
DPSCF300007	DPOGS211097	A	2
DPSCF300007	DPOGS211077	A	2
DPSCF300007	DPOGS211118	A	2
DPSCF300007	DPOGS211078	A	2
DPSCF300007	DPOGS211201	A	2
DPSCF300007	DPOGS211093	A	2
DPSCF300007	DPOGS211157	A	2
DPSCF300007	DPOGS211175	A	2
DPSCF300007	DPOGS211188	A	2
DPSCF300007	DPOGS211150	A	2
DPSCF300007	DPOGS211165	A	2
DPSCF300007	DPOGS211086	A	2
DPSCF300007	DPOGS211192	A	2
DPSCF300007	DPOGS211128	A	2
DPSCF300007	DPOGS211183	A	2
DPSCF300007	DPOGS211117	A	2
DPSCF300007	DPOGS211131	A	2
DPSCF300007	DPOGS211119	A	2
DPSCF300007	DPOGS211205	A	2
DPSCF300007	DPOGS211134	A	2
DPSCF300007	DPOGS211191	A	2
DPSCF300007	DPOGS211121	A	2
DPSCF300007	DPOGS211176	A	2
DPSCF300007	DPOGS211136	A	2
DPSCF300007	DPOGS211166	A	2
DPSCF300007	DPOGS211127	A	2
DPSCF300007	DPOGS211182	A	2
DPSCF300007	DPOGS211198	A	2
DPSCF300007	DPOGS211088	A	2
DPSCF300007	DPOGS211076	A	2
DPSCF300007	DPOGS211171	A	2
DPSCF300007	DPOGS211172	A	2
DPSCF300007	DPOGS211158	A	2
DPSCF300007	DPOGS211156	A	2
DPSCF300007	DPOGS211218	A	2
DPSCF300007	DPOGS211108	A	2
DPSCF300007	DPOGS211109	A	2
DPSCF300007	DPOGS211080	A	2
