scaffold	chromosome	bin	centimorgan
scaffold2826	1	3	16.67
scaffold633	7	3	16.67
scaffold3012	16	4	25.00
scaffold4932	16	NA	NA
scaffold6446	21	5	33.33
scaffold114	21	NA	NA
scaffold1800	30	1	0.00
scaffold773	19	5	33.33
scaffold3649	2	NA	NA
scaffold2506	11	7	50.00
scaffold241	13	NA	NA
scaffold5036	21	NA	NA
scaffold1918	4	6	41.67
scaffold1167	22	4	25.00
scaffold1152	16	NA	NA
scaffold1520	31	3	16.67
scaffold445	11	5	33.33
scaffold3097	3	8	58.33
scaffold2354	28	6	41.67
scaffold1842	4	NA	NA
scaffold3607	27	3	16.67
scaffold6902	5	1	0.00
scaffold434	16	7	50.00
scaffold2554	1	3	16.67
scaffold2191	10	4	25.00
scaffold3425	19	6	41.67
scaffold7	14	7	50.00
scaffold542	2	NA	NA
scaffold3064	13	5	33.33
scaffold4079	7	2	8.33
scaffold2275	18	5	33.33
scaffold1916	9	7	50.00
scaffold91	16	4	25.00
scaffold6149	5	5	33.33
scaffold2875	9	4	25.00
scaffold3521	12	NA	NA
scaffold4144	17	NA	NA
scaffold672	12	7	50.00
scaffold1526	8	NA	NA
scaffold2988	13	2	8.33
scaffold2587	14	4	25.00
scaffold793	28	2	8.33
scaffold3219	28	NA	NA
scaffold8134	4	6	41.67
scaffold1247	6	6	41.67
scaffold1113	18	NA	NA
scaffold901	8	1	0.00
scaffold3876	7	5	33.33
scaffold81	11	6	41.67
scaffold4016	2	7	50.00
scaffold2359	1	3	16.67
scaffold3906	21	NA	NA
scaffold1721	14	7	50.00
scaffold2476	23	2	8.33
scaffold669	4	7	50.00
scaffold130	3	2	8.33
scaffold4745	6	7	50.00
scaffold5129	23	2	8.33
scaffold4832	11	3	16.67
scaffold1722	22	2	8.33
scaffold2082	8	3	16.67
scaffold3311	25	5	33.33
scaffold2449	21	2	8.33
scaffold6797	16	1	0.00
scaffold2560	23	2	8.33
scaffold1681	9	7	50.00
scaffold1698	1	NA	NA
scaffold2698	22	4	25.00
scaffold3920	14	7	50.00
scaffold178	5	1	0.00
scaffold1404	16	1	0.00
scaffold5705	26	3	16.67
scaffold5116	10	2	8.33
scaffold2206	17	3	16.67
scaffold5189	18	NA	NA
scaffold2612	10	NA	NA
scaffold3297	23	NA	NA
scaffold4615	25	7	50.00
scaffold1276	3	6	41.67
scaffold329	22	5	33.33
scaffold1313	3	4	25.00
scaffold1438	8	2	8.33
scaffold319	31	4	25.00
scaffold4460	1	NA	NA
scaffold3803	14	1	0.00
scaffold1204	24	9	66.67
scaffold3094	3	1	0.00
scaffold8029	2	8	58.33
scaffold2438	2	10	75.00
scaffold5007	4	6	41.67
scaffold2051	15	5	33.33
scaffold3469	7	2	8.33
scaffold4925	27	NA	NA
scaffold8048	4	NA	NA
scaffold727	16	NA	NA
scaffold3172	18	5	33.33
scaffold3110	19	1	0.00
scaffold10063	31	NA	NA
scaffold2052	10	4	25.00
scaffold1735	10	4	25.00
scaffold4031	4	3	16.67
scaffold3485	17	NA	NA
scaffold173	18	4	25.00
scaffold5163	12	8	58.33
scaffold6256	5	1	0.00
scaffold439	11	6	41.67
scaffold2807	15	NA	NA
scaffold2227	17	3	16.67
scaffold3060	11	1	0.00
scaffold9887	24	NA	NA
scaffold5885	1	6	41.67
scaffold5151	21	4	25.00
scaffold4715	23	1	0.00
scaffold3441	13	4	25.00
scaffold4241	25	3	16.67
scaffold2966	18	1	0.00
scaffold7187	10	2	8.33
scaffold2370	20	1	0.00
scaffold3385	21	NA	NA
scaffold4099	29	NA	NA
scaffold303	19	1	0.00
scaffold1459	11	1	0.00
scaffold252	2	4	25.00
scaffold1465	23	2	8.33
scaffold4511	31	NA	NA
scaffold4751	16	NA	NA
scaffold9675	12	NA	NA
scaffold1241	23	6	41.67
scaffold6071	25	6	41.67
scaffold7649	19	1	0.00
scaffold1327	19	1	0.00
scaffold2591	24	6	41.67
scaffold5254	15	3	16.67
scaffold1904	1	3	16.67
scaffold4304	2	3	16.67
scaffold7727	13	NA	NA
scaffold1387	8	4	25.00
scaffold279	18	4	25.00
scaffold748	3	4	25.00
scaffold2989	4	6	41.67
scaffold1823	15	6	41.67
scaffold163	20	3	16.67
scaffold623	14	4	25.00
scaffold272	12	NA	NA
scaffold2175	14	4	25.00
scaffold4917	23	2	8.33
scaffold7121	1	NA	NA
scaffold718	7	5	33.33
scaffold3207	18	5	33.33
scaffold6142	5	4	25.00
scaffold3496	25	4	25.00
scaffold3108	1	NA	NA
scaffold622	3	8	58.33
scaffold3127	23	6	41.67
scaffold433	15	5	33.33
scaffold6351	30	NA	NA
scaffold4349	29	NA	NA
scaffold10952	31	NA	NA
scaffold2498	24	NA	NA
scaffold655	15	4	25.00
scaffold208	2	7	50.00
scaffold1421	28	4	25.00
scaffold4959	30	1	0.00
scaffold2616	31	1	0.00
scaffold2828	15	NA	NA
scaffold690	14	6	41.67
scaffold6531	1	3	16.67
scaffold2030	2	5	33.33
scaffold1764	1	3	16.67
scaffold2335	3	4	25.00
scaffold3139	1	1	0.00
scaffold2521	4	6	41.67
scaffold768	26	4	25.00
scaffold2149	24	6	41.67
scaffold899	4	3	16.67
scaffold3303	14	NA	NA
scaffold124	22	2	8.33
scaffold152	19	1	0.00
scaffold4920	7	NA	NA
scaffold4186	13	NA	NA
scaffold553	22	6	41.67
scaffold1425	25	NA	NA
scaffold507	14	2	8.33
scaffold5622	19	NA	NA
scaffold4825	7	2	8.33
scaffold1565	28	5	33.33
scaffold1846	22	3	16.67
scaffold5218	5	2	8.33
scaffold1065	28	4	25.00
scaffold488	3	1	0.00
scaffold2260	17	4	25.00
scaffold6815	31	NA	NA
scaffold296	27	3	16.67
scaffold3879	20	8	58.33
scaffold2754	3	6	41.67
scaffold2644	16	4	25.00
scaffold2974	21	4	25.00
scaffold706	4	3	16.67
scaffold437	13	5	33.33
scaffold6162	26	5	33.33
scaffold2378	24	NA	NA
scaffold5697	10	NA	NA
scaffold564	1	3	16.67
scaffold3972	29	7	50.00
scaffold7806	17	4	25.00
scaffold237	23	5	33.33
scaffold907	16	5	33.33
scaffold2668	14	2	8.33
scaffold6202	17	4	25.00
scaffold5984	6	4	25.00
scaffold532	12	2	8.33
scaffold1280	4	6	41.67
scaffold2188	1	5	33.33
scaffold100	5	4	25.00
scaffold4169	27	3	16.67
scaffold606	30	NA	NA
scaffold2100	9	3	16.67
scaffold58	5	4	25.00
scaffold859	8	4	25.00
scaffold1834	21	NA	NA
scaffold1788	27	3	16.67
scaffold1192	14	NA	NA
scaffold2325	3	4	25.00
scaffold4211	10	NA	NA
scaffold4230	5	1	0.00
scaffold861	7	NA	NA
scaffold1366	11	7	50.00
scaffold423	13	4	25.00
scaffold974	21	4	25.00
scaffold4042	18	3	16.67
scaffold5065	19	NA	NA
scaffold1720	8	1	0.00
scaffold3287	4	3	16.67
scaffold656	14	4	25.00
scaffold3762	5	2	8.33
scaffold77	1	3	16.67
scaffold110	10	2	8.33
scaffold3600	29	2	8.33
scaffold6558	25	4	25.00
scaffold6915	21	2	8.33
scaffold4903	6	NA	NA
scaffold3934	31	3	16.67
scaffold3715	27	3	16.67
scaffold2360	12	7	50.00
scaffold1434	10	4	25.00
scaffold650	18	NA	NA
scaffold2732	3	4	25.00
scaffold1671	2	9	66.67
scaffold287	15	NA	NA
scaffold2151	20	8	58.33
scaffold1928	17	4	25.00
scaffold2869	15	6	41.67
scaffold451	9	3	16.67
scaffold1243	31	2	8.33
scaffold2426	11	7	50.00
scaffold2341	19	1	0.00
scaffold3584	16	NA	NA
scaffold375	28	5	33.33
scaffold15	6	4	25.00
scaffold3424	22	7	50.00
scaffold2117	2	9	66.67
scaffold9992	1	NA	NA
scaffold355	13	6	41.67
scaffold8277	11	6	41.67
scaffold5836	11	5	33.33
scaffold3332	17	4	25.00
scaffold213	21	4	25.00
scaffold2003	6	7	50.00
scaffold3477	19	1	0.00
scaffold4709	17	4	25.00
scaffold5339	9	6	41.67
scaffold3059	3	4	25.00
scaffold2598	6	NA	NA
scaffold3646	28	6	41.67
scaffold7801	6	5	33.33
scaffold1123	22	6	41.67
scaffold2860	12	NA	NA
scaffold3123	12	2	8.33
scaffold670	8	3	16.67
scaffold3205	19	1	0.00
scaffold8133	19	1	0.00
scaffold8261	12	2	8.33
scaffold2456	7	NA	NA
scaffold5338	19	6	41.67
scaffold3704	24	6	41.67
scaffold2672	23	NA	NA
scaffold1710	22	3	16.67
scaffold4762	29	2	8.33
scaffold4300	2	7	50.00
scaffold2249	12	7	50.00
scaffold1524	31	3	16.67
scaffold1806	3	4	25.00
scaffold239	21	4	25.00
scaffold461	11	3	16.67
scaffold2267	18	5	33.33
scaffold1814	2	7	50.00
scaffold2208	24	7	50.00
scaffold960	25	7	50.00
scaffold4595	30	4	25.00
scaffold5429	13	2	8.33
scaffold2617	4	NA	NA
scaffold4048	9	8	58.33
scaffold1323	22	6	41.67
scaffold5100	2	NA	NA
scaffold6795	14	NA	NA
scaffold1591	25	7	50.00
scaffold9376	13	NA	NA
scaffold2431	2	NA	NA
scaffold2087	8	3	16.67
scaffold5048	3	4	25.00
scaffold3537	8	1	0.00
scaffold317	6	4	25.00
scaffold6497	1	NA	NA
scaffold2559	31	NA	NA
scaffold3104	17	4	25.00
scaffold222	30	1	0.00
scaffold565	28	2	8.33
scaffold2750	2	7	50.00
scaffold1139	1	2	8.33
scaffold764	24	6	41.67
scaffold2583	23	8	58.33
scaffold3178	6	6	41.67
scaffold545	4	6	41.67
scaffold280	8	NA	NA
scaffold3929	29	6	41.67
scaffold4088	17	6	41.67
scaffold1301	1	4	25.00
scaffold4001	31	NA	NA
scaffold3653	13	2	8.33
scaffold1037	31	NA	NA
scaffold3275	1	5	33.33
scaffold3481	8	3	16.67
scaffold1225	2	9	66.67
scaffold2987	21	NA	NA
scaffold1267	30	NA	NA
scaffold339	7	5	33.33
scaffold7120	10	NA	NA
scaffold1307	28	NA	NA
scaffold3146	1	5	33.33
scaffold852	8	3	16.67
scaffold2171	17	4	25.00
scaffold3265	27	3	16.67
scaffold2034	23	1	0.00
scaffold1668	10	2	8.33
scaffold6324	4	NA	NA
scaffold2246	14	4	25.00
scaffold4676	3	4	25.00
scaffold889	20	9	66.67
scaffold25	3	4	25.00
scaffold1383	31	NA	NA
scaffold7744	19	1	0.00
scaffold3044	19	NA	NA
scaffold122	7	2	8.33
scaffold3199	27	3	16.67
scaffold446	25	2	8.33
scaffold3128	21	4	25.00
scaffold2736	22	7	50.00
scaffold910	10	4	25.00
scaffold1357	23	1	0.00
scaffold5063	6	4	25.00
scaffold5376	23	2	8.33
scaffold738	23	6	41.67
scaffold1339	22	NA	NA
scaffold5554	15	2	8.33
scaffold7533	20	8	58.33
scaffold2944	21	2	8.33
scaffold5262	11	7	50.00
scaffold862	15	7	50.00
scaffold805	21	5	33.33
scaffold2849	19	1	0.00
scaffold2482	3	1	0.00
scaffold936	4	6	41.67
scaffold5243	21	4	25.00
scaffold4074	10	NA	NA
scaffold2491	14	7	50.00
scaffold2450	11	NA	NA
scaffold2048	14	NA	NA
scaffold1651	8	4	25.00
scaffold1931	9	7	50.00
scaffold5866	21	2	8.33
scaffold3314	30	1	0.00
scaffold629	1	5	33.33
scaffold5185	24	6	41.67
scaffold3608	4	3	16.67
scaffold2818	17	7	50.00
scaffold5910	3	8	58.33
scaffold808	15	5	33.33
scaffold204	2	NA	NA
scaffold1314	15	NA	NA
scaffold1781	24	8	58.33
scaffold2137	3	4	25.00
scaffold871	25	NA	NA
scaffold2105	14	6	41.67
scaffold809	17	7	50.00
scaffold2565	12	NA	NA
scaffold181	21	9	66.67
scaffold52	15	NA	NA
scaffold4462	31	1	0.00
scaffold4097	23	2	8.33
scaffold2887	10	3	16.67
scaffold10192	10	3	16.67
scaffold4010	5	3	16.67
scaffold3084	2	7	50.00
scaffold127	1	3	16.67
scaffold1177	7	NA	NA
scaffold373	18	4	25.00
scaffold3478	11	6	41.67
scaffold1695	29	NA	NA
scaffold74	13	6	41.67
scaffold1631	7	3	16.67
scaffold3564	25	7	50.00
scaffold2868	2	7	50.00
scaffold5407	30	1	0.00
scaffold2187	27	NA	NA
scaffold219	18	1	0.00
scaffold4830	20	1	0.00
scaffold8807	7	NA	NA
scaffold3180	1	NA	NA
scaffold2045	19	NA	NA
scaffold6725	9	8	58.33
scaffold834	20	NA	NA
scaffold2231	28	4	25.00
scaffold3619	6	4	25.00
scaffold1361	21	4	25.00
scaffold800	18	8	58.33
scaffold458	12	NA	NA
scaffold6403	31	1	0.00
scaffold1040	23	2	8.33
scaffold11441	1	NA	NA
scaffold187	8	3	16.67
scaffold3951	10	4	25.00
scaffold4603	23	6	41.67
scaffold172	4	1	0.00
scaffold517	24	6	41.67
scaffold5842	15	5	33.33
scaffold2544	7	NA	NA
scaffold1450	1	NA	NA
scaffold880	11	5	33.33
scaffold6672	17	4	25.00
scaffold7976	13	4	25.00
scaffold7203	14	2	8.33
scaffold2906	26	3	16.67
scaffold468	3	6	41.67
scaffold4455	18	1	0.00
scaffold3698	7	2	8.33
scaffold2220	6	2	8.33
scaffold2651	25	7	50.00
scaffold166	26	NA	NA
scaffold1513	15	5	33.33
scaffold1585	28	NA	NA
scaffold1784	7	2	8.33
scaffold5977	23	1	0.00
scaffold1588	3	NA	NA
scaffold5797	29	7	50.00
scaffold958	13	5	33.33
scaffold2977	23	6	41.67
scaffold1905	23	1	0.00
scaffold825	17	3	16.67
scaffold4778	16	5	33.33
scaffold3453	17	NA	NA
scaffold4164	1	3	16.67
scaffold93	7	6	41.67
scaffold526	11	6	41.67
scaffold849	12	NA	NA
scaffold2397	8	3	16.67
scaffold3616	4	6	41.67
scaffold784	19	3	16.67
scaffold2728	12	6	41.67
scaffold2018	8	3	16.67
scaffold1321	18	3	16.67
scaffold2907	4	6	41.67
scaffold1929	1	3	16.67
scaffold2897	10	2	8.33
scaffold2059	10	2	8.33
scaffold1655	18	NA	NA
scaffold909	27	1	0.00
scaffold86	21	4	25.00
scaffold2713	8	5	33.33
scaffold1699	19	NA	NA
scaffold2658	8	5	33.33
scaffold1826	22	4	25.00
scaffold1878	18	2	8.33
scaffold1282	22	6	41.67
scaffold9826	31	1	0.00
scaffold915	13	5	33.33
scaffold1048	5	4	25.00
scaffold4090	29	6	41.67
scaffold7280	18	3	16.67
scaffold1537	3	4	25.00
scaffold254	17	3	16.67
scaffold4700	8	1	0.00
scaffold1525	1	1	0.00
scaffold463	7	2	8.33
scaffold3400	4	NA	NA
scaffold586	22	3	16.67
scaffold4142	14	1	0.00
scaffold2299	30	4	25.00
scaffold1471	29	2	8.33
scaffold6321	18	NA	NA
scaffold842	22	6	41.67
scaffold4274	29	7	50.00
scaffold2671	4	7	50.00
scaffold4378	13	2	8.33
scaffold3888	7	2	8.33
scaffold6784	11	3	16.67
scaffold10770	2	4	25.00
scaffold1463	17	7	50.00
scaffold2475	10	2	8.33
scaffold1063	15	2	8.33
scaffold2939	17	4	25.00
scaffold3028	15	NA	NA
scaffold1909	22	NA	NA
scaffold3215	17	4	25.00
scaffold1333	8	3	16.67
scaffold2993	21	2	8.33
scaffold6813	13	5	33.33
scaffold878	23	NA	NA
scaffold4329	7	NA	NA
scaffold7521	10	2	8.33
scaffold3887	24	NA	NA
scaffold1890	2	8	58.33
scaffold4208	1	2	8.33
scaffold1839	3	4	25.00
scaffold1829	8	3	16.67
scaffold9306	30	1	0.00
scaffold1922	7	1	0.00
scaffold4151	22	3	16.67
scaffold483	24	6	41.67
scaffold1498	20	4	25.00
scaffold6680	20	NA	NA
scaffold1271	27	NA	NA
scaffold2885	3	4	25.00
scaffold4849	1	NA	NA
scaffold1439	15	4	25.00
scaffold1039	1	3	16.67
scaffold1496	6	7	50.00
scaffold4600	9	5	33.33
scaffold501	14	NA	NA
scaffold5751	9	5	33.33
scaffold2494	4	2	8.33
scaffold344	8	3	16.67
scaffold2817	9	5	33.33
scaffold422	24	7	50.00
scaffold843	2	5	33.33
scaffold400	30	NA	NA
scaffold2568	18	3	16.67
scaffold1077	17	4	25.00
scaffold332	12	9	66.67
scaffold2702	18	4	25.00
scaffold11	3	NA	NA
scaffold2349	22	NA	NA
scaffold5457	6	NA	NA
scaffold2822	3	4	25.00
scaffold697	4	2	8.33
scaffold2202	28	4	25.00
scaffold2629	8	3	16.67
scaffold2196	23	4	25.00
scaffold1709	23	2	8.33
scaffold1736	1	2	8.33
scaffold1235	2	8	58.33
scaffold46	5	3	16.67
scaffold1997	10	4	25.00
scaffold2001	8	3	16.67
scaffold284	3	4	25.00
scaffold2334	3	4	25.00
scaffold1242	11	8	58.33
scaffold3170	13	2	8.33
scaffold258	1	3	16.67
scaffold803	4	3	16.67
scaffold1416	1	3	16.67
scaffold120	13	6	41.67
scaffold2908	18	2	8.33
scaffold1925	28	6	41.67
scaffold7849	7	NA	NA
scaffold3800	5	NA	NA
scaffold2839	4	NA	NA
scaffold1636	27	NA	NA
scaffold8123	8	1	0.00
scaffold5138	16	NA	NA
scaffold7062	29	6	41.67
scaffold7262	1	3	16.67
scaffold3602	18	NA	NA
scaffold4541	9	7	50.00
scaffold3384	8	5	33.33
scaffold1581	1	5	33.33
scaffold202	12	7	50.00
scaffold7655	12	7	50.00
scaffold791	15	5	33.33
scaffold4845	13	5	33.33
scaffold1212	16	NA	NA
scaffold7562	13	1	0.00
scaffold144	14	6	41.67
scaffold3685	28	2	8.33
scaffold2675	19	1	0.00
scaffold9635	3	4	25.00
scaffold389	10	4	25.00
scaffold2660	7	3	16.67
scaffold872	6	5	33.33
scaffold906	10	NA	NA
scaffold1641	2	8	58.33
scaffold3513	25	NA	NA
scaffold3798	19	NA	NA
scaffold1658	14	6	41.67
scaffold104	13	5	33.33
scaffold8223	7	NA	NA
scaffold5368	22	1	0.00
scaffold342	14	7	50.00
scaffold7479	15	1	0.00
scaffold854	26	8	58.33
scaffold11071	15	NA	NA
scaffold5837	19	1	0.00
scaffold778	10	4	25.00
scaffold1160	18	4	25.00
scaffold1044	3	4	25.00
scaffold1621	11	6	41.67
scaffold807	22	1	0.00
scaffold257	6	4	25.00
scaffold8988	5	2	8.33
scaffold2745	1	3	16.67
scaffold5253	29	1	0.00
scaffold2746	5	1	0.00
scaffold7697	19	3	16.67
scaffold4301	31	1	0.00
scaffold3327	13	6	41.67
scaffold6093	25	4	25.00
scaffold2166	20	9	66.67
scaffold1999	23	2	8.33
scaffold5614	28	5	33.33
scaffold866	7	3	16.67
scaffold2163	16	5	33.33
scaffold311	19	3	16.67
scaffold218	26	3	16.67
scaffold771	12	NA	NA
scaffold1262	5	4	25.00
scaffold7687	11	NA	NA
scaffold2363	8	5	33.33
scaffold546	17	8	58.33
scaffold9706	1	3	16.67
scaffold1214	16	7	50.00
scaffold1632	2	8	58.33
scaffold267	17	5	33.33
scaffold2717	6	NA	NA
scaffold7989	6	NA	NA
scaffold1838	12	NA	NA
scaffold60	26	NA	NA
scaffold1666	2	8	58.33
scaffold8200	2	8	58.33
scaffold3151	14	4	25.00
scaffold3081	25	1	0.00
scaffold43	18	NA	NA
scaffold6220	4	NA	NA
scaffold4389	16	4	25.00
scaffold1723	14	6	41.67
scaffold5240	21	4	25.00
scaffold3217	25	4	25.00
scaffold833	6	5	33.33
scaffold8205	10	NA	NA
scaffold2159	7	1	0.00
scaffold4754	20	4	25.00
scaffold617	10	NA	NA
scaffold231	27	NA	NA
scaffold3358	1	NA	NA
scaffold10618	13	5	33.33
scaffold3209	29	NA	NA
scaffold29	16	4	25.00
scaffold1662	13	5	33.33
scaffold1350	12	NA	NA
scaffold7993	26	NA	NA
scaffold7289	10	2	8.33
scaffold626	9	5	33.33
scaffold1004	23	1	0.00
scaffold1346	20	NA	NA
scaffold1683	26	6	41.67
scaffold3825	22	2	8.33
scaffold604	31	3	16.67
scaffold4354	16	5	33.33
scaffold1320	28	4	25.00
scaffold737	25	NA	NA
scaffold1107	25	5	33.33
scaffold20	11	6	41.67
scaffold5275	31	1	0.00
scaffold1958	22	2	8.33
scaffold4314	14	4	25.00
scaffold354	25	NA	NA
scaffold7312	6	2	8.33
scaffold5054	14	2	8.33
scaffold5032	17	8	58.33
scaffold2978	12	9	66.67
scaffold2794	11	5	33.33
scaffold6599	1	NA	NA
scaffold214	6	4	25.00
scaffold10902	13	NA	NA
scaffold411	28	4	25.00
scaffold8099	25	NA	NA
scaffold5197	11	6	41.67
scaffold4809	14	2	8.33
scaffold1897	10	4	25.00
scaffold4206	17	3	16.67
scaffold462	19	1	0.00
scaffold4983	7	1	0.00
scaffold4383	13	3	16.67
scaffold5206	8	NA	NA
scaffold385	4	6	41.67
scaffold696	11	NA	NA
scaffold4488	29	NA	NA
scaffold2157	9	5	33.33
scaffold2838	16	7	50.00
scaffold3	27	3	16.67
scaffold4669	23	2	8.33
scaffold251	20	9	66.67
scaffold2011	15	NA	NA
scaffold3066	17	1	0.00
scaffold479	21	1	0.00
scaffold1798	20	8	58.33
scaffold2927	1	4	25.00
scaffold45	10	4	25.00
scaffold438	1	4	25.00
