"Scaffold" "Length" "M36M" "M38F" "STM123F" "STM146M" "HI035F" "HI004M"
"216" "DPSCF300216" 395816 38 22 14 18 22 16
"217" "DPSCF300217" 298821 39 23 14 19 23 16
"218" "DPSCF300218" 432314 37 21 13 17 19 17
"219" "DPSCF300219" 603265 40 23 14 20 24 17
"220" "DPSCF300220" 294570 41 24 14 19 25 15
"221" "DPSCF300221" 486100 41 24 17 22 24 20
"222" "DPSCF300222" 702133 38 22 15 18 21 18
"223" "DPSCF300223" 794396 37 21 15 20 21 19
"224" "DPSCF300224" 291301 42 24 13 19 25 15
"225" "DPSCF300225" 291036 38 23 12 19 24 15
"226" "DPSCF300226" 290344 41 24 16 21 23 21
"227" "DPSCF300227" 290157 42 25 18 22 24 23
"228" "DPSCF300228" 289628 34 19 11 16 19 12
"229" "DPSCF300229" 435993 41 25 17 22 24 22
"230" "DPSCF300230" 404787 32 20 9 15 22 11
"231" "DPSCF300231" 706511 38 23 18 22 20 23
"232" "DPSCF300232" 741013 40 24 15 20 24 17
"233" "DPSCF300233" 280101 37 22 16 20 20 19
"234" "DPSCF300234" 648389 37 22 14 19 21 18
"235" "DPSCF300235" 550553 39 23 13 19 25 14
"236" "DPSCF300236" 593214 42 25 18 21 24 21
"237" "DPSCF300237" 427897 38 22 17 18 22 17
"238" "DPSCF300238" 313945 40 23 15 20 22 19
"239" "DPSCF300239" 350609 39 23 15 17 23 15
"240" "DPSCF300240" 273450 36 22 12 18 23 14
"241" "DPSCF300241" 273063 42 24 15 19 24 16
"242" "DPSCF300242" 269622 38 23 26 23 19 32
"243" "DPSCF300243" 265925 35 21 11 17 23 13
"244" "DPSCF300244" 265556 39 24 15 21 23 17
"245" "DPSCF300245" 502298 39 22 16 19 20 18
"246" "DPSCF300246" 264117 40 23 16 19 23 17
"247" "DPSCF300247" 263819 40 24 17 21 25 18
"248" "DPSCF300248" 263020 41 24 15 21 26 18
"249" "DPSCF300249" 313640 34 20 10 16 21 13
"250" "DPSCF300250" 453031 38 23 22 22 21 25
"251" "DPSCF300251" 436042 37 23 16 19 23 15
"252" "DPSCF300252" 313737 34 20 10 15 21 12
"253" "DPSCF300253" 259860 38 22 15 20 20 21
"254" "DPSCF300254" 354854 37 22 17 19 21 18
"255" "DPSCF300255" 257784 41 23 11 17 23 13
"256" "DPSCF300256" 399821 33 19 25 20 14 29
"257" "DPSCF300257" 253368 39 23 22 22 22 24
"258" "DPSCF300258" 412330 40 23 19 21 19 24
"259" "DPSCF300259" 357212 32 18 11 15 19 12
"260" "DPSCF300260" 336615 32 18 13 17 16 18
"261" "DPSCF300261" 248039 38 22 21 22 20 22
"262" "DPSCF300262" 690310 37 22 16 19 21 19
"263" "DPSCF300263" 290199 42 24 17 21 21 24
"264" "DPSCF300264" 246706 38 22 11 19 23 15
"265" "DPSCF300265" 419622 34 20 18 19 17 23
"266" "DPSCF300266" 291388 35 20 15 17 18 17
"267" "DPSCF300267" 243679 41 25 16 22 23 24
"268" "DPSCF300268" 256506 34 20 10 16 21 12
"269" "DPSCF300269" 239297 37 21 19 20 20 20
"270" "DPSCF300270" 237901 38 22 13 19 23 13
"271" "DPSCF300271" 385968 39 24 16 21 23 20
"272" "DPSCF300272" 237254 40 23 17 19 22 19
"273" "DPSCF300273" 392995 35 21 12 18 23 14
"274" "DPSCF300274" 234454 38 22 13 18 24 14
"275" "DPSCF300275" 284458 39 23 26 24 17 36
"276" "DPSCF300276" 447821 38 24 12 19 26 14
"277" "DPSCF300277" 294216 36 21 13 18 19 17
"278" "DPSCF300278" 228555 39 23 13 19 22 16
"279" "DPSCF300279" 230650 45 26 19 22 25 26
"280" "DPSCF300280" 223569 40 23 17 21 20 27
"281" "DPSCF300281" 389601 41 24 15 21 25 19
"282" "DPSCF300282" 221592 43 25 16 21 25 22
"283" "DPSCF300283" 316375 31 18 14 15 16 15
"284" "DPSCF300284" 218866 45 26 16 22 25 22
"285" "DPSCF300285" 218027 38 22 15 17 22 14
"286" "DPSCF300286" 297155 36 21 11 17 23 13
"287" "DPSCF300287" 439889 39 23 14 19 22 18
"288" "DPSCF300288" 216556 37 22 13 19 21 18
"289" "DPSCF300289" 464205 35 21 12 17 22 13
"290" "DPSCF300290" 421625 39 22 15 18 21 17
"291" "DPSCF300291" 213629 42 24 15 20 22 18
"292" "DPSCF300292" 212706 32 19 13 16 19 14
"293" "DPSCF300293" 208322 38 23 15 20 22 18
"294" "DPSCF300294" 250053 38 23 14 20 22 20
"295" "DPSCF300295" 205054 35 21 13 19 20 17
"296" "DPSCF300296" 278704 37 22 12 19 24 14
"297" "DPSCF300297" 487071 35 20 11 17 19 15
"298" "DPSCF300298" 393655 41 24 13 18 23 16
"299" "DPSCF300299" 246119 38 22 13 18 22 14
"300" "DPSCF300300" 253335 35 21 11 17 22 13
"301" "DPSCF300301" 196055 41 24 15 19 24 18
"302" "DPSCF300302" 193522 38 23 11 18 23 15
"303" "DPSCF300303" 343463 32 19 12 16 21 13
"304" "DPSCF300304" 192353 38 23 31 24 19 35
"305" "DPSCF300305" 190452 44 24 14 20 24 16
"306" "DPSCF300306" 231560 29 18 9 14 19 10
"307" "DPSCF300307" 189519 40 24 16 20 24 22
"308" "DPSCF300308" 187530 40 23 17 19 21 21
"309" "DPSCF300309" 186834 38 22 13 18 22 15
"310" "DPSCF300310" 184856 40 24 14 19 24 15
"311" "DPSCF300311" 182731 34 20 11 16 22 11
"312" "DPSCF300312" 181479 25 15 8 13 15 11
"313" "DPSCF300313" 181325 40 22 11 17 23 12
"314" "DPSCF300314" 181092 41 24 17 21 24 19
"315" "DPSCF300315" 249842 40 23 14 17 21 15
"316" "DPSCF300316" 202471 31 18 14 16 16 19
"317" "DPSCF300317" 177028 23 14 9 12 13 12
"318" "DPSCF300318" 176205 37 22 14 18 21 16
"319" "DPSCF300319" 175368 40 22 22 21 21 21
"320" "DPSCF300320" 175354 39 22 19 21 20 24
"321" "DPSCF300321" 174480 42 24 16 21 22 23
"322" "DPSCF300322" 567976 31 18 12 16 17 14
"323" "DPSCF300323" 283322 42 24 18 22 23 22
"324" "DPSCF300324" 172829 42 25 16 22 22 25
"325" "DPSCF300325" 285677 42 24 15 20 25 21
"326" "DPSCF300326" 172211 37 22 15 20 21 18
"327" "DPSCF300327" 205800 39 22 17 19 20 18
"328" "DPSCF300328" 267540 33 19 10 15 20 10
"329" "DPSCF300329" 292006 34 20 11 16 22 11
"330" "DPSCF300330" 170151 36 21 14 18 22 14
"331" "DPSCF300331" 265891 34 20 11 16 22 12
"332" "DPSCF300332" 232135 40 23 13 18 23 14
"333" "DPSCF300333" 166310 33 20 11 16 21 13
"334" "DPSCF300334" 274899 32 19 19 18 15 22
"335" "DPSCF300335" 164131 38 22 13 18 23 13
"336" "DPSCF300336" 236789 24 15 10 12 15 10
"337" "DPSCF300337" 252630 38 22 14 19 22 17
"338" "DPSCF300338" 161917 36 22 11 18 24 14
"339" "DPSCF300339" 161685 40 23 18 19 22 20
"340" "DPSCF300340" 180925 20 12 12 10 11 11
"341" "DPSCF300341" 260956 32 19 12 16 17 15
"342" "DPSCF300342" 156936 41 25 15 20 24 17
"343" "DPSCF300343" 156278 37 22 12 18 24 14
"344" "DPSCF300344" 226772 36 21 12 16 21 14
"345" "DPSCF300345" 359413 35 20 12 17 22 13
"346" "DPSCF300346" 382612 36 22 14 19 21 16
"347" "DPSCF300347" 153629 41 25 15 21 27 16
"348" "DPSCF300348" 153608 34 19 10 15 18 13
"349" "DPSCF300349" 182398 32 19 12 15 18 14
"350" "DPSCF300350" 329303 27 15 8 12 15 11
"351" "DPSCF300351" 149950 27 16 14 14 13 17
"352" "DPSCF300352" 149901 30 18 10 14 18 11
"353" "DPSCF300353" 149556 41 25 19 21 24 24
"354" "DPSCF300354" 309650 26 15 13 14 13 15
"355" "DPSCF300355" 340490 36 21 14 18 19 18
"356" "DPSCF300356" 329555 36 21 12 18 23 14
"357" "DPSCF300357" 144091 42 24 19 20 24 20
"358" "DPSCF300358" 143449 38 23 13 20 24 17
"359" "DPSCF300359" 142504 36 21 15 19 21 18
"360" "DPSCF300360" 142056 42 24 15 19 24 17
"361" "DPSCF300361" 141450 41 24 16 19 23 19
"362" "DPSCF300362" 147290 35 21 12 17 22 15
"363" "DPSCF300363" 140081 38 23 12 18 22 14
"364" "DPSCF300364" 177198 34 20 12 16 20 12
"365" "DPSCF300365" 137182 35 21 13 17 23 14
"366" "DPSCF300366" 136527 36 22 13 19 23 14
"367" "DPSCF300367" 136475 35 22 37 24 16 39
"368" "DPSCF300368" 136458 30 18 9 16 21 12
"369" "DPSCF300369" 135660 38 22 18 18 22 15
"370" "DPSCF300370" 172181 22 13 18 14 10 18
"371" "DPSCF300371" 131526 41 23 16 20 22 21
"372" "DPSCF300372" 131143 40 22 15 19 21 20
"373" "DPSCF300373" 141538 34 20 19 19 16 26
"374" "DPSCF300374" 239086 28 16 10 14 14 13
"375" "DPSCF300375" 125374 33 19 13 16 16 19
"376" "DPSCF300376" 123413 40 24 18 22 21 27
"377" "DPSCF300377" 121386 32 19 9 16 19 12
"378" "DPSCF300378" 120142 39 23 13 18 25 13
"379" "DPSCF300379" 184989 38 23 14 19 24 14
"380" "DPSCF300380" 118431 36 21 14 18 23 14
"381" "DPSCF300381" 118164 42 23 12 20 23 17
"382" "DPSCF300382" 207969 35 21 11 17 22 12
"383" "DPSCF300383" 117185 41 25 18 19 24 17
"384" "DPSCF300384" 116654 36 20 15 16 18 19
"385" "DPSCF300385" 115061 38 21 13 17 18 18
"386" "DPSCF300386" 114134 30 16 12 12 16 11
"387" "DPSCF300387" 113944 36 22 13 17 23 13
"388" "DPSCF300388" 113011 26 15 15 13 12 18
"389" "DPSCF300389" 112924 39 24 12 19 25 15
"390" "DPSCF300390" 154252 41 23 19 20 22 17
"391" "DPSCF300391" 224263 33 19 14 16 17 16
"392" "DPSCF300392" 112041 37 21 21 21 19 20
"393" "DPSCF300393" 162311 27 16 10 13 16 13
"394" "DPSCF300394" 110929 37 22 17 19 21 20
"395" "DPSCF300395" 110910 28 17 22 19 11 26
"396" "DPSCF300396" 138427 41 23 14 18 23 18
"397" "DPSCF300397" 115218 37 22 14 18 21 19
"398" "DPSCF300398" 109687 39 23 13 19 24 14
"399" "DPSCF300399" 109262 38 24 17 21 24 20
"400" "DPSCF300400" 168136 41 24 15 20 25 17
"401" "DPSCF300401" 213954 35 20 15 17 16 20
"402" "DPSCF300402" 107858 29 16 15 16 14 20
"403" "DPSCF300403" 169890 34 20 11 16 22 12
"404" "DPSCF300404" 106584 34 20 11 17 20 15
"405" "DPSCF300405" 106320 23 14 18 14 11 19
"406" "DPSCF300406" 104823 31 18 9 15 21 10
"407" "DPSCF300407" 414716 38 22 18 20 20 20
"408" "DPSCF300408" 104569 35 20 13 17 19 15
"409" "DPSCF300409" 180121 2 1 1 0 1 0
"410" "DPSCF300410" 103743 25 14 10 13 15 12
"411" "DPSCF300411" 123462 35 20 13 16 20 14
"412" "DPSCF300412" 101848 24 15 8 12 18 8
"413" "DPSCF300413" 160499 34 20 8 16 22 11
"414" "DPSCF300414" 100977 34 21 11 17 22 12
"415" "DPSCF300415" 100383 44 26 16 22 25 22
"416" "DPSCF300416" 100358 38 22 12 19 25 14
"417" "DPSCF300417" 98859 35 21 31 24 14 35
"418" "DPSCF300418" 98611 35 20 19 19 17 23
"419" "DPSCF300419" 97737 35 20 11 17 20 14
"420" "DPSCF300420" 96416 35 21 18 19 18 21
"421" "DPSCF300421" 95831 26 15 13 14 13 16
"422" "DPSCF300422" 95392 35 21 12 17 23 12
"423" "DPSCF300423" 139723 30 18 10 15 16 13
"424" "DPSCF300424" 133123 23 14 9 12 14 10
"425" "DPSCF300425" 94558 42 25 15 20 25 17
"426" "DPSCF300426" 200888 37 21 12 18 23 13
"427" "DPSCF300427" 205887 26 15 15 14 13 15
"428" "DPSCF300428" 93465 37 23 19 21 23 20
"429" "DPSCF300429" 93389 17 9 6 8 8 8
"430" "DPSCF300430" 93260 25 15 9 13 16 11
"431" "DPSCF300431" 184138 37 22 13 18 22 14
"432" "DPSCF300432" 90882 37 21 19 21 15 31
"433" "DPSCF300433" 89676 32 17 13 14 19 13
"434" "DPSCF300434" 89231 20 13 8 10 13 9
"435" "DPSCF300435" 88822 34 21 13 18 20 18
"436" "DPSCF300436" 106416 25 15 9 13 16 11
"437" "DPSCF300437" 86052 34 19 9 17 21 13
"438" "DPSCF300438" 84239 34 19 14 17 16 20
"439" "DPSCF300439" 83669 27 16 10 14 19 12
"440" "DPSCF300440" 98888 8 7 3 5 5 5
"441" "DPSCF300441" 83376 37 22 21 22 15 36
"442" "DPSCF300442" 82733 37 21 17 17 17 18
"443" "DPSCF300443" 83826 32 20 10 15 20 12
"444" "DPSCF300444" 115289 36 19 10 15 19 12
"445" "DPSCF300445" 79264 35 20 12 16 21 15
"446" "DPSCF300446" 183974 30 18 17 18 15 19
"447" "DPSCF300447" 78769 35 20 12 16 23 10
"448" "DPSCF300448" 78653 20 12 8 10 11 9
"449" "DPSCF300449" 76984 27 14 11 14 11 16
"450" "DPSCF300450" 159269 22 13 8 10 11 13
"451" "DPSCF300451" 75264 43 25 19 18 23 24
"452" "DPSCF300452" 104935 29 16 10 13 17 9
"453" "DPSCF300453" 86529 23 13 10 11 12 9
"454" "DPSCF300454" 74617 39 23 16 19 20 21
"455" "DPSCF300455" 110529 34 20 10 15 20 12
"456" "DPSCF300456" 73977 39 24 37 24 20 39
"457" "DPSCF300457" 73956 28 16 16 13 16 13
"458" "DPSCF300458" 73280 20 11 9 11 12 9
"459" "DPSCF300459" 134964 37 23 14 18 22 15
"460" "DPSCF300460" 140578 37 22 13 17 20 18
"461" "DPSCF300461" 82076 22 14 8 11 14 11
"462" "DPSCF300462" 71887 39 22 13 19 21 17
"463" "DPSCF300463" 71695 25 15 9 13 16 13
"464" "DPSCF300464" 71687 17 10 9 9 9 8
"465" "DPSCF300465" 71865 34 20 13 16 20 13
"466" "DPSCF300466" 69912 0 4 5 0 6 0
"467" "DPSCF300467" 94767 33 19 18 17 18 15
"468" "DPSCF300468" 68232 34 19 10 16 22 12
"469" "DPSCF300469" 68064 31 16 11 13 16 12
"470" "DPSCF300470" 67629 26 17 8 13 15 13
"471" "DPSCF300471" 77575 31 19 15 16 18 18
"472" "DPSCF300472" 67348 24 16 8 13 18 9
"473" "DPSCF300473" 65585 22 13 8 11 13 7
"474" "DPSCF300474" 65565 29 17 9 13 18 9
"475" "DPSCF300475" 89759 24 15 7 12 15 11
"476" "DPSCF300476" 64466 36 22 13 17 23 12
"477" "DPSCF300477" 77538 24 14 7 12 15 9
"478" "DPSCF300478" 63575 35 21 19 20 17 30
"479" "DPSCF300479" 63452 41 25 16 22 25 21
"480" "DPSCF300480" 118791 25 15 9 13 16 10
"481" "DPSCF300481" 62886 26 19 10 13 17 10
"482" "DPSCF300482" 69408 34 19 12 16 17 14
"483" "DPSCF300483" 62362 24 14 8 13 12 12
"484" "DPSCF300484" 61739 34 22 9 17 22 14
"485" "DPSCF300485" 60971 40 23 21 22 18 30
"486" "DPSCF300486" 60402 38 22 11 16 20 13
"487" "DPSCF300487" 60325 36 22 11 18 24 15
"488" "DPSCF300488" 60959 25 14 9 12 15 11
"489" "DPSCF300489" 59938 33 18 11 16 17 15
"490" "DPSCF300490" 59937 32 19 17 17 19 18
"491" "DPSCF300491" 59708 39 21 12 17 19 15
"492" "DPSCF300492" 81895 22 12 7 10 13 10
"493" "DPSCF300493" 75630 35 19 9 16 19 11
"494" "DPSCF300494" 57200 24 15 9 13 15 10
