chr	registered_name	accession	Lengthgap	start	end	chr	old_name	cm.start	cd.end	length_nogap	without_gap	direction	n_markers
6	Bm_scaf49	DF090364	2969584	13444196	16413779	6	nscaf2852	32.3	40.7	"2,961,484 "	"2,691,899 "	F	9
6	Bm_scaf122	DF090437	715566	16913780	17629345	6	nscaf2279	41.2	41.2	"711,426 "	"641,439 "	N	1
6	Bm_scaf117	DF090432	820156	18129346	18949501	6	nscaf2556	44.4	44.9	"818,626 "	"677,354 "	R	5
7	Bm_scaf170	DF090485	178095	1	178095	7	nscaf2981	0	0	"177,465 "	"165,075 "	N	2
7	Bm_scaf45	DF090360	3364234	678096	4042329	7	nscaf2983	3.2	10	"3,356,134 "	"2,987,289 "	F	11
7	Bm_scaf179	DF090494	146422	4542330	4688751	7	nscaf2985	9.5	10	"146,152 "	"134,713 "	F	3
7	Bm_scaf15	DF090330	6423983	5188752	11612734	7	nscaf2986	11.4	34.6	"6,409,583 "	"5,873,253 "	F	29
7	Bm_scaf407	DF090716	56586	12112735	12169320	7	scaffold696	37.2	37.2	"56,406 "	"22,983 "	N	1
7	Bm_scaf136	DF090451	541652	12669321	13210972	7	nscaf2905	37.2	37.2	"538,232 "	"478,515 "	N	1
7	Bm_scaf90	DF090405	1464009	13710973	15174981	7	nscaf2912	39.8	43	"1,460,319 "	"1,363,022 "	F	3
7	Bm_scaf132	DF090447	607126	15674982	16282107	7	nscaf2910	45.6	45.6	"605,326 "	"555,313 "	N	5
8	Bm_scaf80	DF090395	1684774	1	1684774	8	nscaf98	0	4.2	"1,679,284 "	"1,451,984 "	F	5
8	Bm_scaf76	DF090391	1642413	2184775	3827187	8	nscaf463	6.3	9.4	"1,639,263 "	"1,496,796 "	F	3
8	Bm_scaf58	DF090373	2336930	4327188	6664117	8	nscaf2827	15.2	20.6	"2,331,800 "	"2,107,601 "	F	6
8	Bm_scaf19	DF090334	6098939	7164118	13263056	8	nscaf2828	22.6	35.2	"6,086,789 "	"5,310,717 "	F	23
8	Bm_scaf241	DF090556	63791	13763057	13826847	8	nscaf3108	35.7	35.7	"63,791 "	"58,555 "	N	1
8	Bm_scaf161	DF090476	275540	14326848	14602387	8	nscaf2965	36.8	36.8	"275,000 "	"244,093 "	N	2
8	Bm_scaf137	DF090452	505773	15102388	15608160	8	nscaf2971	39.7	39.7	"504,153 "	"464,808 "	N	1
8	Bm_scaf51	DF090366	2786897	16108161	18895057	8	nscaf2970	46.9	53.6	"2,780,867 "	"2,574,369 "	F	7
9	Bm_scaf41	DF090356	3857564	1	3857564	9	nscaf2889	0	16.1	"3,847,664 "	"3,430,715 "	F	8
9	Bm_scaf87	DF090402	1493941	4357565	5851505	9	nscaf2890	17.3	22.5	"1,491,151 "	"1,393,670 "	F	5
9	Bm_scaf77	DF090392	1758492	6351506	8109997	9	nscaf3048	22.5	23	"1,752,822 "	"1,468,317 "	R	10
9	Bm_scaf246	DF090561	55853	8609998	8665850	9	nscaf3154	23	23	"55,853 "	"55,679 "	N	1
9	Bm_scaf56	DF090371	2585024	9165851	11750874	9	nscaf3045	23.8	26.6	"2,578,724 "	"2,353,473 "	R	9
9	Bm_scaf14	DF090329	6760189	12250875	19011063	9	nscaf2511	30.3	45.6	"6,744,889 "	"5,972,180 "	F	22
10	Bm_scaf10	DF090325	7317751	1	7317751	10	nscaf2855	0	11.7	"7,301,641 "	"6,768,474 "	F	33
10	Bm_scaf253	DF090568	139640	7817752	7957391	10	nscaf2857	12.2	12.2	"139,460 "	"54,428 "	N	1
10	Bm_scaf70	DF090385	1945803	8457392	10403194	10	nscaf2859	12.2	15.9	"1,941,753 "	"1,803,173 "	F	13
10	Bm_scaf44	DF090359	3277875	10903195	14181069	10	nscaf2860	16.4	25.4	"3,272,925 "	"3,005,914 "	F	16
10	Bm_scaf30	DF090345	4522305	14681070	19203374	10	nscaf2575	25.9	43.9	"4,510,605 "	"4,073,747 "	R	18
10	Bm_scaf268	DF090583	54348	19703375	19757722	10	nscaf2552	35.9	35.9	"54,258 "	"48,455 "	N	1
11	Bm_scaf35	DF090350	4373199	1	4373199	11	nscaf2176	0	18.1	"4,360,329 "	"3,863,699 "	F	15
11	Bm_scaf59	DF090374	2341090	4873200	7214289	11	nscaf3032	18.6	20.7	"2,335,060 "	"2,104,996 "	R	10
11	Bm_scaf16	DF090331	6248677	7714290	13962966	11	nscaf3031	22.3	30.6	"6,233,827 "	"5,708,255 "	R	27
11	Bm_scaf8002_contig53212	BABH01053212	816	14462967	14463782	11	scaffold8076	27.4	27.4	816 	816 	N	1
11	Bm_scaf352	DF090666	30459	14963783	14994241	11	nscaf3163	30.6	30.6	"30,369 "	"28,780 "	N	1
11	Bm_scaf24	DF090339	5118123	15494242	20612364	11	nscaf3034	31.6	55.5	"5,106,423 "	"4,603,696 "	R	24
11	Bm_scaf394_contig42956	BABH01042956	24056	21112365	21136420	11	scaffold791	47.6	47.6	"24,056 "	"24,056 "	N	1
11	Bm_scaf141	DF090456	420167	21636421	22056587	11	nscaf3033	56.5	56.5	"419,267 "	"396,659 "	N	1
11	Bm_scaf135	DF090450	559623	22556588	23116210	11	nscaf2810	61.9	61.9	"558,453 "	"521,205 "	N	1
11	Bm_scaf138	DF090453	509188	23616211	24125398	11	scaffold316	63.9	63.9	"507,928 "	"463,560 "	N	3
12	Bm_scaf127	DF090442	658317	1	658317	12	nscaf2987	0	0	"656,697 "	"582,947 "	N	1
12	Bm_scaf6	DF090321	8265254	1158318	9423571	12	nscaf2993	6.4	29.3	"8,247,164 "	"7,515,276 "	F	34
12	Bm_scaf145	DF090460	383340	9923572	10306911	12	nscaf2995	31.4	32.4	"382,260 "	"359,545 "	F	3
12	Bm_scaf84	DF090399	1632705	10806912	12439616	12	nscaf2998	33.5	34.5	"1,629,105 "	"1,414,818 "	F	8
12	Bm_scaf109	DF090424	991363	12939617	13930979	12	nscaf2990	34.5	37.2	"989,383 "	"913,930 "	F	4
12	Bm_scaf110	DF090425	1013275	14430980	15444254	12	nscaf2826	39.8	43	"1,011,025 "	"898,665 "	R	2
12	Bm_scaf119	DF090434	726203	15944255	16670457	12	nscaf2825	44	44	"724,583 "	"662,225 "	N	3
12	Bm_scaf67	DF090382	2138634	17170458	19309091	12	nscaf2842	50.3	51.4	"2,133,414 "	"1,911,771 "	R	5
12	Bm_scaf125	DF090440	698686	19809092	20507777	12	nscaf2839	52.5	52.5	"696,796 "	"606,984 "	N	1
13	Bm_scaf104	DF090419	1287959	1	1287959	13	nscaf3093	0	2.1	"1,284,539 "	"1,105,646 "	R	5
13	Bm_scaf1	DF090316	16203812	1787960	17991771	13	nscaf1898	7.4	48.7	"16,167,452 "	"14,496,184 "	R	85
14	Bm_scaf155	DF090470	347507	1	347507	14	scaffold416	0	0	"346,787 "	"308,252 "	N	2
14	Bm_scaf40	DF090355	3807715	847508	4655222	14	nscaf2953	5.3	19.4	"3,799,445 "	"3,464,891 "	F	11
14	Bm_scaf38	DF090353	4008358	5155223	9163580	14	nscaf2943	23.6	34.1	"3,998,728 "	"3,620,660 "	F	10
14	Bm_scaf81	DF090396	1583493	9663581	11247073	14	nscaf2951	38.5	43.6	"1,579,443 "	"1,444,149 "	F	4
14	Bm_scaf269	DF090584	52168	11747074	11799241	14	nscaf2950	44.6	44.6	"52,078 "	"48,226 "	N	1
14	Bm_scaf53	DF090368	2821953	12299242	15121194	14	nscaf2948	44.6	50.4	"2,816,103 "	"2,460,263 "	F	8
14	Bm_scaf1320_contig45709	BABH01045709	4148	15621195	15625342	14	scaffold1592	50.4	50.4	"4,148 "	"4,148 "	N	1
15	Bm_scaf3	DF090318	9954263	1	9954263	15	nscaf2888	0	20.2	"9,930,683 "	"9,083,677 "	R	45
15	Bm_scaf66	DF090381	2037340	10454264	12491603	15	nscaf2887	20.2	22.8	"2,033,740 "	"1,918,999 "	R	14
15	Bm_scaf42	DF090357	3822572	12991604	16814175	15	nscaf2655	25.3	32	"3,814,022 "	"3,421,695 "	F	19
15	Bm_scaf64	DF090379	2197771	17314176	19511946	15	nscaf2216	36.3	42.2	"2,192,281 "	"1,962,650 "	F	6
16	Bm_scaf4	DF090319	9119588	1	9119588	16	nscaf3058	0	31.2	"9,096,098 "	"8,139,938 "	R	32
16	Bm_scaf124	DF090439	657554	9619589	10277142	16	nscaf3062	33.3	33.3	"655,034 "	"613,936 "	N	1
16	Bm_scaf225	DF090540	85180	10777143	10862322	16	nscaf3064	33.3	33.3	"84,730 "	"70,182 "	N	1
16	Bm_scaf39	DF090354	3876397	11362323	15238719	16	nscaf3063	40.3	53.9	"3,865,237 "	"3,507,158 "	R	12
17	Bm_scaf33	DF090348	4426693	1	4426693	17	nscaf2829	0	16.4	"4,415,533 "	"3,966,860 "	R	9
17	Bm_scaf154	DF090469	390686	4926694	5317379	17	nscaf125	16.4	16.9	"388,166 "	"315,338 "	F	2
17	Bm_scaf92	DF090407	1585222	5817380	7402601	17	nscaf2876	18.5	22.2	"1,581,982 "	"1,345,928 "	F	8
17	Bm_scaf533	DF090832	20507	7902602	7923108	17	nscaf1000	20.6	20.6	"20,507 "	"15,885 "	N	1
17	Bm_scaf175	DF090490	167828	8423109	8590936	17	nscaf2873	22.2	22.2	"167,558 "	"143,489 "	N	1
17	Bm_scaf3431_contig48625	BABH01048625	1217	9090937	9092153	17	scaffold3534	25.3	25.3	"1,217 "	"1,217 "	N	1
17	Bm_scaf21	DF090336	5628829	9592154	15220982	17	nscaf2865	23.8	40.1	"5,615,779 "	"5,120,883 "	F	15
17	Bm_scaf114	DF090429	978332	15720983	16699314	17	nscaf2759	42.8	45.4	"974,282 "	"790,045 "	F	4
17	Bm_scaf105	DF090420	1181560	17199315	18380874	17	nscaf2766	45.4	47	"1,178,230 "	"1,030,974 "	F	5
18	Bm_scaf94	DF090409	1624255	1	1624255	18	nscaf2901	0	2.6	"1,620,475 "	"1,337,065 "	F	4
18	Bm_scaf2	DF090317	11281751	2124256	13406006	18	nscaf2902	0	39.1	"11,257,541 "	"10,307,549 "	F	56
18	Bm_scaf121	DF090436	693607	13906007	14599613	18	nscaf2899	45.5	45.5	"690,817 "	"644,338 "	N	1
18	Bm_scaf85	DF090400	1593086	15099614	16692699	18	nscaf2903	46.5	48.1	"1,589,846 "	"1,407,531 "	R	3
19	Bm_scaf100	DF090415	1353457	1	1353457	19	nscaf3052	0	0	"1,350,307 "	"1,166,421 "	N	1
19	Bm_scaf28	DF090343	4702674	1853458	6556131	19	nscaf2204	10.9	22.8	"4,693,944 "	"4,275,561 "	R	13
19	Bm_scaf36	DF090351	4352778	7056132	11408909	19	nscaf2767	25.4	34.2	"4,344,048 "	"3,776,649 "	F	16
19	Bm_scaf60	DF090375	2449460	11908910	14358369	19	nscaf2770	40.6	48.5	"2,444,060 "	"2,102,877 "	F	9
19	Bm_scaf163	DF090478	357949	14858370	15216318	19	nscaf1299	49.1	49.1	"357,319 "	"234,257 "	N	1
20	Bm_scaf126	DF090441	753250	1	753250	20	nscaf3089	0	1	"751,630 "	"597,488 "	F	2
20	Bm_scaf189	DF090504	125883	1253251	1379133	20	nscaf2783	6.3	6.3	"125,253 "	"109,938 "	N	1
20	Bm_scaf37	DF090352	4206046	1879134	6085179	20	nscaf2795	16.9	28.1	"4,196,326 "	"3,716,872 "	F	11
20	Bm_scaf79	DF090394	1594848	6585180	8180027	20	nscaf2789	28.3	29.7	"1,589,898 "	"1,456,759 "	F	3
20	Bm_scaf150	DF090465	407527	8680028	9087554	20	nscaf2781	32.3	33.4	"405,907 "	"321,852 "	F	2
20	Bm_scaf152	DF090467	336332	9587555	9923886	20	nscaf2780	33.4	33.4	"335,162 "	"319,473 "	N	1
20	Bm_scaf99	DF090414	1369550	10423887	11793436	20	nscaf481	44.2	45	"1,365,410 "	"1,202,863 "	F	3
20	Bm_scaf96	DF090411	1469819	12293437	13763255	20	nscaf2937	53.1	53.1	"1,465,049 "	"1,256,852 "	N	1
20	Bm_scaf156	DF090471	373834	14263256	14637089	20	nscaf2938	53.1	53.1	"372,394 "	"304,565 "	N	1
21	Bm_scaf82	DF090397	1700902	1	1700902	21	nscaf3041	0	1.1	"1,697,662 "	"1,440,762 "	F	2
21	Bm_scaf190	DF090505	190132	2200903	2391034	21	nscaf3043	4.3	4.3	"189,862 "	"109,279 "	N	1
21	Bm_scaf86	DF090401	1549195	2891035	4440229	21	nscaf3044	5.3	7.4	"1,545,235 "	"1,405,344 "	F	4
21	Bm_scaf116	DF090431	776962	4940230	5717191	21	nscaf2398	13.2	13.2	"775,432 "	"711,085 "	N	1
21	Bm_scaf7	DF090322	8313734	6217192	14530925	21	nscaf2136	13.7	36.5	"8,294,384 "	"7,500,388 "	F	27
21	Bm_scaf181	DF090496	141199	15030926	15172124	21	scaffold584	39.2	39.2	"141,019 "	"121,042 "	N	1
21	Bm_scaf151	DF090466	362830	15672125	16034954	21	nscaf3104	40.2	40.2	"361,750 "	"320,827 "	N	1
21	Bm_scaf74	DF090389	1923266	16534955	18458220	21	nscaf2868	42.3	44.9	"1,919,576 "	"1,630,731 "	F	6
22	Bm_scaf93	DF090408	1546200	1	1546200	22	nscaf3056	0	0	"1,540,890 "	"1,345,481 "	N	5
22	Bm_scaf69	DF090384	2045043	2046201	4091243	22	nscaf3055	9.1	14.4	"2,084,299 "	"1,809,899 "	R	3
22	Bm_scaf18	DF090333	5904300	4591244	10495543	22	nscaf1681	15.4	28	"5,888,100 "	"5,377,136 "	R	28
22	Bm_scaf1036	DF091212	7372	10995544	11002915	22	scaffold1206	23.8	23.8	"7,282 "	"6,021 "	N	1
22	Bm_scaf1130	DF091264	5465	11502916	11508380	22	scaffold1568	23.8	23.8	"5,285 "	"5,265 "	N	1
22	Bm_scaf905	DF091127	7223	12008381	12015603	22	scaffold1225	28.5	28.5	"7,133 "	"7,123 "	N	1
22	Bm_scaf417	DF090726	23509	12515604	12539112	22	scaffold808	28.5	28.5	"23,329 "	"22,195 "	N	1
22	Bm_scaf106	DF090421	1120652	13039113	14159764	22	nscaf2980	28.5	31.7	"1,117,232 "	"1,006,469 "	R	3
22	Bm_scaf133	DF090448	740890	14659765	15400654	22	nscaf2814	37	37.5	"739,180 "	"542,699 "	R	4
22	Bm_scaf108	DF090423	1018582	15900655	16919236	22	nscaf2813	39.1	40.7	"1,015,432 "	"921,128 "	R	4
22	Bm_scaf140	DF090455	584060	17419237	18003296	22	nscaf2811	41.2	41.2	"583,070 "	"420,609 "	N	1
22	Bm_scaf68	DF090383	2104980	18503297	20608276	22	nscaf3008	47	49.5	"2,099,832 "	"1,897,217 "	R	6
22	Bm_scaf61	DF090376	2256882	21108277	23365158	22	nscaf3005	53.7	60.1	"2,252,472 "	"2,048,379 "	R	9
23	Bm_scaf139	DF090454	534598	1	534598	23	nscaf1962	0	0	"531,448 "	"448,173 "	N	1
23	Bm_scaf442	DF090748	20909	1034599	1055507	23	scaffold831	1.9	1.9	"20,819 "	"20,809 "	N	1
23	Bm_scaf83	DF090398	1589841	1555508	3145348	23	nscaf3013	3.1	3.1	"1,585,521 "	"1,427,429 "	N	1
23	Bm_scaf31	DF090346	4559070	3645349	8204418	23	nscaf3015	12.3	23.2	"4,548,810 "	"4,067,500 "	F	25
23	Bm_scaf22	DF090337	5301712	8704419	14006130	23	nscaf3027	24.3	33.7	"5,290,832 "	"4,812,661 "	F	27
23	Bm_scaf12	DF090327	6701349	14506131	21207479	23	nscaf3026	36.3	44.1	"6,688,389 "	"6,221,249 "	F	17
23	Bm_scaf95	DF090410	1426125	21707480	23133604	23	nscaf3022	46.2	51.5	"1,421,625 "	"1,287,332 "	F	3
24	Bm_scaf52	DF090367	2812387	1	2812387	24	nscaf2891	0	8.4	"2,805,547 "	"2,512,914 "	F	3
24	Bm_scaf71	DF090386	2035713	3312388	5348100	24	nscaf3066	20.4	27.7	"2,030,853 "	"1,786,555 "	F	5
24	Bm_scaf43	DF090358	3469235	5848101	9317335	24	nscaf1108	28.2	43.1	"3,459,965 "	"3,165,538 "	F	8
24	Bm_scaf147	DF090462	425476	9817336	10242811	24	nscaf2956	46.9	47.9	"424,216 "	"347,358 "	R	2
24	Bm_scaf103	DF090418	1218440	10742812	11961251	24	nscaf2962	51.6	51.6	"1,214,930 "	"1,110,220 "	N	1
24	Bm_scaf208	DF090523	97212	12461252	12558463	24	nscaf2961	51.6	51.6	"96,772 "	"86,637 "	N	1
24	Bm_scaf115	DF090430	864725	13058464	13923188	24	nscaf2916	52.1	52.1	"861,035 "	"744,841 "	N	3
24	Bm_scaf194	DF090509	123494	14423189	14546682	24	scaffold606	52.6	52.6	"122,324 "	"99,663 "	N	1
24	Bm_scaf107	DF090422	1152854	15046683	16199536	24	nscaf2686	55.4	56.4	"1,149,164 "	"1,005,300 "	F	2
24	Bm_scaf75	DF090390	1795045	16699537	18494581	24	nscaf3035	68.5	75.9	"1,790,365 "	"1,623,214 "	R	4
25	Bm_scaf89	DF090404	1495961	1	1495961	25	nscaf1705	0	0	"1,492,361 "	"1,376,896 "	N	1
25	Bm_scaf46	DF090361	3255295	1995962	5251256	25	nscaf2818	8.2	18.8	"3,243,595 "	"2,984,230 "	R	10
25	Bm_scaf65	DF090380	2150616	5751257	7901872	25	nscaf2822	20.4	22.5	"2,146,386 "	"1,928,486 "	R	12
25	Bm_scaf32	DF090347	4385969	8401873	12787841	25	nscaf2823	24.6	36.2	"4,376,969 "	"4,017,574 "	R	26
25	Bm_scaf144	DF090459	402969	13287842	13690810	25	nscaf2819	38.8	38.8	"401,889 "	"371,236 "	N	1
25	Bm_scaf57	DF090372	2485960	14190811	16676770	25	nscaf2815	43.6	50.9	"2,480,560 "	"2,219,989 "	R	5
26	Bm_scaf25	DF090340	4930657	1	4930657	26	nscaf3003	0	23.8	"4,920,037 "	"4,516,873 "	F	13
26	Bm_scaf34	DF090349	4438494	5430658	9869151	26	nscaf2330	30.2	47.4	"4,427,964 "	"3,942,147 "	F	9
26	Bm_scaf214	DF090529	91092	10369152	10460243	26	nscaf1743	39.2	39.2	"90,732 "	"77,475 "	N	1
26	Bm_scaf98	DF090413	1322498	10960244	12282741	26	nscaf1071	47.4	47.4	"1,318,628 "	"1,232,241 "	N	1
27	Bm_scaf112	DF090427	959855	1	959855	27	nscaf3071	0	1	"957,785 "	"835,845 "	F	5
27	Bm_scaf236	DF090551	79073	1459856	1538928	27	nscaf3138	3.6	3.6	"78,263 "	"62,347 "	N	1
27	Bm_scaf50	DF090365	3027839	2038929	5066767	27	nscaf3072	5.2	22.9	"3,016,769 "	"2,578,192 "	F	8
27	Bm_scaf120	DF090435	700185	5566768	6266952	27	nscaf2833	24.5	24.5	"697,125 "	"649,406 "	N	2
27	Bm_scaf387	DF090699	26150	6766953	6793102	27	nscaf2835	27.6	27.6	"26,060 "	"24,658 "	N	1
27	Bm_scaf123	DF090438	705469	7293103	7998571	27	nscaf2836	28.9	30.2	"704,299 "	"629,250 "	F	2
27	Bm_scaf48	DF090363	2966211	8498572	11464782	27	nscaf2800	30.7	39.6	"2,960,901 "	"2,766,450 "	R	9
27	Bm_scaf128	DF090443	620300	11964783	12585082	27	nscaf2801	48.6	48.6	"619,130 "	"574,177 "	N	2
27	Bm_scaf97	DF090412	1382440	13085083	14467522	27	nscaf2797	52.8	52.8	"1,378,840 "	"1,234,269 "	N	2
28	Bm_scaf29	DF090344	4724502	1	4724502	28	nscaf3099	0	17	"4,714,512 "	"4,268,578 "	F	6
28	Bm_scaf251	DF090566	69322	5224503	5293824	28	nscaf3131	22.3	22.3	"69,142 "	"54,805 "	N	1
28	Bm_scaf233	DF090548	65475	5793825	5859299	28	nscaf3102	22.8	22.8	"65,385 "	"64,475 "	N	1
28	Bm_scaf47	DF090362	3212212	6359300	9571511	28	nscaf3097	22.8	37.3	"3,203,662 "	"2,904,208 "	F	9
28	Bm_scaf62	DF090377	2278642	10071512	12350153	28	nscaf3098	38.6	45	"2,272,432 "	"2,001,064 "	F	6
