# Species	Genes	Alg.-Conn.	bombyx_refseq_proteins_accession.fa	Dp_OGS2_prots.fas
2	2	1	NP_001036978	DPOGS206317
2	2	1	NP_001036980	DPOGS201680
2	2	1	NP_001036981	DPOGS208900
2	2	1	NP_001036982	DPOGS203011
2	2	1	NP_001036983	DPOGS203072
2	2	1	NP_001036984	DPOGS208587
2	2	1	NP_001036985	DPOGS207471
2	2	1	NP_001036986	DPOGS208700
2	2	1	NP_001036989	DPOGS208835
2	2	1	NP_001036990	DPOGS202237
2	2	1	NP_001036991	DPOGS204675
2	2	1	NP_001036992	DPOGS210582
2	2	1	NP_001036993	DPOGS215215
2	3	0.333	NP_001036994	DPOGS201022,DPOGS201021
2	2	1	NP_001036996	DPOGS215664
2	2	1	NP_001036997	DPOGS215686
2	2	1	NP_001036998	DPOGS212521
2	2	1	NP_001037000	DPOGS213791
2	4	0.25	NP_001037001	DPOGS207974,DPOGS207972,DPOGS207929
2	2	1	NP_001037002	DPOGS210845
2	2	1	NP_001037003	DPOGS214371
2	2	1	NP_001037004	DPOGS202032
2	4	0.5	NP_001037006,XP_004926758	DPOGS213997,DPOGS213996
2	2	1	NP_001037007	DPOGS203646
2	2	1	NP_001037008	DPOGS213082
2	2	1	NP_001037009	DPOGS212970
2	2	1	NP_001037010	DPOGS204191
2	2	1	NP_001037011	DPOGS215776
2	2	1	NP_001037013	DPOGS209836
2	2	1	NP_001037014	DPOGS213828
2	2	1	NP_001037015	DPOGS213127
2	2	1	NP_001037016	DPOGS214054
2	2	1	NP_001037018	DPOGS208534
2	2	1	NP_001037019	DPOGS201543
2	2	1	NP_001037020	DPOGS203727
2	3	0.333	NP_001037021	DPOGS204418,DPOGS204415
2	2	1	NP_001037022	DPOGS212445
2	3	0.333	NP_001037023	DPOGS212444,DPOGS212442
2	2	1	NP_001037025	DPOGS206069
2	2	1	NP_001037026	DPOGS203567
2	2	1	NP_001037027	DPOGS212826
2	2	1	NP_001037028	DPOGS212792
2	8	0.125	NP_001037031,XP_004926107,XP_004926106,XP_004926104,XP_004926103,NP_001096031,NP_001037460	DPOGS210269
2	4	0.25	XP_004933962,XP_004926105,NP_001037462	DPOGS210268
2	2	1	NP_001037033	DPOGS200833
2	2	1	NP_001037034	DPOGS200173
2	2	1	NP_001037035	DPOGS209088
2	2	1	NP_001037036	DPOGS211549
2	2	1	NP_001037037	DPOGS211762
2	2	1	NP_001037038	DPOGS215439
2	2	1	NP_001037039	DPOGS207787
2	3	0.333	NP_001037040,NP_001182386	DPOGS209772
2	2	1	NP_001037041	DPOGS204843
2	4	0.25	NP_001037042,NP_001106080,NP_001106079	DPOGS206120
2	2	1	NP_001037043	DPOGS210680
2	2	1	NP_001037048	DPOGS212411
2	2	1	NP_001037049	DPOGS210475
2	2	1	NP_001037050	DPOGS213029
2	3	0.333	NP_001037052	DPOGS208398,DPOGS208397
2	2	1	NP_001037053	DPOGS205206
2	2	1	NP_001037054	DPOGS215921
2	2	1	NP_001037055	DPOGS214644
2	6	0.167	NP_001037057	DPOGS209258,DPOGS209257,DPOGS209256,DPOGS209255,DPOGS209254
2	2	1	NP_001037059	DPOGS213670
2	2	1	NP_001037060	DPOGS206964
2	2	1	NP_001037061	DPOGS214198
2	4	0.146	NP_001037062,NP_001037063	DPOGS208413,DPOGS208412
2	3	0.333	NP_001037064	DPOGS208415,DPOGS208414
2	2	1	NP_001037065	DPOGS210484
2	2	1	NP_001037067	DPOGS210414
2	2	1	NP_001037068	DPOGS208392
2	2	1	NP_001037069	DPOGS214315
2	2	1	NP_001037071	DPOGS202699
2	2	1	NP_001037072	DPOGS205211
2	2	1	NP_001037073	DPOGS215795
2	2	1	NP_001037074	DPOGS209220
2	2	1	NP_001037075	DPOGS210046
2	2	1	NP_001037076	DPOGS212085
2	2	1	NP_001037078	DPOGS207141
2	2	1	NP_001037081	DPOGS205049
2	2	1	NP_001037082	DPOGS211499
2	2	1	NP_001037083	DPOGS211437
2	2	1	NP_001037084	DPOGS209134
2	2	1	NP_001037086	DPOGS211919
2	2	1	NP_001037087	DPOGS213135
2	2	1	NP_001037088	DPOGS205240
2	2	1	NP_001037090	DPOGS206417
2	2	1	NP_001037094	DPOGS215839
2	4	0.25	NP_001037096,XP_004924240,NP_001093291	DPOGS202913
2	2	1	NP_001037099	DPOGS208226
2	2	1	NP_001037102	DPOGS202559
2	2	1	NP_001037105	DPOGS200953
2	2	1	NP_001037108	DPOGS211106
2	3	0.333	NP_001037111,NP_001106708	DPOGS206427
2	2	1	NP_001037114	DPOGS208928
2	2	1	NP_001037117	DPOGS202911
2	2	1	NP_001037120	DPOGS210810
2	2	1	NP_001037123	DPOGS202160
2	2	1	NP_001037126	DPOGS215840
2	2	1	NP_001037129	DPOGS210643
2	2	1	NP_001037132	DPOGS207114
2	2	1	NP_001037135	DPOGS213493
2	2	1	NP_001037138	DPOGS208800
2	2	1	NP_001037141	DPOGS208069
2	2	1	NP_001037144	DPOGS214073
2	2	1	NP_001037147	DPOGS208750
2	2	1	NP_001037150	DPOGS214364
2	2	1	NP_001037153	DPOGS203823
2	2	1	NP_001037156	DPOGS216064
2	2	1	NP_001037159	DPOGS204848
2	2	1	NP_001037162	DPOGS208225
2	2	1	NP_001037165	DPOGS209544
2	2	1	NP_001037168	DPOGS208138
2	2	1	NP_001037171	DPOGS213564
2	2	1	NP_001037174	DPOGS211220
2	2	1	NP_001037177	DPOGS200552
2	2	1	NP_001037183	DPOGS202622
2	2	1	NP_001037186	DPOGS200224
2	2	1	NP_001037192	DPOGS208395
2	2	1	NP_001037195	DPOGS214068
2	5	0.104	NP_001037197,NP_001108464,NP_001108460	DPOGS200212,DPOGS200213
2	2	1	NP_001037201	DPOGS214825
2	2	1	NP_001037203	DPOGS216138
2	2	1	NP_001037205	DPOGS206419
2	2	1	NP_001037207	DPOGS211671
2	2	1	NP_001037209	DPOGS208043
2	2	1	NP_001037211	DPOGS212379
2	2	1	NP_001037213	DPOGS212757
2	2	1	NP_001037215	DPOGS207374
2	2	1	NP_001037217	DPOGS212928
2	2	1	NP_001037219	DPOGS209150
2	2	1	NP_001037221	DPOGS201418
2	2	1	NP_001037223	DPOGS211910
2	2	1	NP_001037225	DPOGS210861
2	2	1	NP_001037227	DPOGS204004
2	2	1	NP_001037231	DPOGS212639
2	2	1	NP_001037233	DPOGS214523
2	2	1	NP_001037235	DPOGS200872
2	2	1	NP_001037237	DPOGS205446
2	2	1	NP_001037239	DPOGS216087
2	2	1	NP_001037241	DPOGS214178
2	2	1	NP_001037245	DPOGS209700
2	2	1	NP_001037247	DPOGS200921
2	2	1	NP_001037249	DPOGS200444
2	2	1	NP_001037253	DPOGS207421
2	2	1	NP_001037255	DPOGS203183
2	2	1	NP_001037257	DPOGS205845
2	2	1	NP_001037261	DPOGS202713
2	2	1	NP_001037263	DPOGS208705
2	2	1	NP_001037265	DPOGS210524
2	2	1	NP_001037267	DPOGS208056
2	2	1	NP_001037269	DPOGS211218
2	2	1	NP_001037271	DPOGS206595
2	2	1	NP_001037273	DPOGS208785
2	2	1	NP_001037275	DPOGS202253
2	2	1	NP_001037277	DPOGS204971
2	2	1	NP_001037279	DPOGS202260
2	2	1	NP_001037281	DPOGS212286
2	2	1	NP_001037285	DPOGS200370
2	2	1	NP_001037287	DPOGS200797
2	2	1	NP_001037289	DPOGS203171
2	2	1	NP_001037293	DPOGS213215
2	2	1	NP_001037295	DPOGS209334
2	3	0.333	NP_001037297,NP_001106741	DPOGS211804
2	2	1	NP_001037299	DPOGS215496
2	2	1	NP_001037301	DPOGS208956
2	4	0.25	NP_001037305,NP_001166850,NP_001166849	DPOGS202453
2	2	1	NP_001037307	DPOGS210673
2	2	1	NP_001037309	DPOGS213644
2	2	1	NP_001037315	DPOGS214087
2	2	1	NP_001037317	DPOGS209537
2	2	1	NP_001037323	DPOGS210542
2	2	1	NP_001037325	DPOGS205814
2	2	1	NP_001037329	DPOGS200192
2	3	0.333	NP_001037331,NP_001166846	DPOGS208114
2	2	1	NP_001037333	DPOGS205813
2	2	1	NP_001037335	DPOGS206820
2	2	1	NP_001037337	DPOGS211911
2	2	1	NP_001037339	DPOGS210964
2	2	1	NP_001037341	DPOGS211000
2	3	0.333	NP_001037343	DPOGS203846,DPOGS203845
2	2	1	NP_001037345	DPOGS203721
2	2	1	NP_001037347	DPOGS210163
2	2	1	NP_001037349	DPOGS215602
2	2	1	NP_001037351	DPOGS209946
2	2	1	NP_001037353	DPOGS205747
2	2	1	NP_001037356	DPOGS208016
2	2	1	NP_001037358	DPOGS212447
2	2	1	NP_001037360	DPOGS213420
2	2	1	NP_001037364	DPOGS206997
2	2	1	NP_001037370	DPOGS211227
2	2	1	NP_001037372	DPOGS208502
2	2	1	NP_001037374	DPOGS201107
2	2	1	NP_001037376	DPOGS211201
2	2	1	NP_001037378	DPOGS201015
2	2	1	NP_001037380	DPOGS202180
2	2	1	NP_001037382	DPOGS214269
2	2	1	NP_001037384	DPOGS212387
2	2	1	NP_001037386	DPOGS215460
2	2	1	NP_001037388	DPOGS214352
2	2	1	NP_001037390	DPOGS206895
2	4	0.5	NP_001037396,NP_001243928	DPOGS213925,DPOGS210048
2	2	1	NP_001037400	DPOGS208394
2	2	1	NP_001037402	DPOGS215720
2	2	1	NP_001037404	DPOGS215609
2	2	1	NP_001037406	DPOGS213591
2	2	1	NP_001037408	DPOGS208500
2	2	1	NP_001037410	DPOGS212269
2	2	1	NP_001037412	DPOGS205871
2	2	1	NP_001037414	DPOGS203757
2	2	1	NP_001037416	DPOGS205652
2	2	1	NP_001037418	DPOGS214720
2	2	1	NP_001037422	DPOGS200264
2	2	1	NP_001037424	DPOGS215131
2	2	1	NP_001037426	DPOGS215870
2	2	1	NP_001037428	DPOGS215143
2	2	1	NP_001037430	DPOGS203237
2	2	1	NP_001037434	DPOGS205640
2	2	1	NP_001037436	DPOGS201184
2	2	1	NP_001037440	DPOGS204544
2	2	1	NP_001037442	DPOGS209749
2	2	1	NP_001037448	DPOGS202823
2	2	1	NP_001037450	DPOGS212941
2	2	1	NP_001037452	DPOGS214171
2	2	1	NP_001037454	DPOGS212467
2	2	1	NP_001037458	DPOGS215036
2	2	1	NP_001037464	DPOGS209955
2	2	1	NP_001037466	DPOGS205116
2	2	1	NP_001037470	DPOGS214137
2	3	0.333	NP_001037474,NP_001166834	DPOGS214673
2	2	1	NP_001037476	DPOGS206960
2	2	1	NP_001037478	DPOGS207082
2	5	0.2	NP_001037480,NP_001166833,NP_001166832,NP_001166831	DPOGS205012
2	2	1	NP_001037482	DPOGS201563
2	2	1	NP_001037484	DPOGS204170
2	2	1	NP_001037488	DPOGS205997
2	2	1	NP_001037490	DPOGS209878
2	2	1	NP_001037492	DPOGS202402
2	2	1	NP_001037494	DPOGS210497
2	2	1	NP_001037496	DPOGS210500
2	2	1	NP_001037498	DPOGS210512
2	2	1	NP_001037500	DPOGS208192
2	2	1	NP_001037502	DPOGS205099
2	2	1	NP_001037504	DPOGS205267
2	2	1	NP_001037508	DPOGS205984
2	2	1	NP_001037510	DPOGS215734
2	2	1	NP_001037512	DPOGS212741
2	2	1	NP_001037514	DPOGS215988
2	2	1	NP_001037516	DPOGS204523
2	3	0.333	NP_001037518,XP_004921936	DPOGS214778
2	2	1	NP_001037520	DPOGS213173
2	2	1	NP_001037522	DPOGS200746
2	2	1	NP_001037524	DPOGS211872
2	2	1	NP_001037528	DPOGS206043
2	2	1	NP_001037534	DPOGS201819
2	2	1	NP_001037538	DPOGS204668
2	2	1	NP_001037540	DPOGS201813
2	3	0.333	NP_001037542	DPOGS214110,DPOGS214109
2	2	1	NP_001037544	DPOGS211176
2	2	1	NP_001037548	DPOGS210674
2	2	1	NP_001037552	DPOGS213531
2	2	1	NP_001037554	DPOGS209352
2	2	1	NP_001037556	DPOGS209710
2	2	1	NP_001037558	DPOGS212041
2	2	1	NP_001037560	DPOGS209813
2	2	1	NP_001037564	DPOGS202037
2	2	1	NP_001037566	DPOGS208035
2	2	1	NP_001037568	DPOGS213492
2	2	1	NP_001037570	DPOGS206085
2	2	1	NP_001037572	DPOGS210922
2	4	0.25	NP_001037574,XP_004928855,XP_004928853	DPOGS206983
2	2	1	NP_001037576	DPOGS214949
2	2	1	NP_001037580	DPOGS205381
2	2	1	NP_001037586	DPOGS215568
2	2	1	NP_001037588	DPOGS203820
2	4	0.25	NP_001037592,XP_004925458,NP_001188510	DPOGS208763
2	2	1	NP_001037594	DPOGS213018
2	2	1	NP_001037596	DPOGS207793
2	2	1	NP_001037598	DPOGS204315
2	2	1	NP_001037600	DPOGS202208
2	2	1	NP_001037602	DPOGS210798
2	2	1	NP_001037604	DPOGS208794
2	2	1	NP_001037606	DPOGS212357
2	2	1	NP_001037608	DPOGS207519
2	2	1	NP_001037612	DPOGS207506
2	2	1	NP_001037614	DPOGS201872
2	2	1	NP_001037616	DPOGS208032
2	2	1	NP_001037618	DPOGS208318
2	2	1	NP_001037620	DPOGS215926
2	2	1	NP_001037622	DPOGS214179
2	2	1	NP_001037624	DPOGS204222
2	2	1	NP_001037626	DPOGS215135
2	2	1	NP_001037628	DPOGS210106
2	2	1	NP_001037630	DPOGS208733
2	2	1	NP_001037632	DPOGS214164
2	2	1	NP_001037634	DPOGS211886
2	2	1	NP_001037636	DPOGS204517
2	2	1	NP_001037638	DPOGS211290
2	2	1	NP_001037640	DPOGS203041
2	2	1	NP_001037642	DPOGS208983
2	2	1	NP_001037644	DPOGS214678
2	2	1	NP_001037646	DPOGS200700
2	2	1	NP_001037648	DPOGS208295
2	2	1	NP_001037650	DPOGS208904
2	2	1	NP_001037654	DPOGS200927
2	2	1	NP_001037656	DPOGS213311
2	2	1	NP_001037658	DPOGS206894
2	2	1	NP_001037662	DPOGS211607
2	2	1	NP_001037664	DPOGS202902
2	2	1	NP_001037668	DPOGS212133
2	2	1	NP_001037670	DPOGS212586
2	2	1	NP_001037672	DPOGS211032
2	2	1	NP_001037674	DPOGS204777
2	2	1	NP_001037678	DPOGS204585
2	2	1	NP_001037680	DPOGS210319
2	2	1	NP_001037682	DPOGS204134
2	2	1	NP_001037685	DPOGS200724
2	2	1	NP_001037686	DPOGS202036
2	2	1	NP_001038956	DPOGS206008
2	2	1	NP_001038957	DPOGS215645
2	2	1	NP_001040103	DPOGS215765
2	2	1	NP_001040104	DPOGS203316
2	2	1	NP_001040105	DPOGS204410
2	2	1	NP_001040106	DPOGS214226
2	2	1	NP_001040107	DPOGS213674
2	2	1	NP_001040108	DPOGS201820
2	2	1	NP_001040109	DPOGS215973
2	2	1	NP_001040110	DPOGS209737
2	2	1	NP_001040112	DPOGS201933
2	2	1	NP_001040113	DPOGS215780
2	2	1	NP_001040114	DPOGS204340
2	2	1	NP_001040115	DPOGS206587
2	2	1	NP_001040116	DPOGS208725
2	2	1	NP_001040117	DPOGS204932
2	3	0.333	NP_001040118,NP_001104814	DPOGS204333
2	2	1	NP_001040119	DPOGS212118
2	2	1	NP_001040120	DPOGS211868
2	2	1	NP_001040121	DPOGS203169
2	2	1	NP_001040122	DPOGS211652
2	2	1	NP_001040123	DPOGS214943
2	2	1	NP_001040124	DPOGS202362
2	3	0.333	NP_001040125	DPOGS210858,DPOGS210857
2	2	1	NP_001040126	DPOGS204543
2	2	1	NP_001040127	DPOGS200922
2	2	1	NP_001040128	DPOGS204203
2	2	1	NP_001040129	DPOGS210310
2	2	1	NP_001040131	DPOGS213590
2	2	1	NP_001040132	DPOGS211087
2	2	1	NP_001040133	DPOGS201755
2	2	1	NP_001040134	DPOGS212995
2	2	1	NP_001040135	DPOGS204722
2	2	1	NP_001040136	DPOGS200441
2	2	1	NP_001040137	DPOGS213434
2	2	1	NP_001040138	DPOGS215153
2	2	1	NP_001040139	DPOGS206905
2	2	1	NP_001040140	DPOGS204273
2	2	1	NP_001040142	DPOGS214829
2	2	1	NP_001040143	DPOGS204105
2	2	1	NP_001040144	DPOGS213897
2	2	1	NP_001040145	DPOGS202532
2	2	1	NP_001040146	DPOGS202375
2	2	1	NP_001040147	DPOGS205004
2	2	1	NP_001040149	DPOGS207242
2	2	1	NP_001040150	DPOGS206431
2	2	1	NP_001040153	DPOGS202406
2	2	1	NP_001040154	DPOGS209201
2	2	1	NP_001040155	DPOGS208864
2	2	1	NP_001040156	DPOGS208780
2	2	1	NP_001040157	DPOGS200150
2	2	1	NP_001040158	DPOGS209035
2	2	1	NP_001040159	DPOGS201987
2	2	1	NP_001040160	DPOGS200333
2	2	1	NP_001040161	DPOGS215196
2	2	1	NP_001040162	DPOGS200034
2	2	1	NP_001040163	DPOGS207090
2	2	1	NP_001040164	DPOGS201744
2	2	1	NP_001040165	DPOGS213222
2	2	1	NP_001040166	DPOGS207475
2	2	1	NP_001040167	DPOGS215701
2	2	1	NP_001040168	DPOGS209931
2	2	1	NP_001040169	DPOGS210123
2	2	1	NP_001040170	DPOGS206922
2	2	1	NP_001040171	DPOGS214572
2	2	1	NP_001040172	DPOGS215804
2	2	1	NP_001040173	DPOGS214935
2	2	1	NP_001040175	DPOGS207332
2	2	1	NP_001040176	DPOGS205423
2	2	1	NP_001040177	DPOGS215982
2	2	1	NP_001040179	DPOGS201559
2	2	1	NP_001040181	DPOGS206083
2	2	1	NP_001040182	DPOGS204498
2	2	1	NP_001040183	DPOGS200723
2	2	1	NP_001040184	DPOGS201877
2	2	1	NP_001040185	DPOGS214147
2	2	1	NP_001040186	DPOGS201746
2	2	1	NP_001040187	DPOGS200747
2	2	1	NP_001040188	DPOGS213444
2	2	1	NP_001040191	DPOGS214376
2	2	1	NP_001040192	DPOGS210991
2	2	1	NP_001040193	DPOGS216038
2	2	1	NP_001040194	DPOGS211096
2	2	1	NP_001040195	DPOGS208081
2	2	1	NP_001040196	DPOGS201753
2	3	0.333	NP_001040197,NP_001103767	DPOGS214447
2	2	1	NP_001040198	DPOGS201995
2	2	1	NP_001040199	DPOGS206951
2	2	1	NP_001040200	DPOGS206699
2	3	0.333	NP_001040201,NP_001166838	DPOGS213765
2	2	1	NP_001040202	DPOGS205578
2	2	1	NP_001040204	DPOGS201277
2	2	1	NP_001040205	DPOGS200464
2	2	1	NP_001040206	DPOGS200910
2	2	1	NP_001040207	DPOGS203441
2	2	1	NP_001040208	DPOGS203598
2	2	1	NP_001040209	DPOGS209180
2	2	1	NP_001040210	DPOGS209649
2	2	1	NP_001040212	DPOGS214841
2	2	1	NP_001040213	DPOGS214099
2	2	1	NP_001040214	DPOGS201300
2	2	1	NP_001040215	DPOGS201869
2	2	1	NP_001040216	DPOGS202045
2	2	1	NP_001040218	DPOGS208310
2	3	0.333	NP_001040219	DPOGS201850,DPOGS201848
2	2	1	NP_001040220	DPOGS209082
2	2	1	NP_001040221	DPOGS204739
2	2	1	NP_001040222	DPOGS206534
2	2	1	NP_001040223	DPOGS204808
2	2	1	NP_001040224	DPOGS210580
2	2	1	NP_001040225	DPOGS205859
2	2	1	NP_001040226	DPOGS214175
2	2	1	NP_001040227	DPOGS206373
2	2	1	NP_001040229	DPOGS204110
2	2	1	NP_001040230	DPOGS205194
2	2	1	NP_001040231	DPOGS212596
2	2	1	NP_001040232	DPOGS215193
2	2	1	NP_001040233	DPOGS210435
2	2	1	NP_001040234	DPOGS209199
2	2	1	NP_001040235	DPOGS206153
2	2	1	NP_001040236	DPOGS212290
2	2	1	NP_001040237	DPOGS209577
2	2	1	NP_001040238	DPOGS210093
2	2	1	NP_001040239	DPOGS209982
2	2	1	NP_001040240	DPOGS201785
2	2	1	NP_001040241	DPOGS213102
2	2	1	NP_001040242	DPOGS209927
2	4	0.25	NP_001040243,XP_004927468,XP_004927467	DPOGS209121
2	2	1	NP_001040244	DPOGS211637
2	2	1	NP_001040245	DPOGS211567
2	2	1	NP_001040246	DPOGS207392
2	2	1	NP_001040250	DPOGS212260
2	2	1	NP_001040251	DPOGS214260
2	2	1	NP_001040252	DPOGS208499
2	2	1	NP_001040253	DPOGS215692
2	2	1	NP_001040254	DPOGS212211
2	2	1	NP_001040255	DPOGS211649
2	2	1	NP_001040256	DPOGS207361
2	2	1	NP_001040257	DPOGS200490
2	2	1	NP_001040258	DPOGS200854
2	3	0.333	NP_001040259	DPOGS208630,DPOGS204159
2	4	0.25	NP_001040260,NP_001103769,NP_001103768	DPOGS206955
2	2	1	NP_001040261	DPOGS208197
2	2	1	NP_001040262	DPOGS207940
2	2	1	NP_001040263	DPOGS207376
2	2	1	NP_001040264	DPOGS204990
2	2	1	NP_001040265	DPOGS202223
2	2	1	NP_001040266	DPOGS206311
2	2	1	NP_001040267	DPOGS202664
2	2	1	NP_001040268	DPOGS209694
2	2	1	NP_001040269	DPOGS201041
2	2	1	NP_001040270	DPOGS215695
2	2	1	NP_001040271	DPOGS211226
2	2	1	NP_001040273	DPOGS203528
2	2	1	NP_001040274	DPOGS212140
2	2	1	NP_001040275	DPOGS211860
2	2	1	NP_001040277	DPOGS200693
2	2	1	NP_001040278	DPOGS213950
2	2	1	NP_001040279	DPOGS205888
2	2	1	NP_001040280	DPOGS209012
2	2	1	NP_001040281	DPOGS205624
2	2	1	NP_001040282	DPOGS206746
2	2	1	NP_001040283	DPOGS207298
2	3	0.333	NP_001040284,NP_001103772	DPOGS207065
2	2	1	NP_001040285	DPOGS208830
2	2	1	NP_001040286	DPOGS214027
2	2	1	NP_001040287	DPOGS201111
2	2	1	NP_001040288	DPOGS200846
2	2	1	NP_001040289	DPOGS214107
2	3	0.333	NP_001040290,NP_001166835	DPOGS215931
2	2	1	NP_001040291	DPOGS200258
2	2	1	NP_001040292	DPOGS208881
2	2	1	NP_001040296	DPOGS204305
2	2	1	NP_001040297	DPOGS213496
2	2	1	NP_001040298	DPOGS202108
2	2	1	NP_001040299	DPOGS207256
2	2	1	NP_001040300	DPOGS209521
2	2	1	NP_001040301	DPOGS212202
2	2	1	NP_001040302	DPOGS203654
2	2	1	NP_001040303	DPOGS202407
2	2	1	NP_001040304	DPOGS209109
2	2	1	NP_001040305	DPOGS208942
2	2	1	NP_001040306	DPOGS202915
2	2	1	NP_001040307	DPOGS209401
2	2	1	NP_001040309	DPOGS200282
2	2	1	NP_001040310	DPOGS209778
2	2	1	NP_001040311	DPOGS210069
2	2	1	NP_001040312	DPOGS202018
2	2	1	NP_001040313	DPOGS204248
2	2	1	NP_001040314	DPOGS202979
2	2	1	NP_001040315	DPOGS208409
2	2	1	NP_001040316	DPOGS210834
2	2	1	NP_001040317	DPOGS206013
2	2	1	NP_001040318	DPOGS200948
2	2	1	NP_001040319	DPOGS200142
2	2	1	NP_001040321	DPOGS208326
