gene	scaffold	begin	end	chrom	scaff_frag	fragment	begin_frag	end_frag
HMEL013594	HE671374	27926	48488	9	HE671374_1	1	0	459530
HMEL013595	HE671374	49541	50806	9	HE671374_1	1	0	459530
HMEL013596	HE671374	52173	53086	9	HE671374_1	1	0	459530
HMEL013597	HE671374	53369	62907	9	HE671374_1	1	0	459530
HMEL013598	HE671374	60855	74347	9	HE671374_1	1	0	459530
HMEL013599	HE671374	61953	62024	9	HE671374_1	1	0	459530
HMEL013600	HE671374	75357	76698	9	HE671374_1	1	0	459530
HMEL013601	HE671374	77068	79381	9	HE671374_1	1	0	459530
HMEL013602	HE671374	83860	83932	9	HE671374_1	1	0	459530
HMEL013603	HE671374	88989	89059	9	HE671374_1	1	0	459530
HMEL013604	HE671374	154324	154394	9	HE671374_1	1	0	459530
HMEL013605	HE671374	162414	168326	9	HE671374_1	1	0	459530
HMEL013606	HE671374	247488	255603	9	HE671374_1	1	0	459530
HMEL013607	HE671374	260293	283556	9	HE671374_1	1	0	459530
HMEL013608	HE671374	276898	276970	9	HE671374_1	1	0	459530
HMEL013609	HE671374	284673	295436	9	HE671374_1	1	0	459530
HMEL013610	HE671374	297024	329494	9	HE671374_1	1	0	459530
HMEL013611	HE671374	359677	359748	9	HE671374_1	1	0	459530
HMEL013612	HE671374	416144	416214	9	HE671374_1	1	0	459530
HMEL013613	HE671374	457526	458306	9	HE671374_1	1	0	459530
HMEL010416	HE671069	378	22854	17	HE671069_1	1	0	114581
HMEL010417	HE671069	68441	91991	17	HE671069_1	1	0	114581
HMEL010418	HE671069	97458	100178	17	HE671069_1	1	0	114581
HMEL014714	HE671468	27487	30397	13	HE671468_1	1	0	190140
HMEL014715	HE671468	69652	69723	13	HE671468_1	1	0	190140
HMEL014716	HE671468	74535	74605	13	HE671468_1	1	0	190140
HMEL014717	HE671468	75121	85503	13	HE671468_1	1	0	190140
HMEL014718	HE671468	86877	94955	13	HE671468_1	1	0	190140
HMEL014719	HE671468	101019	101438	13	HE671468_1	1	0	190140
HMEL014720	HE671468	101819	130414	13	HE671468_1	1	0	190140
HMEL014721	HE671468	170269	171437	13	HE671468_1	1	0	190140
HMEL014602	HE671461	2	19354	4	HE671461_1	1	0	64779
HMEL014603	HE671461	48228	52624	4	HE671461_1	1	0	64779
HMEL014604	HE671461	53041	54282	4	HE671461_1	1	0	64779
HMEL014605	HE671461	55328	57437	4	HE671461_1	1	0	64779
HMEL014205	HE671432	1	12086	13	HE671432_1	1	0	145157
HMEL014206	HE671432	27655	37859	13	HE671432_1	1	0	145157
HMEL014207	HE671432	38337	43239	13	HE671432_1	1	0	145157
HMEL014208	HE671432	44772	53797	13	HE671432_1	1	0	145157
HMEL014209	HE671432	57995	67112	13	HE671432_1	1	0	145157
HMEL014210	HE671432	88386	93063	13	HE671432_1	1	0	145157
HMEL014211	HE671432	93399	112092	13	HE671432_1	1	0	145157
HMEL014212	HE671432	101586	101656	13	HE671432_1	1	0	145157
HMEL014213	HE671432	130115	144695	13	HE671432_1	1	0	145157
HMEL002098	HE667810	1423	5927	NA	HE667810_1	1	0	26232
HMEL002099	HE667810	9478	11595	NA	HE667810_1	1	0	26232
HMEL002100	HE667810	12232	25025	NA	HE667810_1	1	0	26232
HMEL002101	HE667810	16619	17940	NA	HE667810_1	1	0	26232
HMEL005798	HE670292	16576	35373	7	HE670292_1	1	0	59546
HMEL005799	HE670292	35134	39199	7	HE670292_1	1	0	59546
HMEL005800	HE670292	39959	47026	7	HE670292_1	1	0	59546
HMEL005801	HE670292	49915	56555	7	HE670292_1	1	0	59546
HMEL015354	HE671502	68837	71492	13	HE671502_1	1	0	255965
HMEL015355	HE671502	77372	77442	13	HE671502_1	1	0	255965
HMEL015356	HE671502	89317	89388	13	HE671502_1	1	0	255965
HMEL015357	HE671502	170335	171317	13	HE671502_1	1	0	255965
HMEL015358	HE671502	181955	189300	13	HE671502_1	1	0	255965
HMEL015359	HE671502	181964	183211	13	HE671502_1	1	0	255965
HMEL015360	HE671502	189737	201406	13	HE671502_1	1	0	255965
HMEL015361	HE671502	201555	202502	13	HE671502_1	1	0	255965
HMEL015362	HE671502	202587	211094	13	HE671502_1	1	0	255965
HMEL015363	HE671502	211099	213417	13	HE671502_1	1	0	255965
HMEL015364	HE671502	218476	244056	13	HE671502_1	1	0	255965
HMEL017617	HE671836	1	2640	6	HE671836_1	1	0	168678
HMEL017618	HE671836	7221	9819	6	HE671836_1	1	0	168678
HMEL017619	HE671836	10535	39072	6	HE671836_1	1	0	168678
HMEL017620	HE671836	47080	56601	6	HE671836_1	1	0	168678
HMEL017621	HE671836	74029	81784	6	HE671836_1	1	0	168678
HMEL017622	HE671836	82470	91996	6	HE671836_1	1	0	168678
HMEL017623	HE671836	92800	95052	6	HE671836_1	1	0	168678
HMEL017624	HE671836	95044	109098	6	HE671836_1	1	0	168678
HMEL017625	HE671836	102352	108817	6	HE671836_1	1	0	168678
HMEL017626	HE671836	109760	116114	6	HE671836_1	1	0	168678
HMEL017627	HE671836	126711	127546	6	HE671836_1	1	0	168678
HMEL017628	HE671836	135286	137905	6	HE671836_1	1	0	168678
HMEL017629	HE671836	139772	147808	6	HE671836_1	1	0	168678
HMEL017630	HE671836	148344	160370	6	HE671836_1	1	0	168678
HMEL017631	HE671836	163541	166195	6	HE671836_1	1	0	168678
HMEL005804	HE670294	17	26081	NA	HE670294_1	1	0	26281
HMEL011626	HE672030	125	195	1	HE672030_1	1	0	582779
HMEL011627	HE672030	13730	13803	1	HE672030_1	1	0	582779
HMEL011628	HE672030	16168	16858	1	HE672030_1	1	0	582779
HMEL011629	HE672030	42744	44500	1	HE672030_1	1	0	582779
HMEL011630	HE672030	57095	57165	1	HE672030_1	1	0	582779
HMEL011631	HE672030	63964	73338	1	HE672030_1	1	0	582779
HMEL011632	HE672030	79720	80690	1	HE672030_1	1	0	582779
HMEL011633	HE672030	87608	95492	1	HE672030_1	1	0	582779
HMEL011634	HE672030	95808	102310	1	HE672030_1	1	0	582779
HMEL011635	HE672030	102952	106943	1	HE672030_1	1	0	582779
HMEL011636	HE672030	148256	151797	1	HE672030_1	1	0	582779
HMEL011637	HE672030	168696	170737	1	HE672030_1	1	0	582779
HMEL011638	HE672030	203624	214705	1	HE672030_1	1	0	582779
HMEL011639	HE672030	217862	230297	1	HE672030_1	1	0	582779
HMEL011640	HE672030	231771	232722	1	HE672030_1	1	0	582779
HMEL011641	HE672030	233573	254209	1	HE672030_1	1	0	582779
HMEL011642	HE672030	254718	256415	1	HE672030_1	1	0	582779
HMEL011643	HE672030	256920	295300	1	HE672030_1	1	0	582779
HMEL011644	HE672030	311371	366618	1	HE672030_1	1	0	582779
HMEL011645	HE672030	367416	368079	1	HE672030_1	1	0	582779
HMEL011646	HE672030	369346	370669	1	HE672030_1	1	0	582779
HMEL011647	HE672030	372053	384688	1	HE672030_1	1	0	582779
HMEL011648	HE672030	390711	392253	1	HE672030_1	1	0	582779
HMEL011649	HE672030	393643	398108	1	HE672030_1	1	0	582779
HMEL011650	HE672030	398353	417462	1	HE672030_1	1	0	582779
HMEL011651	HE672030	454431	455342	1	HE672030_1	1	0	582779
HMEL011652	HE672030	459041	466967	1	HE672030_1	1	0	582779
HMEL011653	HE672030	467542	471298	1	HE672030_1	1	0	582779
HMEL011654	HE672030	469263	471276	1	HE672030_1	1	0	582779
HMEL011655	HE672030	473400	476322	1	HE672030_1	1	0	582779
HMEL011656	HE672030	476888	482023	1	HE672030_1	1	0	582779
HMEL011657	HE672030	479853	482007	1	HE672030_1	1	0	582779
HMEL011658	HE672030	483526	485634	1	HE672030_1	1	0	582779
HMEL011659	HE672030	544293	544363	1	HE672030_1	1	0	582779
HMEL011660	HE672030	545640	545709	1	HE672030_1	1	0	582779
HMEL011661	HE672030	547577	548252	1	HE672030_1	1	0	582779
HMEL011662	HE672030	557356	559287	1	HE672030_1	1	0	582779
HMEL005758	HE670281	2886	45267	12	HE670281_1	1	0	121097
HMEL005759	HE670281	8796	8866	12	HE670281_1	1	0	121097
HMEL005760	HE670281	47450	55623	12	HE670281_1	1	0	121097
HMEL005761	HE670281	56026	86872	12	HE670281_1	1	0	121097
HMEL005762	HE670281	97009	97079	12	HE670281_1	1	0	121097
HMEL005763	HE670281	112932	117768	12	HE670281_1	1	0	121097
HMEL004690	HE669712	2063	2135	13	HE669712_1	1	0	39214
HMEL004691	HE669712	4069	4142	13	HE669712_1	1	0	39214
HMEL004692	HE669712	34845	39098	13	HE669712_1	1	0	39214
HMEL017472	HE671622	5986	6297	3	HE671622_1	1	0	114618
HMEL017473	HE671622	14361	22940	3	HE671622_1	1	0	114618
HMEL017474	HE671622	23457	33818	3	HE671622_1	1	0	114618
HMEL017475	HE671622	38376	40684	3	HE671622_1	1	0	114618
HMEL017476	HE671622	43126	45735	3	HE671622_1	1	0	114618
HMEL017477	HE671622	102056	105055	3	HE671622_1	1	0	114618
HMEL013673	HE671376	617	11389	7	HE671376_1	1	0	253939
HMEL013674	HE671376	11575	15448	7	HE671376_1	1	0	253939
HMEL013675	HE671376	11577	13858	7	HE671376_1	1	0	253939
HMEL013676	HE671376	30769	32094	7	HE671376_1	1	0	253939
HMEL013677	HE671376	37319	40903	7	HE671376_1	1	0	253939
HMEL013678	HE671376	45560	53423	7	HE671376_1	1	0	253939
HMEL013679	HE671376	81956	94063	7	HE671376_1	1	0	253939
HMEL013680	HE671376	100258	108002	7	HE671376_1	1	0	253939
HMEL013681	HE671376	109569	113248	7	HE671376_1	1	0	253939
HMEL013682	HE671376	116060	128148	7	HE671376_1	1	0	253939
HMEL013683	HE671376	132034	135251	7	HE671376_1	1	0	253939
HMEL013684	HE671376	136169	142083	7	HE671376_1	1	0	253939
HMEL013685	HE671376	153751	154174	7	HE671376_1	1	0	253939
HMEL013686	HE671376	155915	166852	7	HE671376_1	1	0	253939
HMEL013687	HE671376	169895	176163	7	HE671376_1	1	0	253939
HMEL013688	HE671376	176734	194734	7	HE671376_1	1	0	253939
HMEL013689	HE671376	193253	194720	7	HE671376_1	1	0	253939
HMEL013690	HE671376	195867	202942	7	HE671376_1	1	0	253939
HMEL013691	HE671376	205756	207182	7	HE671376_1	1	0	253939
HMEL013692	HE671376	207664	217595	7	HE671376_1	1	0	253939
HMEL013693	HE671376	213589	215797	7	HE671376_1	1	0	253939
HMEL013694	HE671376	217525	229027	7	HE671376_1	1	0	253939
HMEL013695	HE671376	233128	243664	7	HE671376_1	1	0	253939
HMEL012807	HE671302	13378	33495	13	HE671302_1	1	0	91961
HMEL012808	HE671302	62373	63684	13	HE671302_1	1	0	91961
HMEL012809	HE671302	69560	70569	13	HE671302_1	1	0	91961
HMEL012810	HE671302	78120	79511	13	HE671302_1	1	0	91961
HMEL012811	HE671302	82271	82342	13	HE671302_1	1	0	91961
HMEL002131	HE667822	4456	7078	3	HE667822_1	1	0	154194
HMEL002132	HE667822	8593	12923	3	HE667822_1	1	0	154194
HMEL002133	HE667822	17725	20112	3	HE667822_1	1	0	154194
HMEL002134	HE667822	23701	27005	3	HE667822_1	1	0	154194
HMEL002135	HE667822	55200	56226	3	HE667822_1	1	0	154194
HMEL002136	HE667822	61672	63864	3	HE667822_1	1	0	154194
HMEL002137	HE667822	71941	76086	3	HE667822_1	1	0	154194
HMEL002138	HE667822	94557	97745	3	HE667822_1	1	0	154194
HMEL002139	HE667822	98422	103716	3	HE667822_1	1	0	154194
HMEL002140	HE667822	114190	117554	3	HE667822_1	1	0	154194
HMEL002141	HE667822	151756	153918	3	HE667822_1	1	0	154194
HMEL002142	HE667823	2386	13667	Z	HE667823_1	1	0	55186
HMEL002143	HE667823	14962	48720	Z	HE667823_1	1	0	55186
HMEL002144	HE667823	33681	33751	Z	HE667823_1	1	0	55186
HMEL002145	HE667823	50100	55045	Z	HE667823_1	1	0	55186
HMEL008141	HE670739	107	20189	14	HE670739_1	1	0	127693
HMEL008142	HE670739	18617	18688	14	HE670739_1	1	0	127693
HMEL008143	HE670739	50636	55817	14	HE670739_1	1	0	127693
HMEL008144	HE670739	55876	60178	14	HE670739_1	1	0	127693
HMEL008145	HE670739	60174	65733	14	HE670739_1	1	0	127693
HMEL008146	HE670739	65140	84203	14	HE670739_1	1	0	127693
HMEL008147	HE670739	91442	93863	14	HE670739_1	1	0	127693
HMEL008148	HE670739	94640	98898	14	HE670739_1	1	0	127693
HMEL008149	HE670739	99706	101059	14	HE670739_1	1	0	127693
HMEL008150	HE670739	101894	112085	14	HE670739_1	1	0	127693
HMEL015569	HE671510	13173	13243	19	HE671510_1	1	0	74404
HMEL015570	HE671510	31159	31852	19	HE671510_1	1	0	74404
HMEL002173	HE667835	7	592	NA	HE667835_1	1	0	1640
HMEL014562	HE671456	27236	31956	20	HE671456_1	1	0	60409
HMEL014563	HE671456	32135	33948	20	HE671456_1	1	0	60409
HMEL014564	HE671456	36950	59111	20	HE671456_1	1	0	60409
HMEL010452	HE671075	10860	10936	NA	HE671075_1	1	0	18579
HMEL017605	HE671634	7328	9079	NA	HE671634_1	1	0	98937
HMEL017606	HE671634	10628	11598	NA	HE671634_1	1	0	98937
HMEL017607	HE671634	12295	14925	NA	HE671634_1	1	0	98937
HMEL017608	HE671634	18836	20771	NA	HE671634_1	1	0	98937
HMEL017609	HE671634	41190	51215	NA	HE671634_1	1	0	98937
HMEL017610	HE671634	63201	65093	NA	HE671634_1	1	0	98937
HMEL008200	HE670744	39355	45208	NA	HE670744_1	1	0	61100
HMEL008201	HE670744	45401	46225	NA	HE670744_1	1	0	61100
HMEL008202	HE670744	46477	47943	NA	HE670744_1	1	0	61100
HMEL008203	HE670744	48920	60640	NA	HE670744_1	1	0	61100
HMEL010458	HE671078	9968	15808	NA	HE671078_1	1	0	44436
HMEL010459	HE671078	33851	33921	NA	HE671078_1	1	0	44436
HMEL009102	HE670857	38949	41400	13	HE670857_1	1	0	62304
HMEL009103	HE670857	43566	43636	13	HE670857_1	1	0	62304
HMEL014956	HE671489	177	9051	8	HE671489_1	1	0	98819
HMEL014957	HE671489	9681	11871	8	HE671489_1	1	0	98819
HMEL014958	HE671489	11993	16631	8	HE671489_1	1	0	98819
HMEL014959	HE671489	23162	44373	8	HE671489_1	1	0	98819
HMEL014960	HE671489	44750	50241	8	HE671489_1	1	0	98819
HMEL014961	HE671489	44750	61897	8	HE671489_1	1	0	98819
HMEL014962	HE671489	62014	62836	8	HE671489_1	1	0	98819
HMEL014963	HE671489	65746	85247	8	HE671489_1	1	0	98819
HMEL014964	HE671489	85957	98034	8	HE671489_1	1	0	98819
HMEL003549	HE669209	4	347	13	HE669209_1	1	0	12472
HMEL003550	HE669209	1138	8094	13	HE669209_1	1	0	12472
HMEL009976	HE670995	203	5047	8	HE670995_1	1	0	33504
HMEL009977	HE670995	21191	29995	8	HE670995_1	1	0	33504
HMEL008207	HE670746	28760	30585	3	HE670746_1	1	0	86973
HMEL008208	HE670746	47715	48323	3	HE670746_1	1	0	86973
HMEL008209	HE670746	49863	50753	3	HE670746_1	1	0	86973
HMEL008210	HE670746	56818	56889	3	HE670746_1	1	0	86973
HMEL008211	HE670746	62469	64885	3	HE670746_1	1	0	86973
HMEL008212	HE670746	73957	77542	3	HE670746_1	1	0	86973
HMEL008213	HE670746	80736	82845	3	HE670746_1	1	0	86973
HMEL017153	HE671609	10835	12839	10	HE671609_1	1	0	268730
HMEL017154	HE671609	16092	17733	10	HE671609_1	1	0	268730
HMEL017155	HE671609	34404	34474	10	HE671609_1	1	0	268730
HMEL017156	HE671609	49893	49963	10	HE671609_1	1	0	268730
HMEL017157	HE671609	61663	96900	10	HE671609_1	1	0	268730
HMEL017158	HE671609	121134	121204	10	HE671609_1	1	0	268730
HMEL017159	HE671609	134493	134563	10	HE671609_1	1	0	268730
HMEL017160	HE671609	135544	135615	10	HE671609_1	1	0	268730
HMEL017161	HE671609	137296	138601	10	HE671609_1	1	0	268730
HMEL017162	HE671609	146245	147534	10	HE671609_1	1	0	268730
HMEL017163	HE671609	149502	151946	10	HE671609_1	1	0	268730
HMEL017164	HE671609	152471	156300	10	HE671609_1	1	0	268730
HMEL017165	HE671609	155823	198110	10	HE671609_1	1	0	268730
HMEL017166	HE671609	201023	204135	10	HE671609_1	1	0	268730
HMEL017167	HE671609	204431	212587	10	HE671609_1	1	0	268730
HMEL017168	HE671609	215992	225392	10	HE671609_1	1	0	268730
HMEL017169	HE671609	232800	234257	10	HE671609_1	1	0	268730
HMEL017170	HE671609	259171	263965	10	HE671609_1	1	0	268730
HMEL008030	HE670715	4	2302	6	HE670715_1	1	0	21018
HMEL008031	HE670715	2480	6795	6	HE670715_1	1	0	21018
HMEL008032	HE670715	8225	15210	6	HE670715_1	1	0	21018
HMEL008033	HE670715	17524	21016	6	HE670715_1	1	0	21018
HMEL009316	HE670889	33716	45798	1	HE670889_1	1	0	79976
HMEL009317	HE670889	69322	69395	1	HE670889_1	1	0	79976
HMEL005963	HE670328	13375	13445	3	HE670328_1	1	0	107156
HMEL005964	HE670328	19058	19128	3	HE670328_1	1	0	107156
HMEL005965	HE670328	66776	75676	3	HE670328_1	1	0	107156
HMEL005966	HE670328	75304	75374	3	HE670328_1	1	0	107156
HMEL017968	HE671692	159	229	12	HE671692_1	1	0	325221
HMEL022668	HE671692	20947	22599	12	HE671692_1	1	0	325221
HMEL022621	HE671692	32529	42927	12	HE671692_1	1	0	325221
HMEL017970	HE671692	43878	46833	12	HE671692_1	1	0	325221
HMEL017971	HE671692	52475	52545	12	HE671692_1	1	0	325221
HMEL017972	HE671692	53861	56335	12	HE671692_1	1	0	325221
HMEL017973	HE671692	60453	65388	12	HE671692_1	1	0	325221
HMEL017974	HE671692	67077	67865	12	HE671692_1	1	0	325221
HMEL017975	HE671692	69501	70133	12	HE671692_1	1	0	325221
HMEL017976	HE671692	83937	84317	12	HE671692_1	1	0	325221
HMEL017977	HE671692	86084	95545	12	HE671692_1	1	0	325221
HMEL017978	HE671692	124864	171132	12	HE671692_1	1	0	325221
HMEL017979	HE671692	176645	176719	12	HE671692_1	1	0	325221
HMEL017980	HE671692	219120	252288	12	HE671692_1	1	0	325221
HMEL017981	HE671692	253057	257031	12	HE671692_1	1	0	325221
HMEL017982	HE671692	257956	261199	12	HE671692_1	1	0	325221
HMEL017983	HE671692	264823	266566	12	HE671692_1	1	0	325221
HMEL017984	HE671692	267753	274658	12	HE671692_1	1	0	325221
HMEL017985	HE671692	276351	280408	12	HE671692_1	1	0	325221
HMEL017986	HE671692	285120	301868	12	HE671692_1	1	0	325221
HMEL010468	HE671082	38489	38559	13	HE671082_1	1	0	61268
HMEL010469	HE671082	46176	54201	13	HE671082_1	1	0	61268
HMEL002268	HE667914	4324	4395	NA	HE667914_1	1	0	6874
HMEL002269	HE667914	5521	5592	NA	HE667914_1	1	0	6874
HMEL005380	HE670031	2653	8655	15	HE670031_1	1	0	204767
HMEL005381	HE670031	25055	37650	15	HE670031_1	1	0	204767
HMEL005382	HE670031	38066	64214	15	HE670031_1	1	0	204767
HMEL005383	HE670031	64279	78311	15	HE670031_1	1	0	204767
HMEL005384	HE670031	82820	85395	15	HE670031_1	1	0	204767
HMEL005385	HE670031	86436	88683	15	HE670031_1	1	0	204767
HMEL005386	HE670031	90017	96117	15	HE670031_1	1	0	204767
HMEL005387	HE670031	95043	96984	15	HE670031_1	1	0	204767
HMEL005388	HE670031	97374	117320	15	HE670031_1	1	0	204767
HMEL005389	HE670031	115179	123492	15	HE670031_1	1	0	204767
HMEL005390	HE670031	134751	136000	15	HE670031_1	1	0	204767
HMEL005391	HE670031	135646	141597	15	HE670031_1	1	0	204767
HMEL005392	HE670031	144131	159817	15	HE670031_1	1	0	204767
HMEL005393	HE670031	154326	156556	15	HE670031_1	1	0	204767
HMEL005394	HE670031	161367	164335	15	HE670031_1	1	0	204767
HMEL005395	HE670031	165363	174895	15	HE670031_1	1	0	204767
HMEL005396	HE670031	175672	178951	15	HE670031_1	1	0	204767
HMEL005397	HE670031	177614	188866	15	HE670031_1	1	0	204767
HMEL005398	HE670031	189241	198177	15	HE670031_1	1	0	204767
HMEL014574	HE671458	680	15869	19	HE671458_1	1	0	125934
HMEL014575	HE671458	53306	60563	19	HE671458_1	1	0	125934
HMEL014576	HE671458	67294	84452	19	HE671458_1	1	0	125934
HMEL009984	HE671001	9683	9930	14	HE671001_1	1	0	92086
HMEL010765	HE671132	7242	55728	9	HE671132_1	1	0	285092
HMEL010766	HE671132	45447	45519	9	HE671132_1	1	0	285092
HMEL010767	HE671132	82114	84482	9	HE671132_1	1	0	285092
HMEL010768	HE671132	86159	88768	9	HE671132_1	1	0	285092
HMEL010769	HE671132	95502	100430	9	HE671132_1	1	0	285092
HMEL010770	HE671132	155625	166352	9	HE671132_1	1	0	285092
HMEL010771	HE671132	210531	210601	9	HE671132_1	1	0	285092
HMEL010772	HE671132	214580	214650	9	HE671132_1	1	0	285092
HMEL010773	HE671132	218450	229380	9	HE671132_1	1	0	285092
HMEL010140	HE671045	1920	1990	13	HE671045_1	1	0	84882
HMEL010141	HE671045	9356	9426	13	HE671045_1	1	0	84882
HMEL010142	HE671045	52803	76008	13	HE671045_1	1	0	84882
HMEL005984	HE670334	2102	2172	14	HE670334_1	1	0	119758
HMEL005985	HE670334	82677	95005	14	HE670334_1	1	0	119758
HMEL007271	HE670557	803	26608	Z	HE670557_1	1	0	323801
