# Species	Genes	Alg.-Conn.	bombyx_refseq_proteins_accession.fa	Dp_OGS2_prots.fas
2	2	1	NP_001036920.2	DPOGS205081
2	2	1	NP_001036921.1	DPOGS212091
2	2	1	NP_001036922.1	DPOGS206256
2	2	1	NP_001036923.1	DPOGS209483
2	3	0.333	NP_001036926.1,NP_001116805.1	DPOGS216024
2	2	1	NP_001036928.1	DPOGS206248
2	2	1	NP_001036929.1	DPOGS203055
2	5	0.2	NP_001036932.1,NP_001093312.1,NP_001037684.1,NP_001037683.1	DPOGS210303
2	2	1	NP_001036933.1	DPOGS200623
2	2	1	NP_001036934.1	DPOGS212925
2	2	1	NP_001036935.1	DPOGS213482
2	2	1	NP_001036936.1	DPOGS211250
2	2	1	NP_001036937.1	DPOGS204184
2	2	1	NP_001036938.1	DPOGS206444
2	2	1	NP_001036939.1	DPOGS211258
2	2	1	NP_001036940.1	DPOGS207853
2	3	0.333	NP_001036941.1	DPOGS216184,DPOGS216183
2	2	1	NP_001036942.1	DPOGS216208
2	2	1	NP_001036945.1	DPOGS209203
2	2	1	NP_001036946.1	DPOGS209228
2	2	1	NP_001036947.1	DPOGS203830
2	2	1	NP_001036948.1	DPOGS207905
2	2	1	NP_001036949.1	DPOGS209202
2	2	1	NP_001036950.1	DPOGS206032
2	2	1	NP_001036952.1	DPOGS205562
2	2	1	NP_001036953.1	DPOGS215569
2	2	1	NP_001036956.1	DPOGS203677
2	2	1	NP_001036957.1	DPOGS202781
2	2	1	NP_001036958.1	DPOGS210949
2	2	1	NP_001036959.1	DPOGS209689
2	2	1	NP_001036961.1	DPOGS203687
2	2	1	NP_001036963.1	DPOGS202094
2	2	1	NP_001036965.1	DPOGS202403
2	3	0.333	NP_001036967.1,XP_004929428.1	DPOGS202814
2	2	1	NP_001036968.1	DPOGS212291
2	2	1	NP_001036969.1	DPOGS212410
2	2	1	NP_001036970.1	DPOGS208883
2	2	1	NP_001036971.1	DPOGS205799
2	2	1	NP_001036972.1	DPOGS210727
2	2	1	NP_001036973.1	DPOGS215072
2	2	1	NP_001036974.1	DPOGS208312
2	2	1	NP_001036975.1	DPOGS203908
2	2	1	NP_001036977.1	DPOGS208503
2	2	1	NP_001036978.1	DPOGS206317
2	2	1	NP_001036980.1	DPOGS201680
2	2	1	NP_001036981.1	DPOGS208900
2	2	1	NP_001036982.1	DPOGS203011
2	2	1	NP_001036983.1	DPOGS203072
2	2	1	NP_001036984.1	DPOGS208587
2	2	1	NP_001036985.1	DPOGS207471
2	2	1	NP_001036986.1	DPOGS208700
2	2	1	NP_001036989.1	DPOGS208835
2	2	1	NP_001036990.1	DPOGS202237
2	2	1	NP_001036991.1	DPOGS204675
2	2	1	NP_001036992.1	DPOGS210582
2	2	1	NP_001036993.1	DPOGS215215
2	3	0.333	NP_001036994.1	DPOGS201022,DPOGS201021
2	2	1	NP_001036996.1	DPOGS215664
2	2	1	NP_001036997.1	DPOGS215686
2	2	1	NP_001036998.1	DPOGS212521
2	2	1	NP_001037000.1	DPOGS213791
2	4	0.25	NP_001037001.1	DPOGS207974,DPOGS207972,DPOGS207929
2	2	1	NP_001037002.1	DPOGS210845
2	2	1	NP_001037003.1	DPOGS214371
2	2	1	NP_001037004.1	DPOGS202032
2	4	0.5	NP_001037006.1,XP_004926758.1	DPOGS213997,DPOGS213996
2	2	1	NP_001037007.1	DPOGS203646
2	2	1	NP_001037008.1	DPOGS213082
2	2	1	NP_001037009.1	DPOGS212970
2	2	1	NP_001037010.1	DPOGS204191
2	2	1	NP_001037011.1	DPOGS215776
2	2	1	NP_001037013.1	DPOGS209836
2	2	1	NP_001037014.1	DPOGS213828
2	2	1	NP_001037015.1	DPOGS213127
2	2	1	NP_001037016.1	DPOGS214054
2	2	1	NP_001037018.1	DPOGS208534
2	2	1	NP_001037019.1	DPOGS201543
2	2	1	NP_001037020.1	DPOGS203727
2	3	0.333	NP_001037021.1	DPOGS204418,DPOGS204415
2	2	1	NP_001037022.1	DPOGS212445
2	3	0.333	NP_001037023.1	DPOGS212444,DPOGS212442
2	2	1	NP_001037025.1	DPOGS206069
2	2	1	NP_001037026.1	DPOGS203567
2	2	1	NP_001037027.1	DPOGS212826
2	2	1	NP_001037028.1	DPOGS212792
2	8	0.125	NP_001037031.1,XP_004926107.1,XP_004926106.1,XP_004926104.1,XP_004926103.1,NP_001096031.1,NP_001037460.1	DPOGS210269
2	4	0.25	XP_004933962.1,XP_004926105.1,NP_001037462.1	DPOGS210268
2	2	1	NP_001037033.1	DPOGS200833
2	2	1	NP_001037034.1	DPOGS200173
2	2	1	NP_001037035.1	DPOGS209088
2	2	1	NP_001037036.1	DPOGS211549
2	2	1	NP_001037037.1	DPOGS211762
2	2	1	NP_001037038.1	DPOGS215439
2	2	1	NP_001037039.1	DPOGS207787
2	3	0.333	NP_001037040.1,NP_001182386.1	DPOGS209772
2	2	1	NP_001037041.1	DPOGS204843
2	4	0.25	NP_001037042.1,NP_001106080.1,NP_001106079.1	DPOGS206120
2	2	1	NP_001037043.1	DPOGS210680
2	2	1	NP_001037048.1	DPOGS212411
2	2	1	NP_001037049.1	DPOGS210475
2	2	1	NP_001037050.1	DPOGS213029
2	3	0.333	NP_001037052.1	DPOGS208398,DPOGS208397
2	2	1	NP_001037053.1	DPOGS205206
2	2	1	NP_001037054.1	DPOGS215921
2	2	1	NP_001037055.1	DPOGS214644
2	6	0.167	NP_001037057.1	DPOGS209258,DPOGS209257,DPOGS209256,DPOGS209255,DPOGS209254
2	2	1	NP_001037059.1	DPOGS213670
2	2	1	NP_001037060.1	DPOGS206964
2	2	1	NP_001037061.2	DPOGS214198
2	4	0.146	NP_001037062.1,NP_001037063.1	DPOGS208413,DPOGS208412
2	3	0.333	NP_001037064.1	DPOGS208415,DPOGS208414
2	2	1	NP_001037065.1	DPOGS210484
2	2	1	NP_001037067.1	DPOGS210414
2	2	1	NP_001037068.1	DPOGS208392
2	2	1	NP_001037069.1	DPOGS214315
2	2	1	NP_001037071.1	DPOGS202699
2	2	1	NP_001037072.1	DPOGS205211
2	2	1	NP_001037073.1	DPOGS215795
2	2	1	NP_001037074.2	DPOGS209220
2	2	1	NP_001037075.1	DPOGS210046
2	2	1	NP_001037076.1	DPOGS212085
2	2	1	NP_001037078.1	DPOGS207141
2	2	1	NP_001037081.1	DPOGS205049
2	2	1	NP_001037082.1	DPOGS211499
2	2	1	NP_001037083.1	DPOGS211437
2	2	1	NP_001037084.1	DPOGS209134
2	2	1	NP_001037086.1	DPOGS211919
2	2	1	NP_001037087.1	DPOGS213135
2	2	1	NP_001037088.1	DPOGS205240
2	2	1	NP_001037090.1	DPOGS206417
2	2	1	NP_001037094.1	DPOGS215839
2	4	0.25	NP_001037096.1,XP_004924240.1,NP_001093291.1	DPOGS202913
2	2	1	NP_001037099.1	DPOGS208226
2	2	1	NP_001037102.1	DPOGS202559
2	2	1	NP_001037105.1	DPOGS200953
2	2	1	NP_001037108.1	DPOGS211106
2	3	0.333	NP_001037111.1,NP_001106708.1	DPOGS206427
2	2	1	NP_001037114.1	DPOGS208928
2	2	1	NP_001037117.1	DPOGS202911
2	2	1	NP_001037120.1	DPOGS210810
2	2	1	NP_001037123.1	DPOGS202160
2	2	1	NP_001037126.1	DPOGS215840
2	2	1	NP_001037129.1	DPOGS210643
2	2	1	NP_001037132.1	DPOGS207114
2	2	1	NP_001037135.1	DPOGS213493
2	2	1	NP_001037138.1	DPOGS208800
2	2	1	NP_001037141.1	DPOGS208069
2	2	1	NP_001037144.1	DPOGS214073
2	2	1	NP_001037147.1	DPOGS208750
2	2	1	NP_001037150.1	DPOGS214364
2	2	1	NP_001037153.1	DPOGS203823
2	2	1	NP_001037156.1	DPOGS216064
2	2	1	NP_001037159.1	DPOGS204848
2	2	1	NP_001037162.1	DPOGS208225
2	2	1	NP_001037165.1	DPOGS209544
2	2	1	NP_001037168.1	DPOGS208138
2	2	1	NP_001037171.1	DPOGS213564
2	2	1	NP_001037174.1	DPOGS211220
2	2	1	NP_001037177.1	DPOGS200552
2	2	1	NP_001037183.1	DPOGS202622
2	2	1	NP_001037186.1	DPOGS200224
2	2	1	NP_001037192.1	DPOGS208395
2	2	1	NP_001037195.1	DPOGS214068
2	5	0.104	NP_001037197.1,NP_001108464.1,NP_001108460.1	DPOGS200212,DPOGS200213
2	2	1	NP_001037201.1	DPOGS214825
2	2	1	NP_001037203.1	DPOGS216138
2	2	1	NP_001037205.1	DPOGS206419
2	2	1	NP_001037207.1	DPOGS211671
2	2	1	NP_001037209.1	DPOGS208043
2	2	1	NP_001037211.1	DPOGS212379
2	2	1	NP_001037213.1	DPOGS212757
2	2	1	NP_001037215.1	DPOGS207374
2	2	1	NP_001037217.1	DPOGS212928
2	2	1	NP_001037219.1	DPOGS209150
2	2	1	NP_001037221.1	DPOGS201418
2	2	1	NP_001037223.1	DPOGS211910
2	2	1	NP_001037225.1	DPOGS210861
2	2	1	NP_001037227.1	DPOGS204004
2	2	1	NP_001037231.1	DPOGS212639
2	2	1	NP_001037233.1	DPOGS214523
2	2	1	NP_001037235.1	DPOGS200872
2	2	1	NP_001037237.1	DPOGS205446
2	2	1	NP_001037239.1	DPOGS216087
2	2	1	NP_001037241.1	DPOGS214178
2	2	1	NP_001037245.1	DPOGS209700
2	2	1	NP_001037247.1	DPOGS200921
2	2	1	NP_001037249.1	DPOGS200444
2	2	1	NP_001037253.1	DPOGS207421
2	2	1	NP_001037255.1	DPOGS203183
2	2	1	NP_001037257.1	DPOGS205845
2	2	1	NP_001037261.1	DPOGS202713
2	2	1	NP_001037263.1	DPOGS208705
2	2	1	NP_001037265.1	DPOGS210524
2	2	1	NP_001037267.1	DPOGS208056
2	2	1	NP_001037269.1	DPOGS211218
2	2	1	NP_001037271.1	DPOGS206595
2	2	1	NP_001037273.1	DPOGS208785
2	2	1	NP_001037275.1	DPOGS202253
2	2	1	NP_001037277.1	DPOGS204971
2	2	1	NP_001037279.1	DPOGS202260
2	2	1	NP_001037281.1	DPOGS212286
2	2	1	NP_001037285.1	DPOGS200370
2	2	1	NP_001037287.1	DPOGS200797
2	2	1	NP_001037289.1	DPOGS203171
2	2	1	NP_001037293.1	DPOGS213215
2	2	1	NP_001037295.1	DPOGS209334
2	3	0.333	NP_001037297.1,NP_001106741.1	DPOGS211804
2	2	1	NP_001037299.1	DPOGS215496
2	2	1	NP_001037301.1	DPOGS208956
2	4	0.25	NP_001037305.1,NP_001166850.1,NP_001166849.1	DPOGS202453
2	2	1	NP_001037307.1	DPOGS210673
2	2	1	NP_001037309.1	DPOGS213644
2	2	1	NP_001037315.1	DPOGS214087
2	2	1	NP_001037317.1	DPOGS209537
2	2	1	NP_001037323.1	DPOGS210542
2	2	1	NP_001037325.1	DPOGS205814
2	2	1	NP_001037329.1	DPOGS200192
2	3	0.333	NP_001037331.2,NP_001166846.1	DPOGS208114
2	2	1	NP_001037333.1	DPOGS205813
2	2	1	NP_001037335.1	DPOGS206820
2	2	1	NP_001037337.1	DPOGS211911
2	2	1	NP_001037339.1	DPOGS210964
2	2	1	NP_001037341.1	DPOGS211000
2	3	0.333	NP_001037343.1	DPOGS203846,DPOGS203845
2	2	1	NP_001037345.1	DPOGS203721
2	2	1	NP_001037347.1	DPOGS210163
2	2	1	NP_001037349.1	DPOGS215602
2	2	1	NP_001037351.1	DPOGS209946
2	2	1	NP_001037353.1	DPOGS205747
2	2	1	NP_001037356.1	DPOGS208016
2	2	1	NP_001037358.2	DPOGS212447
2	2	1	NP_001037360.1	DPOGS213420
2	2	1	NP_001037364.1	DPOGS206997
2	2	1	NP_001037370.1	DPOGS211227
2	2	1	NP_001037372.1	DPOGS208502
2	2	1	NP_001037374.1	DPOGS201107
2	2	1	NP_001037376.1	DPOGS211201
2	2	1	NP_001037378.1	DPOGS201015
2	2	1	NP_001037380.1	DPOGS202180
2	2	1	NP_001037382.1	DPOGS214269
2	2	1	NP_001037384.1	DPOGS212387
2	2	1	NP_001037386.1	DPOGS215460
2	2	1	NP_001037388.1	DPOGS214352
2	2	1	NP_001037390.1	DPOGS206895
2	4	0.5	NP_001037396.1,NP_001243928.1	DPOGS213925,DPOGS210048
2	2	1	NP_001037400.1	DPOGS208394
2	2	1	NP_001037402.1	DPOGS215720
2	2	1	NP_001037404.1	DPOGS215609
2	2	1	NP_001037406.1	DPOGS213591
2	2	1	NP_001037408.2	DPOGS208500
2	2	1	NP_001037410.1	DPOGS212269
2	2	1	NP_001037412.2	DPOGS205871
2	2	1	NP_001037414.1	DPOGS203757
2	2	1	NP_001037416.1	DPOGS205652
2	2	1	NP_001037418.1	DPOGS214720
2	2	1	NP_001037422.1	DPOGS200264
2	2	1	NP_001037424.1	DPOGS215131
2	2	1	NP_001037426.1	DPOGS215870
2	2	1	NP_001037428.1	DPOGS215143
2	2	1	NP_001037430.1	DPOGS203237
2	2	1	NP_001037434.1	DPOGS205640
2	2	1	NP_001037436.1	DPOGS201184
2	2	1	NP_001037440.1	DPOGS204544
2	2	1	NP_001037442.1	DPOGS209749
2	2	1	NP_001037448.1	DPOGS202823
2	2	1	NP_001037450.1	DPOGS212941
2	2	1	NP_001037452.1	DPOGS214171
2	2	1	NP_001037454.1	DPOGS212467
2	2	1	NP_001037458.1	DPOGS215036
2	2	1	NP_001037464.2	DPOGS209955
2	2	1	NP_001037466.1	DPOGS205116
2	2	1	NP_001037470.1	DPOGS214137
2	3	0.333	NP_001037474.1,NP_001166834.1	DPOGS214673
2	2	1	NP_001037476.1	DPOGS206960
2	2	1	NP_001037478.1	DPOGS207082
2	5	0.2	NP_001037480.1,NP_001166833.1,NP_001166832.1,NP_001166831.1	DPOGS205012
2	2	1	NP_001037482.1	DPOGS201563
2	2	1	NP_001037484.1	DPOGS204170
2	2	1	NP_001037488.1	DPOGS205997
2	2	1	NP_001037490.1	DPOGS209878
2	2	1	NP_001037492.1	DPOGS202402
2	2	1	NP_001037494.1	DPOGS210497
2	2	1	NP_001037496.1	DPOGS210500
2	2	1	NP_001037498.1	DPOGS210512
2	2	1	NP_001037500.1	DPOGS208192
2	2	1	NP_001037502.1	DPOGS205099
2	2	1	NP_001037504.1	DPOGS205267
2	2	1	NP_001037508.1	DPOGS205984
2	2	1	NP_001037510.1	DPOGS215734
2	2	1	NP_001037512.1	DPOGS212741
2	2	1	NP_001037514.1	DPOGS215988
2	2	1	NP_001037516.1	DPOGS204523
2	3	0.333	NP_001037518.1,XP_004921936.1	DPOGS214778
2	2	1	NP_001037520.1	DPOGS213173
2	2	1	NP_001037522.1	DPOGS200746
2	2	1	NP_001037524.1	DPOGS211872
2	2	1	NP_001037528.2	DPOGS206043
2	2	1	NP_001037534.1	DPOGS201819
2	2	1	NP_001037538.1	DPOGS204668
2	2	1	NP_001037540.1	DPOGS201813
2	3	0.333	NP_001037542.1	DPOGS214110,DPOGS214109
2	2	1	NP_001037544.1	DPOGS211176
2	2	1	NP_001037548.1	DPOGS210674
2	2	1	NP_001037552.1	DPOGS213531
2	2	1	NP_001037554.1	DPOGS209352
2	2	1	NP_001037556.1	DPOGS209710
2	2	1	NP_001037558.1	DPOGS212041
2	2	1	NP_001037560.1	DPOGS209813
2	2	1	NP_001037564.1	DPOGS202037
2	2	1	NP_001037566.1	DPOGS208035
2	2	1	NP_001037568.1	DPOGS213492
2	2	1	NP_001037570.1	DPOGS206085
2	2	1	NP_001037572.1	DPOGS210922
2	4	0.25	NP_001037574.1,XP_004928855.1,XP_004928853.1	DPOGS206983
2	2	1	NP_001037576.1	DPOGS214949
2	2	1	NP_001037580.1	DPOGS205381
2	2	1	NP_001037586.1	DPOGS215568
2	2	1	NP_001037588.1	DPOGS203820
2	4	0.25	NP_001037592.1,XP_004925458.1,NP_001188510.1	DPOGS208763
2	2	1	NP_001037594.1	DPOGS213018
2	2	1	NP_001037596.1	DPOGS207793
2	2	1	NP_001037598.1	DPOGS204315
2	2	1	NP_001037600.1	DPOGS202208
2	2	1	NP_001037602.1	DPOGS210798
2	2	1	NP_001037604.1	DPOGS208794
2	2	1	NP_001037606.1	DPOGS212357
2	2	1	NP_001037608.1	DPOGS207519
2	2	1	NP_001037612.1	DPOGS207506
2	2	1	NP_001037614.1	DPOGS201872
2	2	1	NP_001037616.1	DPOGS208032
2	2	1	NP_001037618.1	DPOGS208318
2	2	1	NP_001037620.1	DPOGS215926
2	2	1	NP_001037622.1	DPOGS214179
2	2	1	NP_001037624.1	DPOGS204222
2	2	1	NP_001037626.1	DPOGS215135
2	2	1	NP_001037628.1	DPOGS210106
2	2	1	NP_001037630.1	DPOGS208733
2	2	1	NP_001037632.1	DPOGS214164
2	2	1	NP_001037634.1	DPOGS211886
2	2	1	NP_001037636.1	DPOGS204517
2	2	1	NP_001037638.1	DPOGS211290
2	2	1	NP_001037640.1	DPOGS203041
2	2	1	NP_001037642.1	DPOGS208983
2	2	1	NP_001037644.1	DPOGS214678
2	2	1	NP_001037646.1	DPOGS200700
2	2	1	NP_001037648.1	DPOGS208295
2	2	1	NP_001037650.1	DPOGS208904
2	2	1	NP_001037654.1	DPOGS200927
2	2	1	NP_001037656.1	DPOGS213311
2	2	1	NP_001037658.1	DPOGS206894
2	2	1	NP_001037662.1	DPOGS211607
2	2	1	NP_001037664.1	DPOGS202902
2	2	1	NP_001037668.1	DPOGS212133
2	2	1	NP_001037670.1	DPOGS212586
2	2	1	NP_001037672.1	DPOGS211032
2	2	1	NP_001037674.1	DPOGS204777
2	2	1	NP_001037678.1	DPOGS204585
2	2	1	NP_001037680.1	DPOGS210319
2	2	1	NP_001037682.1	DPOGS204134
2	2	1	NP_001037685.1	DPOGS200724
2	2	1	NP_001037686.1	DPOGS202036
2	2	1	NP_001038956.1	DPOGS206008
2	2	1	NP_001038957.1	DPOGS215645
2	2	1	NP_001040103.1	DPOGS215765
2	2	1	NP_001040104.1	DPOGS203316
2	2	1	NP_001040105.1	DPOGS204410
2	2	1	NP_001040106.1	DPOGS214226
2	2	1	NP_001040107.1	DPOGS213674
2	2	1	NP_001040108.1	DPOGS201820
2	2	1	NP_001040109.1	DPOGS215973
2	2	1	NP_001040110.1	DPOGS209737
2	2	1	NP_001040112.1	DPOGS201933
2	2	1	NP_001040113.1	DPOGS215780
2	2	1	NP_001040114.1	DPOGS204340
2	2	1	NP_001040115.1	DPOGS206587
2	2	1	NP_001040116.1	DPOGS208725
2	2	1	NP_001040117.1	DPOGS204932
2	3	0.333	NP_001040118.1,NP_001104814.1	DPOGS204333
2	2	1	NP_001040119.1	DPOGS212118
2	2	1	NP_001040120.1	DPOGS211868
2	2	1	NP_001040121.1	DPOGS203169
2	2	1	NP_001040122.1	DPOGS211652
2	2	1	NP_001040123.1	DPOGS214943
2	2	1	NP_001040124.1	DPOGS202362
2	3	0.333	NP_001040125.1	DPOGS210858,DPOGS210857
2	2	1	NP_001040126.1	DPOGS204543
2	2	1	NP_001040127.1	DPOGS200922
2	2	1	NP_001040128.1	DPOGS204203
2	2	1	NP_001040129.2	DPOGS210310
2	2	1	NP_001040131.1	DPOGS213590
2	2	1	NP_001040132.1	DPOGS211087
2	2	1	NP_001040133.1	DPOGS201755
2	2	1	NP_001040134.1	DPOGS212995
2	2	1	NP_001040135.1	DPOGS204722
2	2	1	NP_001040136.1	DPOGS200441
2	2	1	NP_001040137.1	DPOGS213434
2	2	1	NP_001040138.1	DPOGS215153
2	2	1	NP_001040139.1	DPOGS206905
2	2	1	NP_001040140.1	DPOGS204273
2	2	1	NP_001040142.1	DPOGS214829
2	2	1	NP_001040143.1	DPOGS204105
2	2	1	NP_001040144.1	DPOGS213897
2	2	1	NP_001040145.1	DPOGS202532
2	2	1	NP_001040146.1	DPOGS202375
2	2	1	NP_001040147.1	DPOGS205004
2	2	1	NP_001040149.1	DPOGS207242
2	2	1	NP_001040150.1	DPOGS206431
2	2	1	NP_001040153.1	DPOGS202406
2	2	1	NP_001040154.1	DPOGS209201
2	2	1	NP_001040155.1	DPOGS208864
2	2	1	NP_001040156.1	DPOGS208780
2	2	1	NP_001040157.1	DPOGS200150
2	2	1	NP_001040158.1	DPOGS209035
2	2	1	NP_001040159.1	DPOGS201987
2	2	1	NP_001040160.1	DPOGS200333
2	2	1	NP_001040161.1	DPOGS215196
2	2	1	NP_001040162.1	DPOGS200034
2	2	1	NP_001040163.1	DPOGS207090
2	2	1	NP_001040164.1	DPOGS201744
2	2	1	NP_001040165.1	DPOGS213222
2	2	1	NP_001040166.1	DPOGS207475
2	2	1	NP_001040167.1	DPOGS215701
2	2	1	NP_001040168.1	DPOGS209931
2	2	1	NP_001040169.1	DPOGS210123
2	2	1	NP_001040170.1	DPOGS206922
2	2	1	NP_001040171.1	DPOGS214572
2	2	1	NP_001040172.1	DPOGS215804
2	2	1	NP_001040173.1	DPOGS214935
2	2	1	NP_001040175.1	DPOGS207332
2	2	1	NP_001040176.1	DPOGS205423
2	2	1	NP_001040177.1	DPOGS215982
2	2	1	NP_001040179.1	DPOGS201559
2	2	1	NP_001040181.1	DPOGS206083
2	2	1	NP_001040182.1	DPOGS204498
2	2	1	NP_001040183.1	DPOGS200723
2	2	1	NP_001040184.1	DPOGS201877
2	2	1	NP_001040185.1	DPOGS214147
2	2	1	NP_001040186.1	DPOGS201746
2	2	1	NP_001040187.1	DPOGS200747
2	2	1	NP_001040188.1	DPOGS213444
2	2	1	NP_001040191.1	DPOGS214376
2	2	1	NP_001040192.1	DPOGS210991
2	2	1	NP_001040193.1	DPOGS216038
2	2	1	NP_001040194.1	DPOGS211096
2	2	1	NP_001040195.1	DPOGS208081
2	2	1	NP_001040196.1	DPOGS201753
2	3	0.333	NP_001040197.1,NP_001103767.1	DPOGS214447
2	2	1	NP_001040198.1	DPOGS201995
2	2	1	NP_001040199.1	DPOGS206951
2	2	1	NP_001040200.1	DPOGS206699
2	3	0.333	NP_001040201.1,NP_001166838.1	DPOGS213765
2	2	1	NP_001040202.1	DPOGS205578
2	2	1	NP_001040204.1	DPOGS201277
2	2	1	NP_001040205.1	DPOGS200464
2	2	1	NP_001040206.1	DPOGS200910
2	2	1	NP_001040207.1	DPOGS203441
2	2	1	NP_001040208.1	DPOGS203598
2	2	1	NP_001040209.1	DPOGS209180
2	2	1	NP_001040210.1	DPOGS209649
2	2	1	NP_001040212.1	DPOGS214841
2	2	1	NP_001040213.1	DPOGS214099
2	2	1	NP_001040214.1	DPOGS201300
2	2	1	NP_001040215.1	DPOGS201869
2	2	1	NP_001040216.1	DPOGS202045
2	2	1	NP_001040218.1	DPOGS208310
2	3	0.333	NP_001040219.1	DPOGS201850,DPOGS201848
2	2	1	NP_001040220.1	DPOGS209082
2	2	1	NP_001040221.1	DPOGS204739
2	2	1	NP_001040222.1	DPOGS206534
2	2	1	NP_001040223.1	DPOGS204808
2	2	1	NP_001040224.1	DPOGS210580
2	2	1	NP_001040225.1	DPOGS205859
2	2	1	NP_001040226.1	DPOGS214175
2	2	1	NP_001040227.1	DPOGS206373
2	2	1	NP_001040229.1	DPOGS204110
2	2	1	NP_001040230.1	DPOGS205194
2	2	1	NP_001040231.1	DPOGS212596
2	2	1	NP_001040232.1	DPOGS215193
2	2	1	NP_001040233.1	DPOGS210435
2	2	1	NP_001040234.1	DPOGS209199
2	2	1	NP_001040235.1	DPOGS206153
2	2	1	NP_001040236.1	DPOGS212290
2	2	1	NP_001040237.1	DPOGS209577
2	2	1	NP_001040238.1	DPOGS210093
2	2	1	NP_001040239.1	DPOGS209982
2	2	1	NP_001040240.1	DPOGS201785
2	2	1	NP_001040241.1	DPOGS213102
2	2	1	NP_001040242.1	DPOGS209927
2	4	0.25	NP_001040243.1,XP_004927468.1,XP_004927467.1	DPOGS209121
2	2	1	NP_001040244.1	DPOGS211637
2	2	1	NP_001040245.1	DPOGS211567
2	2	1	NP_001040246.1	DPOGS207392
2	2	1	NP_001040250.1	DPOGS212260
2	2	1	NP_001040251.1	DPOGS214260
2	2	1	NP_001040252.1	DPOGS208499
2	2	1	NP_001040253.1	DPOGS215692
2	2	1	NP_001040254.1	DPOGS212211
2	2	1	NP_001040255.1	DPOGS211649
2	2	1	NP_001040256.1	DPOGS207361
